country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SE.ADT.LITR.ZS,,%
Jamaica,JM,1961,SE.ADT.LITR.ZS,,%
Jamaica,JM,1962,SE.ADT.LITR.ZS,,%
Jamaica,JM,1963,SE.ADT.LITR.ZS,,%
Jamaica,JM,1964,SE.ADT.LITR.ZS,,%
Jamaica,JM,1965,SE.ADT.LITR.ZS,,%
Jamaica,JM,1966,SE.ADT.LITR.ZS,,%
Jamaica,JM,1967,SE.ADT.LITR.ZS,,%
Jamaica,JM,1968,SE.ADT.LITR.ZS,,%
Jamaica,JM,1969,SE.ADT.LITR.ZS,,%
Jamaica,JM,1970,SE.ADT.LITR.ZS,,%
Jamaica,JM,1971,SE.ADT.LITR.ZS,,%
Jamaica,JM,1972,SE.ADT.LITR.ZS,,%
Jamaica,JM,1973,SE.ADT.LITR.ZS,,%
Jamaica,JM,1974,SE.ADT.LITR.ZS,,%
Jamaica,JM,1975,SE.ADT.LITR.ZS,,%
Jamaica,JM,1976,SE.ADT.LITR.ZS,,%
Jamaica,JM,1977,SE.ADT.LITR.ZS,,%
Jamaica,JM,1978,SE.ADT.LITR.ZS,,%
Jamaica,JM,1979,SE.ADT.LITR.ZS,,%
Jamaica,JM,1980,SE.ADT.LITR.ZS,,%
Jamaica,JM,1981,SE.ADT.LITR.ZS,,%
Jamaica,JM,1982,SE.ADT.LITR.ZS,,%
Jamaica,JM,1983,SE.ADT.LITR.ZS,,%
Jamaica,JM,1984,SE.ADT.LITR.ZS,,%
Jamaica,JM,1985,SE.ADT.LITR.ZS,,%
Jamaica,JM,1986,SE.ADT.LITR.ZS,,%
Jamaica,JM,1987,SE.ADT.LITR.ZS,,%
Jamaica,JM,1988,SE.ADT.LITR.ZS,,%
Jamaica,JM,1989,SE.ADT.LITR.ZS,,%
Jamaica,JM,1990,SE.ADT.LITR.ZS,,%
Jamaica,JM,1991,SE.ADT.LITR.ZS,,%
Jamaica,JM,1992,SE.ADT.LITR.ZS,,%
Jamaica,JM,1993,SE.ADT.LITR.ZS,,%
Jamaica,JM,1994,SE.ADT.LITR.ZS,,%
Jamaica,JM,1995,SE.ADT.LITR.ZS,,%
Jamaica,JM,1996,SE.ADT.LITR.ZS,,%
Jamaica,JM,1997,SE.ADT.LITR.ZS,,%
Jamaica,JM,1998,SE.ADT.LITR.ZS,,%
Jamaica,JM,1999,SE.ADT.LITR.ZS,80.0,%
Jamaica,JM,2000,SE.ADT.LITR.ZS,,%
Jamaica,JM,2001,SE.ADT.LITR.ZS,,%
Jamaica,JM,2002,SE.ADT.LITR.ZS,,%
Jamaica,JM,2003,SE.ADT.LITR.ZS,,%
Jamaica,JM,2004,SE.ADT.LITR.ZS,,%
Jamaica,JM,2005,SE.ADT.LITR.ZS,,%
Jamaica,JM,2006,SE.ADT.LITR.ZS,,%
Jamaica,JM,2007,SE.ADT.LITR.ZS,,%
Jamaica,JM,2008,SE.ADT.LITR.ZS,,%
Jamaica,JM,2009,SE.ADT.LITR.ZS,,%
Jamaica,JM,2010,SE.ADT.LITR.ZS,,%
Jamaica,JM,2011,SE.ADT.LITR.ZS,,%
Jamaica,JM,2012,SE.ADT.LITR.ZS,,%
Jamaica,JM,2013,SE.ADT.LITR.ZS,,%
Jamaica,JM,2014,SE.ADT.LITR.ZS,,%
Jamaica,JM,2015,SE.ADT.LITR.ZS,,%
Jamaica,JM,2016,SE.ADT.LITR.ZS,,%
Jamaica,JM,2017,SE.ADT.LITR.ZS,,%
Jamaica,JM,2018,SE.ADT.LITR.ZS,,%
Jamaica,JM,2019,SE.ADT.LITR.ZS,,%
Jamaica,JM,2020,SE.ADT.LITR.ZS,,%
Jamaica,JM,2021,SE.ADT.LITR.ZS,,%
Jamaica,JM,2022,SE.ADT.LITR.ZS,,%
Jamaica,JM,2023,SE.ADT.LITR.ZS,,%
Jamaica,JM,2024,SE.ADT.LITR.ZS,,%
