country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1961,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1962,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1963,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1964,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1965,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1966,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1967,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1968,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1969,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1970,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1971,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1972,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1973,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1974,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1975,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1976,SE.PRM.CMPT.ZS,86.0567092895508,%
Jamaica,JM,1977,SE.PRM.CMPT.ZS,85.4089584350586,%
Jamaica,JM,1978,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1979,SE.PRM.CMPT.ZS,88.5437927246094,%
Jamaica,JM,1980,SE.PRM.CMPT.ZS,85.711067199707,%
Jamaica,JM,1981,SE.PRM.CMPT.ZS,86.9677429199219,%
Jamaica,JM,1982,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1983,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1984,SE.PRM.CMPT.ZS,90.3615875244141,%
Jamaica,JM,1985,SE.PRM.CMPT.ZS,87.7582473754883,%
Jamaica,JM,1986,SE.PRM.CMPT.ZS,88.8956832885742,%
Jamaica,JM,1987,SE.PRM.CMPT.ZS,91.0195083618164,%
Jamaica,JM,1988,SE.PRM.CMPT.ZS,93.1565170288086,%
Jamaica,JM,1989,SE.PRM.CMPT.ZS,92.5641632080078,%
Jamaica,JM,1990,SE.PRM.CMPT.ZS,91.8750610351562,%
Jamaica,JM,1991,SE.PRM.CMPT.ZS,89.1662979125977,%
Jamaica,JM,1992,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1993,SE.PRM.CMPT.ZS,85.6018524169922,%
Jamaica,JM,1994,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1995,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1996,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1997,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1998,SE.PRM.CMPT.ZS,,%
Jamaica,JM,1999,SE.PRM.CMPT.ZS,,%
Jamaica,JM,2000,SE.PRM.CMPT.ZS,80.6840896606445,%
Jamaica,JM,2001,SE.PRM.CMPT.ZS,76.3917465209961,%
Jamaica,JM,2002,SE.PRM.CMPT.ZS,85.2787094116211,%
Jamaica,JM,2003,SE.PRM.CMPT.ZS,,%
Jamaica,JM,2004,SE.PRM.CMPT.ZS,81.7724609375,%
Jamaica,JM,2005,SE.PRM.CMPT.ZS,,%
Jamaica,JM,2006,SE.PRM.CMPT.ZS,,%
Jamaica,JM,2007,SE.PRM.CMPT.ZS,82.815071105957,%
Jamaica,JM,2008,SE.PRM.CMPT.ZS,,%
Jamaica,JM,2009,SE.PRM.CMPT.ZS,81.5394287109375,%
Jamaica,JM,2010,SE.PRM.CMPT.ZS,88.0679473876953,%
Jamaica,JM,2011,SE.PRM.CMPT.ZS,87.7824783325195,%
Jamaica,JM,2012,SE.PRM.CMPT.ZS,104.02108001709,%
Jamaica,JM,2013,SE.PRM.CMPT.ZS,99.1835327148438,%
Jamaica,JM,2014,SE.PRM.CMPT.ZS,94.071418762207,%
Jamaica,JM,2015,SE.PRM.CMPT.ZS,90.4028778076172,%
Jamaica,JM,2016,SE.PRM.CMPT.ZS,87.9267807006836,%
Jamaica,JM,2017,SE.PRM.CMPT.ZS,89.7497329711914,%
Jamaica,JM,2018,SE.PRM.CMPT.ZS,85.4087219238281,%
Jamaica,JM,2019,SE.PRM.CMPT.ZS,89.7446136474609,%
Jamaica,JM,2020,SE.PRM.CMPT.ZS,79.7702407836914,%
Jamaica,JM,2021,SE.PRM.CMPT.ZS,,%
Jamaica,JM,2022,SE.PRM.CMPT.ZS,,%
Jamaica,JM,2023,SE.PRM.CMPT.ZS,79.4754486083984,%
Jamaica,JM,2024,SE.PRM.CMPT.ZS,,%
