country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SE.PRM.NENR,,%
Jamaica,JM,1961,SE.PRM.NENR,,%
Jamaica,JM,1962,SE.PRM.NENR,,%
Jamaica,JM,1963,SE.PRM.NENR,,%
Jamaica,JM,1964,SE.PRM.NENR,,%
Jamaica,JM,1965,SE.PRM.NENR,,%
Jamaica,JM,1966,SE.PRM.NENR,,%
Jamaica,JM,1967,SE.PRM.NENR,,%
Jamaica,JM,1968,SE.PRM.NENR,,%
Jamaica,JM,1969,SE.PRM.NENR,,%
Jamaica,JM,1970,SE.PRM.NENR,,%
Jamaica,JM,1971,SE.PRM.NENR,,%
Jamaica,JM,1972,SE.PRM.NENR,,%
Jamaica,JM,1973,SE.PRM.NENR,,%
Jamaica,JM,1974,SE.PRM.NENR,,%
Jamaica,JM,1975,SE.PRM.NENR,95.1505,%
Jamaica,JM,1976,SE.PRM.NENR,92.50368,%
Jamaica,JM,1977,SE.PRM.NENR,92.97177,%
Jamaica,JM,1978,SE.PRM.NENR,,%
Jamaica,JM,1979,SE.PRM.NENR,96.48257,%
Jamaica,JM,1980,SE.PRM.NENR,96.50106,%
Jamaica,JM,1981,SE.PRM.NENR,96.40776,%
Jamaica,JM,1982,SE.PRM.NENR,,%
Jamaica,JM,1983,SE.PRM.NENR,97.44464,%
Jamaica,JM,1984,SE.PRM.NENR,96.24322,%
Jamaica,JM,1985,SE.PRM.NENR,95.49819,%
Jamaica,JM,1986,SE.PRM.NENR,95.70327,%
Jamaica,JM,1987,SE.PRM.NENR,97.76091,%
Jamaica,JM,1988,SE.PRM.NENR,94.64053,%
Jamaica,JM,1989,SE.PRM.NENR,98.10415,%
Jamaica,JM,1990,SE.PRM.NENR,97.36788,%
Jamaica,JM,1991,SE.PRM.NENR,95.72525,%
Jamaica,JM,1992,SE.PRM.NENR,,%
Jamaica,JM,1993,SE.PRM.NENR,92.6702,%
Jamaica,JM,1994,SE.PRM.NENR,,%
Jamaica,JM,1995,SE.PRM.NENR,,%
Jamaica,JM,1996,SE.PRM.NENR,,%
Jamaica,JM,1997,SE.PRM.NENR,,%
Jamaica,JM,1998,SE.PRM.NENR,,%
Jamaica,JM,1999,SE.PRM.NENR,90.09004,%
Jamaica,JM,2000,SE.PRM.NENR,91.57529,%
Jamaica,JM,2001,SE.PRM.NENR,91.40376,%
Jamaica,JM,2002,SE.PRM.NENR,91.06873,%
Jamaica,JM,2003,SE.PRM.NENR,89.77681,%
Jamaica,JM,2004,SE.PRM.NENR,91.53535,%
Jamaica,JM,2005,SE.PRM.NENR,,%
Jamaica,JM,2006,SE.PRM.NENR,,%
Jamaica,JM,2007,SE.PRM.NENR,,%
Jamaica,JM,2008,SE.PRM.NENR,,%
Jamaica,JM,2009,SE.PRM.NENR,,%
Jamaica,JM,2010,SE.PRM.NENR,,%
Jamaica,JM,2011,SE.PRM.NENR,,%
Jamaica,JM,2012,SE.PRM.NENR,,%
Jamaica,JM,2013,SE.PRM.NENR,,%
Jamaica,JM,2014,SE.PRM.NENR,,%
Jamaica,JM,2015,SE.PRM.NENR,84.96535,%
Jamaica,JM,2016,SE.PRM.NENR,84.05713,%
Jamaica,JM,2017,SE.PRM.NENR,82.51691,%
Jamaica,JM,2018,SE.PRM.NENR,81.0188,%
Jamaica,JM,2019,SE.PRM.NENR,,%
Jamaica,JM,2020,SE.PRM.NENR,,%
Jamaica,JM,2021,SE.PRM.NENR,,%
Jamaica,JM,2022,SE.PRM.NENR,,%
Jamaica,JM,2023,SE.PRM.NENR,,%
Jamaica,JM,2024,SE.PRM.NENR,,%
