country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SE.SEC.ENRR,,%
Jamaica,JM,1961,SE.SEC.ENRR,,%
Jamaica,JM,1962,SE.SEC.ENRR,,%
Jamaica,JM,1963,SE.SEC.ENRR,,%
Jamaica,JM,1964,SE.SEC.ENRR,,%
Jamaica,JM,1965,SE.SEC.ENRR,,%
Jamaica,JM,1966,SE.SEC.ENRR,,%
Jamaica,JM,1967,SE.SEC.ENRR,,%
Jamaica,JM,1968,SE.SEC.ENRR,,%
Jamaica,JM,1969,SE.SEC.ENRR,,%
Jamaica,JM,1970,SE.SEC.ENRR,,%
Jamaica,JM,1971,SE.SEC.ENRR,,%
Jamaica,JM,1972,SE.SEC.ENRR,,%
Jamaica,JM,1973,SE.SEC.ENRR,52.415958404541,%
Jamaica,JM,1974,SE.SEC.ENRR,48.5069808959961,%
Jamaica,JM,1975,SE.SEC.ENRR,58.5580101013184,%
Jamaica,JM,1976,SE.SEC.ENRR,62.9641914367676,%
Jamaica,JM,1977,SE.SEC.ENRR,64.3782424926758,%
Jamaica,JM,1978,SE.SEC.ENRR,,%
Jamaica,JM,1979,SE.SEC.ENRR,66.3136520385742,%
Jamaica,JM,1980,SE.SEC.ENRR,70.1230316162109,%
Jamaica,JM,1981,SE.SEC.ENRR,67.3206024169922,%
Jamaica,JM,1982,SE.SEC.ENRR,63.6876106262207,%
Jamaica,JM,1983,SE.SEC.ENRR,64.1901321411133,%
Jamaica,JM,1984,SE.SEC.ENRR,62.380428314209,%
Jamaica,JM,1985,SE.SEC.ENRR,63.6373100280762,%
Jamaica,JM,1986,SE.SEC.ENRR,62.278751373291,%
Jamaica,JM,1987,SE.SEC.ENRR,62.4330787658691,%
Jamaica,JM,1988,SE.SEC.ENRR,66.1178588867188,%
Jamaica,JM,1989,SE.SEC.ENRR,65.2868804931641,%
Jamaica,JM,1990,SE.SEC.ENRR,,%
Jamaica,JM,1991,SE.SEC.ENRR,69.5024185180664,%
Jamaica,JM,1992,SE.SEC.ENRR,,%
Jamaica,JM,1993,SE.SEC.ENRR,64.6012420654297,%
Jamaica,JM,1994,SE.SEC.ENRR,,%
Jamaica,JM,1995,SE.SEC.ENRR,,%
Jamaica,JM,1996,SE.SEC.ENRR,,%
Jamaica,JM,1997,SE.SEC.ENRR,,%
Jamaica,JM,1998,SE.SEC.ENRR,,%
Jamaica,JM,1999,SE.SEC.ENRR,79.3084487915039,%
Jamaica,JM,2000,SE.SEC.ENRR,77.8638534545898,%
Jamaica,JM,2001,SE.SEC.ENRR,77.1960906982422,%
Jamaica,JM,2002,SE.SEC.ENRR,77.3407211303711,%
Jamaica,JM,2003,SE.SEC.ENRR,78.4519424438477,%
Jamaica,JM,2004,SE.SEC.ENRR,84.1350479125977,%
Jamaica,JM,2005,SE.SEC.ENRR,84.3703918457031,%
Jamaica,JM,2006,SE.SEC.ENRR,,%
Jamaica,JM,2007,SE.SEC.ENRR,87.4862670898438,%
Jamaica,JM,2008,SE.SEC.ENRR,88.5908203125,%
Jamaica,JM,2009,SE.SEC.ENRR,90.9556503295898,%
Jamaica,JM,2010,SE.SEC.ENRR,89.9543304443359,%
Jamaica,JM,2011,SE.SEC.ENRR,91.6688995361328,%
Jamaica,JM,2012,SE.SEC.ENRR,,%
Jamaica,JM,2013,SE.SEC.ENRR,86.7720413208008,%
Jamaica,JM,2014,SE.SEC.ENRR,87.7948913574219,%
Jamaica,JM,2015,SE.SEC.ENRR,87.4978103637695,%
Jamaica,JM,2016,SE.SEC.ENRR,91.1691513061523,%
Jamaica,JM,2017,SE.SEC.ENRR,87.6734008789062,%
Jamaica,JM,2018,SE.SEC.ENRR,86.6602401733398,%
Jamaica,JM,2019,SE.SEC.ENRR,87.9186782836914,%
Jamaica,JM,2020,SE.SEC.ENRR,85.1645812988281,%
Jamaica,JM,2021,SE.SEC.ENRR,87.2776412963867,%
Jamaica,JM,2022,SE.SEC.ENRR,83.871467590332,%
Jamaica,JM,2023,SE.SEC.ENRR,86.4048004150391,%
Jamaica,JM,2024,SE.SEC.ENRR,,%
