country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SE.TER.ENRR,,%
Jamaica,JM,1961,SE.TER.ENRR,,%
Jamaica,JM,1962,SE.TER.ENRR,,%
Jamaica,JM,1963,SE.TER.ENRR,,%
Jamaica,JM,1964,SE.TER.ENRR,,%
Jamaica,JM,1965,SE.TER.ENRR,,%
Jamaica,JM,1966,SE.TER.ENRR,,%
Jamaica,JM,1967,SE.TER.ENRR,,%
Jamaica,JM,1968,SE.TER.ENRR,,%
Jamaica,JM,1969,SE.TER.ENRR,,%
Jamaica,JM,1970,SE.TER.ENRR,,%
Jamaica,JM,1971,SE.TER.ENRR,4.99138021469116,%
Jamaica,JM,1972,SE.TER.ENRR,5.32110023498535,%
Jamaica,JM,1973,SE.TER.ENRR,5.64686012268066,%
Jamaica,JM,1974,SE.TER.ENRR,5.43023014068604,%
Jamaica,JM,1975,SE.TER.ENRR,,%
Jamaica,JM,1976,SE.TER.ENRR,,%
Jamaica,JM,1977,SE.TER.ENRR,6.89940023422241,%
Jamaica,JM,1978,SE.TER.ENRR,,%
Jamaica,JM,1979,SE.TER.ENRR,,%
Jamaica,JM,1980,SE.TER.ENRR,,%
Jamaica,JM,1981,SE.TER.ENRR,6.52557992935181,%
Jamaica,JM,1982,SE.TER.ENRR,,%
Jamaica,JM,1983,SE.TER.ENRR,,%
Jamaica,JM,1984,SE.TER.ENRR,,%
Jamaica,JM,1985,SE.TER.ENRR,,%
Jamaica,JM,1986,SE.TER.ENRR,,%
Jamaica,JM,1987,SE.TER.ENRR,5.00328016281128,%
Jamaica,JM,1988,SE.TER.ENRR,,%
Jamaica,JM,1989,SE.TER.ENRR,5.01494979858398,%
Jamaica,JM,1990,SE.TER.ENRR,,%
Jamaica,JM,1991,SE.TER.ENRR,6.58177995681763,%
Jamaica,JM,1992,SE.TER.ENRR,6.55360984802246,%
Jamaica,JM,1993,SE.TER.ENRR,,%
Jamaica,JM,1994,SE.TER.ENRR,,%
Jamaica,JM,1995,SE.TER.ENRR,,%
Jamaica,JM,1996,SE.TER.ENRR,,%
Jamaica,JM,1997,SE.TER.ENRR,,%
Jamaica,JM,1998,SE.TER.ENRR,,%
Jamaica,JM,1999,SE.TER.ENRR,8.46197032928467,%
Jamaica,JM,2000,SE.TER.ENRR,13.6748199462891,%
Jamaica,JM,2001,SE.TER.ENRR,15.8334903717041,%
Jamaica,JM,2002,SE.TER.ENRR,16.6099491119385,%
Jamaica,JM,2003,SE.TER.ENRR,18.5184497833252,%
Jamaica,JM,2004,SE.TER.ENRR,18.6317501068115,%
Jamaica,JM,2005,SE.TER.ENRR,16.8241291046143,%
Jamaica,JM,2006,SE.TER.ENRR,16.696590423584,%
Jamaica,JM,2007,SE.TER.ENRR,,%
Jamaica,JM,2008,SE.TER.ENRR,21.6736602783203,%
Jamaica,JM,2009,SE.TER.ENRR,21.8664493560791,%
Jamaica,JM,2010,SE.TER.ENRR,25.3243999481201,%
Jamaica,JM,2011,SE.TER.ENRR,24.957540512085,%
Jamaica,JM,2012,SE.TER.ENRR,27.4642906188965,%
Jamaica,JM,2013,SE.TER.ENRR,25.8244800567627,%
Jamaica,JM,2014,SE.TER.ENRR,,%
Jamaica,JM,2015,SE.TER.ENRR,26.4131107330322,%
Jamaica,JM,2016,SE.TER.ENRR,,%
Jamaica,JM,2017,SE.TER.ENRR,,%
Jamaica,JM,2018,SE.TER.ENRR,,%
Jamaica,JM,2019,SE.TER.ENRR,,%
Jamaica,JM,2020,SE.TER.ENRR,,%
Jamaica,JM,2021,SE.TER.ENRR,,%
Jamaica,JM,2022,SE.TER.ENRR,,%
Jamaica,JM,2023,SE.TER.ENRR,,%
Jamaica,JM,2024,SE.TER.ENRR,,%
