country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1961,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1962,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1963,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1964,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1965,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1966,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1967,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1968,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1969,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1970,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1971,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1972,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1973,SE.XPD.TOTL.GD.ZS,3.63143992424011,%
Jamaica,JM,1974,SE.XPD.TOTL.GD.ZS,4.24897003173828,%
Jamaica,JM,1975,SE.XPD.TOTL.GD.ZS,5.22878980636597,%
Jamaica,JM,1976,SE.XPD.TOTL.GD.ZS,5.85832977294922,%
Jamaica,JM,1977,SE.XPD.TOTL.GD.ZS,6.02651977539062,%
Jamaica,JM,1978,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1979,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1980,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1981,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1982,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1983,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1984,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1985,SE.XPD.TOTL.GD.ZS,5.39190006256104,%
Jamaica,JM,1986,SE.XPD.TOTL.GD.ZS,4.60398006439209,%
Jamaica,JM,1987,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1988,SE.XPD.TOTL.GD.ZS,3.94086003303528,%
Jamaica,JM,1989,SE.XPD.TOTL.GD.ZS,5.18397998809814,%
Jamaica,JM,1990,SE.XPD.TOTL.GD.ZS,4.7791600227356,%
Jamaica,JM,1991,SE.XPD.TOTL.GD.ZS,4.38306999206543,%
Jamaica,JM,1992,SE.XPD.TOTL.GD.ZS,3.33665990829468,%
Jamaica,JM,1993,SE.XPD.TOTL.GD.ZS,3.21403002738953,%
Jamaica,JM,1994,SE.XPD.TOTL.GD.ZS,4.06418991088867,%
Jamaica,JM,1995,SE.XPD.TOTL.GD.ZS,3.38908004760742,%
Jamaica,JM,1996,SE.XPD.TOTL.GD.ZS,3.67773008346558,%
Jamaica,JM,1997,SE.XPD.TOTL.GD.ZS,4.37953996658325,%
Jamaica,JM,1998,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,1999,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,2000,SE.XPD.TOTL.GD.ZS,4.98346996307373,%
Jamaica,JM,2001,SE.XPD.TOTL.GD.ZS,5.38103008270264,%
Jamaica,JM,2002,SE.XPD.TOTL.GD.ZS,5.37522983551025,%
Jamaica,JM,2003,SE.XPD.TOTL.GD.ZS,4.25684976577759,%
Jamaica,JM,2004,SE.XPD.TOTL.GD.ZS,3.91254997253418,%
Jamaica,JM,2005,SE.XPD.TOTL.GD.ZS,4.61641979217529,%
Jamaica,JM,2006,SE.XPD.TOTL.GD.ZS,,%
Jamaica,JM,2007,SE.XPD.TOTL.GD.ZS,5.49022006988525,%
Jamaica,JM,2008,SE.XPD.TOTL.GD.ZS,6.19131994247437,%
Jamaica,JM,2009,SE.XPD.TOTL.GD.ZS,6.19848012924194,%
Jamaica,JM,2010,SE.XPD.TOTL.GD.ZS,6.37060022354126,%
Jamaica,JM,2011,SE.XPD.TOTL.GD.ZS,6.26664018630981,%
Jamaica,JM,2012,SE.XPD.TOTL.GD.ZS,6.11246013641357,%
Jamaica,JM,2013,SE.XPD.TOTL.GD.ZS,6.25108003616333,%
Jamaica,JM,2014,SE.XPD.TOTL.GD.ZS,6.01586008071899,%
Jamaica,JM,2015,SE.XPD.TOTL.GD.ZS,5.45522022247314,%
Jamaica,JM,2016,SE.XPD.TOTL.GD.ZS,5.31461000442505,%
Jamaica,JM,2017,SE.XPD.TOTL.GD.ZS,5.26016998291016,%
Jamaica,JM,2018,SE.XPD.TOTL.GD.ZS,5.41380977630615,%
Jamaica,JM,2019,SE.XPD.TOTL.GD.ZS,5.16364002227783,%
Jamaica,JM,2020,SE.XPD.TOTL.GD.ZS,5.61749505996704,%
Jamaica,JM,2021,SE.XPD.TOTL.GD.ZS,5.63123989105225,%
Jamaica,JM,2022,SE.XPD.TOTL.GD.ZS,5.35435009002686,%
Jamaica,JM,2023,SE.XPD.TOTL.GD.ZS,5.65453672409058,%
Jamaica,JM,2024,SE.XPD.TOTL.GD.ZS,,%
