country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SH.IMM.MEAS,,%
Jamaica,JM,1961,SH.IMM.MEAS,,%
Jamaica,JM,1962,SH.IMM.MEAS,,%
Jamaica,JM,1963,SH.IMM.MEAS,,%
Jamaica,JM,1964,SH.IMM.MEAS,,%
Jamaica,JM,1965,SH.IMM.MEAS,,%
Jamaica,JM,1966,SH.IMM.MEAS,,%
Jamaica,JM,1967,SH.IMM.MEAS,,%
Jamaica,JM,1968,SH.IMM.MEAS,,%
Jamaica,JM,1969,SH.IMM.MEAS,,%
Jamaica,JM,1970,SH.IMM.MEAS,,%
Jamaica,JM,1971,SH.IMM.MEAS,,%
Jamaica,JM,1972,SH.IMM.MEAS,,%
Jamaica,JM,1973,SH.IMM.MEAS,,%
Jamaica,JM,1974,SH.IMM.MEAS,,%
Jamaica,JM,1975,SH.IMM.MEAS,,%
Jamaica,JM,1976,SH.IMM.MEAS,,%
Jamaica,JM,1977,SH.IMM.MEAS,,%
Jamaica,JM,1978,SH.IMM.MEAS,,%
Jamaica,JM,1979,SH.IMM.MEAS,,%
Jamaica,JM,1980,SH.IMM.MEAS,,%
Jamaica,JM,1981,SH.IMM.MEAS,,%
Jamaica,JM,1982,SH.IMM.MEAS,12.0,%
Jamaica,JM,1983,SH.IMM.MEAS,15.0,%
Jamaica,JM,1984,SH.IMM.MEAS,60.0,%
Jamaica,JM,1985,SH.IMM.MEAS,64.0,%
Jamaica,JM,1986,SH.IMM.MEAS,36.0,%
Jamaica,JM,1987,SH.IMM.MEAS,62.0,%
Jamaica,JM,1988,SH.IMM.MEAS,68.0,%
Jamaica,JM,1989,SH.IMM.MEAS,71.0,%
Jamaica,JM,1990,SH.IMM.MEAS,74.0,%
Jamaica,JM,1991,SH.IMM.MEAS,77.0,%
Jamaica,JM,1992,SH.IMM.MEAS,63.0,%
Jamaica,JM,1993,SH.IMM.MEAS,80.0,%
Jamaica,JM,1994,SH.IMM.MEAS,82.0,%
Jamaica,JM,1995,SH.IMM.MEAS,90.0,%
Jamaica,JM,1996,SH.IMM.MEAS,96.0,%
Jamaica,JM,1997,SH.IMM.MEAS,88.0,%
Jamaica,JM,1998,SH.IMM.MEAS,88.0,%
Jamaica,JM,1999,SH.IMM.MEAS,82.0,%
Jamaica,JM,2000,SH.IMM.MEAS,88.0,%
Jamaica,JM,2001,SH.IMM.MEAS,85.0,%
Jamaica,JM,2002,SH.IMM.MEAS,86.0,%
Jamaica,JM,2003,SH.IMM.MEAS,78.0,%
Jamaica,JM,2004,SH.IMM.MEAS,86.0,%
Jamaica,JM,2005,SH.IMM.MEAS,84.0,%
Jamaica,JM,2006,SH.IMM.MEAS,87.0,%
Jamaica,JM,2007,SH.IMM.MEAS,76.0,%
Jamaica,JM,2008,SH.IMM.MEAS,88.0,%
Jamaica,JM,2009,SH.IMM.MEAS,88.0,%
Jamaica,JM,2010,SH.IMM.MEAS,89.0,%
Jamaica,JM,2011,SH.IMM.MEAS,88.0,%
Jamaica,JM,2012,SH.IMM.MEAS,93.0,%
Jamaica,JM,2013,SH.IMM.MEAS,94.0,%
Jamaica,JM,2014,SH.IMM.MEAS,92.0,%
Jamaica,JM,2015,SH.IMM.MEAS,91.0,%
Jamaica,JM,2016,SH.IMM.MEAS,95.0,%
Jamaica,JM,2017,SH.IMM.MEAS,95.0,%
Jamaica,JM,2018,SH.IMM.MEAS,89.0,%
Jamaica,JM,2019,SH.IMM.MEAS,94.0,%
Jamaica,JM,2020,SH.IMM.MEAS,93.0,%
Jamaica,JM,2021,SH.IMM.MEAS,88.0,%
Jamaica,JM,2022,SH.IMM.MEAS,91.0,%
Jamaica,JM,2023,SH.IMM.MEAS,93.0,%
Jamaica,JM,2024,SH.IMM.MEAS,,%
