country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SH.MED.BEDS.ZS,4.14548826217651,per 1k
Jamaica,JM,1961,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1962,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1963,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1964,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1965,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1966,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1967,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1968,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1969,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1970,SH.MED.BEDS.ZS,4.10489988327026,per 1k
Jamaica,JM,1971,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1972,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1973,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1974,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1975,SH.MED.BEDS.ZS,4.99949979782104,per 1k
Jamaica,JM,1976,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1977,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1978,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1979,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1980,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1981,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1982,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1983,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1984,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1985,SH.MED.BEDS.ZS,3.33330011367798,per 1k
Jamaica,JM,1986,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1987,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1988,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1989,SH.MED.BEDS.ZS,2.40009999275208,per 1k
Jamaica,JM,1990,SH.MED.BEDS.ZS,2.2000000477,per 1k
Jamaica,JM,1991,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1992,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1993,SH.MED.BEDS.ZS,2.1003000736,per 1k
Jamaica,JM,1994,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1995,SH.MED.BEDS.ZS,2.1,per 1k
Jamaica,JM,1996,SH.MED.BEDS.ZS,2.1199998856,per 1k
Jamaica,JM,1997,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1998,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,1999,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,2000,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,2001,SH.MED.BEDS.ZS,1.5,per 1k
Jamaica,JM,2002,SH.MED.BEDS.ZS,1.5,per 1k
Jamaica,JM,2003,SH.MED.BEDS.ZS,1.3999999762,per 1k
Jamaica,JM,2004,SH.MED.BEDS.ZS,1.8,per 1k
Jamaica,JM,2005,SH.MED.BEDS.ZS,1.7,per 1k
Jamaica,JM,2006,SH.MED.BEDS.ZS,2.0,per 1k
Jamaica,JM,2007,SH.MED.BEDS.ZS,1.7,per 1k
Jamaica,JM,2008,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,2009,SH.MED.BEDS.ZS,1.71,per 1k
Jamaica,JM,2010,SH.MED.BEDS.ZS,1.82,per 1k
Jamaica,JM,2011,SH.MED.BEDS.ZS,1.81,per 1k
Jamaica,JM,2012,SH.MED.BEDS.ZS,1.8,per 1k
Jamaica,JM,2013,SH.MED.BEDS.ZS,1.69,per 1k
Jamaica,JM,2014,SH.MED.BEDS.ZS,1.69,per 1k
Jamaica,JM,2015,SH.MED.BEDS.ZS,1.71,per 1k
Jamaica,JM,2016,SH.MED.BEDS.ZS,1.74,per 1k
Jamaica,JM,2017,SH.MED.BEDS.ZS,1.71,per 1k
Jamaica,JM,2018,SH.MED.BEDS.ZS,1.7,per 1k
Jamaica,JM,2019,SH.MED.BEDS.ZS,1.73,per 1k
Jamaica,JM,2020,SH.MED.BEDS.ZS,1.71,per 1k
Jamaica,JM,2021,SH.MED.BEDS.ZS,1.68,per 1k
Jamaica,JM,2022,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,2023,SH.MED.BEDS.ZS,,per 1k
Jamaica,JM,2024,SH.MED.BEDS.ZS,,per 1k
