country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1961,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1962,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1963,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1964,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1965,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1966,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1967,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1968,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1969,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1970,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1971,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1972,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1973,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1974,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1975,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1976,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1977,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1978,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1979,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1980,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1981,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1982,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1983,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1984,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1985,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1986,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1987,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1988,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1989,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1990,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1991,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1992,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1993,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1994,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1995,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1996,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1997,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1998,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,1999,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,2000,SH.XPD.CHEX.GD.ZS,5.64462519,%
Jamaica,JM,2001,SH.XPD.CHEX.GD.ZS,5.15652943,%
Jamaica,JM,2002,SH.XPD.CHEX.GD.ZS,4.74544334,%
Jamaica,JM,2003,SH.XPD.CHEX.GD.ZS,4.22014141,%
Jamaica,JM,2004,SH.XPD.CHEX.GD.ZS,4.80435276,%
Jamaica,JM,2005,SH.XPD.CHEX.GD.ZS,4.54581785,%
Jamaica,JM,2006,SH.XPD.CHEX.GD.ZS,4.20788145,%
Jamaica,JM,2007,SH.XPD.CHEX.GD.ZS,5.32057667,%
Jamaica,JM,2008,SH.XPD.CHEX.GD.ZS,5.61143064,%
Jamaica,JM,2009,SH.XPD.CHEX.GD.ZS,5.14654493,%
Jamaica,JM,2010,SH.XPD.CHEX.GD.ZS,5.2951932,%
Jamaica,JM,2011,SH.XPD.CHEX.GD.ZS,5.23845339,%
Jamaica,JM,2012,SH.XPD.CHEX.GD.ZS,4.88512897,%
Jamaica,JM,2013,SH.XPD.CHEX.GD.ZS,4.95443439,%
Jamaica,JM,2014,SH.XPD.CHEX.GD.ZS,5.16564465,%
Jamaica,JM,2015,SH.XPD.CHEX.GD.ZS,5.62470436,%
Jamaica,JM,2016,SH.XPD.CHEX.GD.ZS,5.70102215,%
Jamaica,JM,2017,SH.XPD.CHEX.GD.ZS,6.14859295,%
Jamaica,JM,2018,SH.XPD.CHEX.GD.ZS,5.96798849,%
Jamaica,JM,2019,SH.XPD.CHEX.GD.ZS,6.09761,%
Jamaica,JM,2020,SH.XPD.CHEX.GD.ZS,6.62580395,%
Jamaica,JM,2021,SH.XPD.CHEX.GD.ZS,7.18521214,%
Jamaica,JM,2022,SH.XPD.CHEX.GD.ZS,7.77706337,%
Jamaica,JM,2023,SH.XPD.CHEX.GD.ZS,,%
Jamaica,JM,2024,SH.XPD.CHEX.GD.ZS,,%
