country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1961,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1962,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1963,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1964,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1965,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1966,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1967,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1968,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1969,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1970,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1971,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1972,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1973,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1974,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1975,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1976,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1977,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1978,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1979,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1980,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1981,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1982,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1983,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1984,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1985,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1986,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1987,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1988,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1989,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1990,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1991,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1992,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1993,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1994,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1995,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1996,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1997,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1998,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,1999,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,2000,SH.XPD.CHEX.PC.CD,194.91415405,US$
Jamaica,JM,2001,SH.XPD.CHEX.PC.CD,180.66116333,US$
Jamaica,JM,2002,SH.XPD.CHEX.PC.CD,174.66261292,US$
Jamaica,JM,2003,SH.XPD.CHEX.PC.CD,149.80267334,US$
Jamaica,JM,2004,SH.XPD.CHEX.PC.CD,182.9284668,US$
Jamaica,JM,2005,SH.XPD.CHEX.PC.CD,190.21676636,US$
Jamaica,JM,2006,SH.XPD.CHEX.PC.CD,185.86221313,US$
Jamaica,JM,2007,SH.XPD.CHEX.PC.CD,250.94419861,US$
Jamaica,JM,2008,SH.XPD.CHEX.PC.CD,282.24386597,US$
Jamaica,JM,2009,SH.XPD.CHEX.PC.CD,227.90843201,US$
Jamaica,JM,2010,SH.XPD.CHEX.PC.CD,254.69741821,US$
Jamaica,JM,2011,SH.XPD.CHEX.PC.CD,274.10949707,US$
Jamaica,JM,2012,SH.XPD.CHEX.PC.CD,260.90640259,US$
Jamaica,JM,2013,SH.XPD.CHEX.PC.CD,253.8757782,US$
Jamaica,JM,2014,SH.XPD.CHEX.PC.CD,256.99667358,US$
Jamaica,JM,2015,SH.XPD.CHEX.PC.CD,284.7729187,US$
Jamaica,JM,2016,SH.XPD.CHEX.PC.CD,285.60949707,US$
Jamaica,JM,2017,SH.XPD.CHEX.PC.CD,323.37380981,US$
Jamaica,JM,2018,SH.XPD.CHEX.PC.CD,332.90045166,US$
Jamaica,JM,2019,SH.XPD.CHEX.PC.CD,341.90777588,US$
Jamaica,JM,2020,SH.XPD.CHEX.PC.CD,323.30215454,US$
Jamaica,JM,2021,SH.XPD.CHEX.PC.CD,371.14056396,US$
Jamaica,JM,2022,SH.XPD.CHEX.PC.CD,468.34671021,US$
Jamaica,JM,2023,SH.XPD.CHEX.PC.CD,,US$
Jamaica,JM,2024,SH.XPD.CHEX.PC.CD,,US$
