country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SI.POV.UMIC,,%
Jamaica,JM,1961,SI.POV.UMIC,,%
Jamaica,JM,1962,SI.POV.UMIC,,%
Jamaica,JM,1963,SI.POV.UMIC,,%
Jamaica,JM,1964,SI.POV.UMIC,,%
Jamaica,JM,1965,SI.POV.UMIC,,%
Jamaica,JM,1966,SI.POV.UMIC,,%
Jamaica,JM,1967,SI.POV.UMIC,,%
Jamaica,JM,1968,SI.POV.UMIC,,%
Jamaica,JM,1969,SI.POV.UMIC,,%
Jamaica,JM,1970,SI.POV.UMIC,,%
Jamaica,JM,1971,SI.POV.UMIC,,%
Jamaica,JM,1972,SI.POV.UMIC,,%
Jamaica,JM,1973,SI.POV.UMIC,,%
Jamaica,JM,1974,SI.POV.UMIC,,%
Jamaica,JM,1975,SI.POV.UMIC,,%
Jamaica,JM,1976,SI.POV.UMIC,,%
Jamaica,JM,1977,SI.POV.UMIC,,%
Jamaica,JM,1978,SI.POV.UMIC,,%
Jamaica,JM,1979,SI.POV.UMIC,,%
Jamaica,JM,1980,SI.POV.UMIC,,%
Jamaica,JM,1981,SI.POV.UMIC,,%
Jamaica,JM,1982,SI.POV.UMIC,,%
Jamaica,JM,1983,SI.POV.UMIC,,%
Jamaica,JM,1984,SI.POV.UMIC,,%
Jamaica,JM,1985,SI.POV.UMIC,,%
Jamaica,JM,1986,SI.POV.UMIC,,%
Jamaica,JM,1987,SI.POV.UMIC,,%
Jamaica,JM,1988,SI.POV.UMIC,60.3,%
Jamaica,JM,1989,SI.POV.UMIC,,%
Jamaica,JM,1990,SI.POV.UMIC,64.2,%
Jamaica,JM,1991,SI.POV.UMIC,,%
Jamaica,JM,1992,SI.POV.UMIC,,%
Jamaica,JM,1993,SI.POV.UMIC,78.9,%
Jamaica,JM,1994,SI.POV.UMIC,,%
Jamaica,JM,1995,SI.POV.UMIC,,%
Jamaica,JM,1996,SI.POV.UMIC,60.2,%
Jamaica,JM,1997,SI.POV.UMIC,,%
Jamaica,JM,1998,SI.POV.UMIC,,%
Jamaica,JM,1999,SI.POV.UMIC,45.1,%
Jamaica,JM,2000,SI.POV.UMIC,,%
Jamaica,JM,2001,SI.POV.UMIC,,%
Jamaica,JM,2002,SI.POV.UMIC,46.6,%
Jamaica,JM,2003,SI.POV.UMIC,,%
Jamaica,JM,2004,SI.POV.UMIC,44.3,%
Jamaica,JM,2005,SI.POV.UMIC,,%
Jamaica,JM,2006,SI.POV.UMIC,,%
Jamaica,JM,2007,SI.POV.UMIC,,%
Jamaica,JM,2008,SI.POV.UMIC,,%
Jamaica,JM,2009,SI.POV.UMIC,,%
Jamaica,JM,2010,SI.POV.UMIC,,%
Jamaica,JM,2011,SI.POV.UMIC,,%
Jamaica,JM,2012,SI.POV.UMIC,,%
Jamaica,JM,2013,SI.POV.UMIC,,%
Jamaica,JM,2014,SI.POV.UMIC,,%
Jamaica,JM,2015,SI.POV.UMIC,,%
Jamaica,JM,2016,SI.POV.UMIC,,%
Jamaica,JM,2017,SI.POV.UMIC,,%
Jamaica,JM,2018,SI.POV.UMIC,18.3,%
Jamaica,JM,2019,SI.POV.UMIC,,%
Jamaica,JM,2020,SI.POV.UMIC,,%
Jamaica,JM,2021,SI.POV.UMIC,22.9,%
Jamaica,JM,2022,SI.POV.UMIC,,%
Jamaica,JM,2023,SI.POV.UMIC,,%
Jamaica,JM,2024,SI.POV.UMIC,,%
