country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1961,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1962,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1963,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1964,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1965,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1966,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1967,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1968,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1969,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1970,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1971,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1972,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1973,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1974,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1975,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1976,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1977,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1978,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1979,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1980,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1981,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1982,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1983,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1984,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1985,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1986,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1987,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1988,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1989,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1990,SL.EMP.TOTL.SP.ZS,,%
Jamaica,JM,1991,SL.EMP.TOTL.SP.ZS,66.471,%
Jamaica,JM,1992,SL.EMP.TOTL.SP.ZS,66.047,%
Jamaica,JM,1993,SL.EMP.TOTL.SP.ZS,65.826,%
Jamaica,JM,1994,SL.EMP.TOTL.SP.ZS,65.391,%
Jamaica,JM,1995,SL.EMP.TOTL.SP.ZS,65.005,%
Jamaica,JM,1996,SL.EMP.TOTL.SP.ZS,64.382,%
Jamaica,JM,1997,SL.EMP.TOTL.SP.ZS,63.875,%
Jamaica,JM,1998,SL.EMP.TOTL.SP.ZS,63.305,%
Jamaica,JM,1999,SL.EMP.TOTL.SP.ZS,62.646,%
Jamaica,JM,2000,SL.EMP.TOTL.SP.ZS,62.161,%
Jamaica,JM,2001,SL.EMP.TOTL.SP.ZS,61.719,%
Jamaica,JM,2002,SL.EMP.TOTL.SP.ZS,61.408,%
Jamaica,JM,2003,SL.EMP.TOTL.SP.ZS,61.127,%
Jamaica,JM,2004,SL.EMP.TOTL.SP.ZS,61.087,%
Jamaica,JM,2005,SL.EMP.TOTL.SP.ZS,60.89,%
Jamaica,JM,2006,SL.EMP.TOTL.SP.ZS,60.65,%
Jamaica,JM,2007,SL.EMP.TOTL.SP.ZS,60.398,%
Jamaica,JM,2008,SL.EMP.TOTL.SP.ZS,60.093,%
Jamaica,JM,2009,SL.EMP.TOTL.SP.ZS,57.628,%
Jamaica,JM,2010,SL.EMP.TOTL.SP.ZS,55.876,%
Jamaica,JM,2011,SL.EMP.TOTL.SP.ZS,55.93,%
Jamaica,JM,2012,SL.EMP.TOTL.SP.ZS,55.451,%
Jamaica,JM,2013,SL.EMP.TOTL.SP.ZS,55.846,%
Jamaica,JM,2014,SL.EMP.TOTL.SP.ZS,56.891,%
Jamaica,JM,2015,SL.EMP.TOTL.SP.ZS,59.716,%
Jamaica,JM,2016,SL.EMP.TOTL.SP.ZS,59.316,%
Jamaica,JM,2017,SL.EMP.TOTL.SP.ZS,60.815,%
Jamaica,JM,2018,SL.EMP.TOTL.SP.ZS,61.902,%
Jamaica,JM,2019,SL.EMP.TOTL.SP.ZS,63.628,%
Jamaica,JM,2020,SL.EMP.TOTL.SP.ZS,60.619,%
Jamaica,JM,2021,SL.EMP.TOTL.SP.ZS,62.286,%
Jamaica,JM,2022,SL.EMP.TOTL.SP.ZS,64.892,%
Jamaica,JM,2023,SL.EMP.TOTL.SP.ZS,64.904,%
Jamaica,JM,2024,SL.EMP.TOTL.SP.ZS,64.704,%
