country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1961,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1962,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1963,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1964,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1965,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1966,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1967,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1968,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1969,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1970,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1971,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1972,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1973,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1974,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1975,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1976,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1977,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1978,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1979,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1980,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1981,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1982,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1983,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1984,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1985,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1986,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1987,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1988,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1989,SL.TLF.CACT.FE.ZS,,%
Jamaica,JM,1990,SL.TLF.CACT.FE.ZS,63.881,%
Jamaica,JM,1991,SL.TLF.CACT.FE.ZS,63.441,%
Jamaica,JM,1992,SL.TLF.CACT.FE.ZS,63.033,%
Jamaica,JM,1993,SL.TLF.CACT.FE.ZS,62.628,%
Jamaica,JM,1994,SL.TLF.CACT.FE.ZS,62.174,%
Jamaica,JM,1995,SL.TLF.CACT.FE.ZS,61.673,%
Jamaica,JM,1996,SL.TLF.CACT.FE.ZS,61.131,%
Jamaica,JM,1997,SL.TLF.CACT.FE.ZS,60.544,%
Jamaica,JM,1998,SL.TLF.CACT.FE.ZS,59.928,%
Jamaica,JM,1999,SL.TLF.CACT.FE.ZS,58.984,%
Jamaica,JM,2000,SL.TLF.CACT.FE.ZS,58.147,%
Jamaica,JM,2001,SL.TLF.CACT.FE.ZS,57.325,%
Jamaica,JM,2002,SL.TLF.CACT.FE.ZS,56.932,%
Jamaica,JM,2003,SL.TLF.CACT.FE.ZS,56.534,%
Jamaica,JM,2004,SL.TLF.CACT.FE.ZS,56.565,%
Jamaica,JM,2005,SL.TLF.CACT.FE.ZS,56.394,%
Jamaica,JM,2006,SL.TLF.CACT.FE.ZS,56.177,%
Jamaica,JM,2007,SL.TLF.CACT.FE.ZS,55.937,%
Jamaica,JM,2008,SL.TLF.CACT.FE.ZS,55.689,%
Jamaica,JM,2009,SL.TLF.CACT.FE.ZS,53.753,%
Jamaica,JM,2010,SL.TLF.CACT.FE.ZS,52.347,%
Jamaica,JM,2011,SL.TLF.CACT.FE.ZS,52.646,%
Jamaica,JM,2012,SL.TLF.CACT.FE.ZS,53.024,%
Jamaica,JM,2013,SL.TLF.CACT.FE.ZS,53.938,%
Jamaica,JM,2014,SL.TLF.CACT.FE.ZS,54.469,%
Jamaica,JM,2015,SL.TLF.CACT.FE.ZS,58.524,%
Jamaica,JM,2016,SL.TLF.CACT.FE.ZS,57.653,%
Jamaica,JM,2017,SL.TLF.CACT.FE.ZS,58.604,%
Jamaica,JM,2018,SL.TLF.CACT.FE.ZS,58.309,%
Jamaica,JM,2019,SL.TLF.CACT.FE.ZS,59.834,%
Jamaica,JM,2020,SL.TLF.CACT.FE.ZS,57.579,%
Jamaica,JM,2021,SL.TLF.CACT.FE.ZS,58.395,%
Jamaica,JM,2022,SL.TLF.CACT.FE.ZS,60.803,%
Jamaica,JM,2023,SL.TLF.CACT.FE.ZS,61.172,%
Jamaica,JM,2024,SL.TLF.CACT.FE.ZS,61.301,%
