country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SL.TLF.TOTL.IN,,people
Jamaica,JM,1961,SL.TLF.TOTL.IN,,people
Jamaica,JM,1962,SL.TLF.TOTL.IN,,people
Jamaica,JM,1963,SL.TLF.TOTL.IN,,people
Jamaica,JM,1964,SL.TLF.TOTL.IN,,people
Jamaica,JM,1965,SL.TLF.TOTL.IN,,people
Jamaica,JM,1966,SL.TLF.TOTL.IN,,people
Jamaica,JM,1967,SL.TLF.TOTL.IN,,people
Jamaica,JM,1968,SL.TLF.TOTL.IN,,people
Jamaica,JM,1969,SL.TLF.TOTL.IN,,people
Jamaica,JM,1970,SL.TLF.TOTL.IN,,people
Jamaica,JM,1971,SL.TLF.TOTL.IN,,people
Jamaica,JM,1972,SL.TLF.TOTL.IN,,people
Jamaica,JM,1973,SL.TLF.TOTL.IN,,people
Jamaica,JM,1974,SL.TLF.TOTL.IN,,people
Jamaica,JM,1975,SL.TLF.TOTL.IN,,people
Jamaica,JM,1976,SL.TLF.TOTL.IN,,people
Jamaica,JM,1977,SL.TLF.TOTL.IN,,people
Jamaica,JM,1978,SL.TLF.TOTL.IN,,people
Jamaica,JM,1979,SL.TLF.TOTL.IN,,people
Jamaica,JM,1980,SL.TLF.TOTL.IN,,people
Jamaica,JM,1981,SL.TLF.TOTL.IN,,people
Jamaica,JM,1982,SL.TLF.TOTL.IN,,people
Jamaica,JM,1983,SL.TLF.TOTL.IN,,people
Jamaica,JM,1984,SL.TLF.TOTL.IN,,people
Jamaica,JM,1985,SL.TLF.TOTL.IN,,people
Jamaica,JM,1986,SL.TLF.TOTL.IN,,people
Jamaica,JM,1987,SL.TLF.TOTL.IN,,people
Jamaica,JM,1988,SL.TLF.TOTL.IN,,people
Jamaica,JM,1989,SL.TLF.TOTL.IN,,people
Jamaica,JM,1990,SL.TLF.TOTL.IN,1089166.0,people
Jamaica,JM,1991,SL.TLF.TOTL.IN,1097915.0,people
Jamaica,JM,1992,SL.TLF.TOTL.IN,1105739.0,people
Jamaica,JM,1993,SL.TLF.TOTL.IN,1112355.0,people
Jamaica,JM,1994,SL.TLF.TOTL.IN,1119074.0,people
Jamaica,JM,1995,SL.TLF.TOTL.IN,1125977.0,people
Jamaica,JM,1996,SL.TLF.TOTL.IN,1133199.0,people
Jamaica,JM,1997,SL.TLF.TOTL.IN,1140810.0,people
Jamaica,JM,1998,SL.TLF.TOTL.IN,1149014.0,people
Jamaica,JM,1999,SL.TLF.TOTL.IN,1153549.0,people
Jamaica,JM,2000,SL.TLF.TOTL.IN,1160690.0,people
Jamaica,JM,2001,SL.TLF.TOTL.IN,1167448.0,people
Jamaica,JM,2002,SL.TLF.TOTL.IN,1177364.0,people
Jamaica,JM,2003,SL.TLF.TOTL.IN,1186996.0,people
Jamaica,JM,2004,SL.TLF.TOTL.IN,1202433.0,people
Jamaica,JM,2005,SL.TLF.TOTL.IN,1215552.0,people
Jamaica,JM,2006,SL.TLF.TOTL.IN,1228493.0,people
Jamaica,JM,2007,SL.TLF.TOTL.IN,1241668.0,people
Jamaica,JM,2008,SL.TLF.TOTL.IN,1254816.0,people
Jamaica,JM,2009,SL.TLF.TOTL.IN,1229928.0,people
Jamaica,JM,2010,SL.TLF.TOTL.IN,1214581.0,people
Jamaica,JM,2011,SL.TLF.TOTL.IN,1239415.0,people
Jamaica,JM,2012,SL.TLF.TOTL.IN,1255850.0,people
Jamaica,JM,2013,SL.TLF.TOTL.IN,1296517.0,people
Jamaica,JM,2014,SL.TLF.TOTL.IN,1327826.0,people
Jamaica,JM,2015,SL.TLF.TOTL.IN,1405947.0,people
Jamaica,JM,2016,SL.TLF.TOTL.IN,1407658.0,people
Jamaica,JM,2017,SL.TLF.TOTL.IN,1437450.0,people
Jamaica,JM,2018,SL.TLF.TOTL.IN,1446091.0,people
Jamaica,JM,2019,SL.TLF.TOTL.IN,1491227.0,people
Jamaica,JM,2020,SL.TLF.TOTL.IN,1457816.0,people
Jamaica,JM,2021,SL.TLF.TOTL.IN,1490454.0,people
Jamaica,JM,2022,SL.TLF.TOTL.IN,1544729.0,people
Jamaica,JM,2023,SL.TLF.TOTL.IN,1559061.0,people
Jamaica,JM,2024,SL.TLF.TOTL.IN,1570210.0,people
