country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SL.UEM.1524.ZS,,%
Jamaica,JM,1961,SL.UEM.1524.ZS,,%
Jamaica,JM,1962,SL.UEM.1524.ZS,,%
Jamaica,JM,1963,SL.UEM.1524.ZS,,%
Jamaica,JM,1964,SL.UEM.1524.ZS,,%
Jamaica,JM,1965,SL.UEM.1524.ZS,,%
Jamaica,JM,1966,SL.UEM.1524.ZS,,%
Jamaica,JM,1967,SL.UEM.1524.ZS,,%
Jamaica,JM,1968,SL.UEM.1524.ZS,,%
Jamaica,JM,1969,SL.UEM.1524.ZS,,%
Jamaica,JM,1970,SL.UEM.1524.ZS,,%
Jamaica,JM,1971,SL.UEM.1524.ZS,,%
Jamaica,JM,1972,SL.UEM.1524.ZS,,%
Jamaica,JM,1973,SL.UEM.1524.ZS,,%
Jamaica,JM,1974,SL.UEM.1524.ZS,,%
Jamaica,JM,1975,SL.UEM.1524.ZS,,%
Jamaica,JM,1976,SL.UEM.1524.ZS,,%
Jamaica,JM,1977,SL.UEM.1524.ZS,,%
Jamaica,JM,1978,SL.UEM.1524.ZS,,%
Jamaica,JM,1979,SL.UEM.1524.ZS,,%
Jamaica,JM,1980,SL.UEM.1524.ZS,,%
Jamaica,JM,1981,SL.UEM.1524.ZS,,%
Jamaica,JM,1982,SL.UEM.1524.ZS,,%
Jamaica,JM,1983,SL.UEM.1524.ZS,,%
Jamaica,JM,1984,SL.UEM.1524.ZS,,%
Jamaica,JM,1985,SL.UEM.1524.ZS,,%
Jamaica,JM,1986,SL.UEM.1524.ZS,,%
Jamaica,JM,1987,SL.UEM.1524.ZS,,%
Jamaica,JM,1988,SL.UEM.1524.ZS,,%
Jamaica,JM,1989,SL.UEM.1524.ZS,,%
Jamaica,JM,1990,SL.UEM.1524.ZS,,%
Jamaica,JM,1991,SL.UEM.1524.ZS,14.464,%
Jamaica,JM,1992,SL.UEM.1524.ZS,14.899,%
Jamaica,JM,1993,SL.UEM.1524.ZS,14.742,%
Jamaica,JM,1994,SL.UEM.1524.ZS,15.046,%
Jamaica,JM,1995,SL.UEM.1524.ZS,15.133,%
Jamaica,JM,1996,SL.UEM.1524.ZS,15.781,%
Jamaica,JM,1997,SL.UEM.1524.ZS,16.031,%
Jamaica,JM,1998,SL.UEM.1524.ZS,16.418,%
Jamaica,JM,1999,SL.UEM.1524.ZS,16.576,%
Jamaica,JM,2000,SL.UEM.1524.ZS,16.614,%
Jamaica,JM,2001,SL.UEM.1524.ZS,16.558,%
Jamaica,JM,2002,SL.UEM.1524.ZS,16.605,%
Jamaica,JM,2003,SL.UEM.1524.ZS,16.547,%
Jamaica,JM,2004,SL.UEM.1524.ZS,16.705,%
Jamaica,JM,2005,SL.UEM.1524.ZS,16.841,%
Jamaica,JM,2006,SL.UEM.1524.ZS,16.951,%
Jamaica,JM,2007,SL.UEM.1524.ZS,17.007,%
Jamaica,JM,2008,SL.UEM.1524.ZS,17.182,%
Jamaica,JM,2009,SL.UEM.1524.ZS,18.552,%
Jamaica,JM,2010,SL.UEM.1524.ZS,20.451,%
Jamaica,JM,2011,SL.UEM.1524.ZS,20.363,%
Jamaica,JM,2012,SL.UEM.1524.ZS,23.401,%
Jamaica,JM,2013,SL.UEM.1524.ZS,27.228,%
Jamaica,JM,2014,SL.UEM.1524.ZS,26.348,%
Jamaica,JM,2015,SL.UEM.1524.ZS,25.777,%
Jamaica,JM,2016,SL.UEM.1524.ZS,24.661,%
Jamaica,JM,2017,SL.UEM.1524.ZS,21.686,%
Jamaica,JM,2018,SL.UEM.1524.ZS,18.064,%
Jamaica,JM,2019,SL.UEM.1524.ZS,15.96,%
Jamaica,JM,2020,SL.UEM.1524.ZS,20.087,%
Jamaica,JM,2021,SL.UEM.1524.ZS,16.837,%
Jamaica,JM,2022,SL.UEM.1524.ZS,13.117,%
Jamaica,JM,2023,SL.UEM.1524.ZS,13.689,%
Jamaica,JM,2024,SL.UEM.1524.ZS,14.458,%
