country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1961,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1962,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1963,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1964,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1965,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1966,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1967,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1968,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1969,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1970,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1971,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1972,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1973,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1974,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1975,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1976,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1977,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1978,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1979,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1980,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1981,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1982,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1983,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1984,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1985,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1986,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1987,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1988,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1989,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1990,SL.UEM.TOTL.ZS,,%
Jamaica,JM,1991,SL.UEM.TOTL.ZS,6.235,%
Jamaica,JM,1992,SL.UEM.TOTL.ZS,6.389,%
Jamaica,JM,1993,SL.UEM.TOTL.ZS,6.236,%
Jamaica,JM,1994,SL.UEM.TOTL.ZS,6.338,%
Jamaica,JM,1995,SL.UEM.TOTL.ZS,6.327,%
Jamaica,JM,1996,SL.UEM.TOTL.ZS,6.62,%
Jamaica,JM,1997,SL.UEM.TOTL.ZS,6.703,%
Jamaica,JM,1998,SL.UEM.TOTL.ZS,6.86,%
Jamaica,JM,1999,SL.UEM.TOTL.ZS,6.825,%
Jamaica,JM,2000,SL.UEM.TOTL.ZS,6.762,%
Jamaica,JM,2001,SL.UEM.TOTL.ZS,6.646,%
Jamaica,JM,2002,SL.UEM.TOTL.ZS,6.619,%
Jamaica,JM,2003,SL.UEM.TOTL.ZS,6.535,%
Jamaica,JM,2004,SL.UEM.TOTL.ZS,6.539,%
Jamaica,JM,2005,SL.UEM.TOTL.ZS,6.577,%
Jamaica,JM,2006,SL.UEM.TOTL.ZS,6.605,%
Jamaica,JM,2007,SL.UEM.TOTL.ZS,6.606,%
Jamaica,JM,2008,SL.UEM.TOTL.ZS,6.666,%
Jamaica,JM,2009,SL.UEM.TOTL.ZS,7.314,%
Jamaica,JM,2010,SL.UEM.TOTL.ZS,7.63,%
Jamaica,JM,2011,SL.UEM.TOTL.ZS,8.034,%
Jamaica,JM,2012,SL.UEM.TOTL.ZS,8.695,%
Jamaica,JM,2013,SL.UEM.TOTL.ZS,9.698,%
Jamaica,JM,2014,SL.UEM.TOTL.ZS,9.046,%
Jamaica,JM,2015,SL.UEM.TOTL.ZS,8.825,%
Jamaica,JM,2016,SL.UEM.TOTL.ZS,8.634,%
Jamaica,JM,2017,SL.UEM.TOTL.ZS,7.399,%
Jamaica,JM,2018,SL.UEM.TOTL.ZS,5.47,%
Jamaica,JM,2019,SL.UEM.TOTL.ZS,4.987,%
Jamaica,JM,2020,SL.UEM.TOTL.ZS,6.501,%
Jamaica,JM,2021,SL.UEM.TOTL.ZS,5.188,%
Jamaica,JM,2022,SL.UEM.TOTL.ZS,4.083,%
Jamaica,JM,2023,SL.UEM.TOTL.ZS,4.4,%
Jamaica,JM,2024,SL.UEM.TOTL.ZS,4.885,%
