country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SP.ADO.TFRT,143.112,per 1k
Jamaica,JM,1961,SP.ADO.TFRT,148.135,per 1k
Jamaica,JM,1962,SP.ADO.TFRT,149.536,per 1k
Jamaica,JM,1963,SP.ADO.TFRT,152.706,per 1k
Jamaica,JM,1964,SP.ADO.TFRT,153.046,per 1k
Jamaica,JM,1965,SP.ADO.TFRT,155.957,per 1k
Jamaica,JM,1966,SP.ADO.TFRT,154.573,per 1k
Jamaica,JM,1967,SP.ADO.TFRT,153.126,per 1k
Jamaica,JM,1968,SP.ADO.TFRT,151.641,per 1k
Jamaica,JM,1969,SP.ADO.TFRT,150.35,per 1k
Jamaica,JM,1970,SP.ADO.TFRT,148.894,per 1k
Jamaica,JM,1971,SP.ADO.TFRT,147.085,per 1k
Jamaica,JM,1972,SP.ADO.TFRT,145.354,per 1k
Jamaica,JM,1973,SP.ADO.TFRT,144.877,per 1k
Jamaica,JM,1974,SP.ADO.TFRT,141.731,per 1k
Jamaica,JM,1975,SP.ADO.TFRT,139.985,per 1k
Jamaica,JM,1976,SP.ADO.TFRT,137.345,per 1k
Jamaica,JM,1977,SP.ADO.TFRT,134.989,per 1k
Jamaica,JM,1978,SP.ADO.TFRT,131.674,per 1k
Jamaica,JM,1979,SP.ADO.TFRT,130.958,per 1k
Jamaica,JM,1980,SP.ADO.TFRT,127.5,per 1k
Jamaica,JM,1981,SP.ADO.TFRT,126.532,per 1k
Jamaica,JM,1982,SP.ADO.TFRT,125.5,per 1k
Jamaica,JM,1983,SP.ADO.TFRT,125.053,per 1k
Jamaica,JM,1984,SP.ADO.TFRT,122.596,per 1k
Jamaica,JM,1985,SP.ADO.TFRT,118.414,per 1k
Jamaica,JM,1986,SP.ADO.TFRT,114.23,per 1k
Jamaica,JM,1987,SP.ADO.TFRT,111.523,per 1k
Jamaica,JM,1988,SP.ADO.TFRT,109.709,per 1k
Jamaica,JM,1989,SP.ADO.TFRT,108.049,per 1k
Jamaica,JM,1990,SP.ADO.TFRT,108.274,per 1k
Jamaica,JM,1991,SP.ADO.TFRT,109.16,per 1k
Jamaica,JM,1992,SP.ADO.TFRT,109.732,per 1k
Jamaica,JM,1993,SP.ADO.TFRT,107.542,per 1k
Jamaica,JM,1994,SP.ADO.TFRT,104.94,per 1k
Jamaica,JM,1995,SP.ADO.TFRT,101.368,per 1k
Jamaica,JM,1996,SP.ADO.TFRT,97.959,per 1k
Jamaica,JM,1997,SP.ADO.TFRT,92.085,per 1k
Jamaica,JM,1998,SP.ADO.TFRT,86.107,per 1k
Jamaica,JM,1999,SP.ADO.TFRT,80.245,per 1k
Jamaica,JM,2000,SP.ADO.TFRT,74.488,per 1k
Jamaica,JM,2001,SP.ADO.TFRT,71.806,per 1k
Jamaica,JM,2002,SP.ADO.TFRT,69.776,per 1k
Jamaica,JM,2003,SP.ADO.TFRT,67.654,per 1k
Jamaica,JM,2004,SP.ADO.TFRT,66.234,per 1k
Jamaica,JM,2005,SP.ADO.TFRT,64.625,per 1k
Jamaica,JM,2006,SP.ADO.TFRT,62.645,per 1k
Jamaica,JM,2007,SP.ADO.TFRT,60.593,per 1k
Jamaica,JM,2008,SP.ADO.TFRT,58.061,per 1k
Jamaica,JM,2009,SP.ADO.TFRT,56.117,per 1k
Jamaica,JM,2010,SP.ADO.TFRT,54.162,per 1k
Jamaica,JM,2011,SP.ADO.TFRT,52.089,per 1k
Jamaica,JM,2012,SP.ADO.TFRT,51.002,per 1k
Jamaica,JM,2013,SP.ADO.TFRT,49.793,per 1k
Jamaica,JM,2014,SP.ADO.TFRT,47.584,per 1k
Jamaica,JM,2015,SP.ADO.TFRT,45.19,per 1k
Jamaica,JM,2016,SP.ADO.TFRT,42.821,per 1k
Jamaica,JM,2017,SP.ADO.TFRT,40.413,per 1k
Jamaica,JM,2018,SP.ADO.TFRT,38.233,per 1k
Jamaica,JM,2019,SP.ADO.TFRT,37.741,per 1k
Jamaica,JM,2020,SP.ADO.TFRT,36.813,per 1k
Jamaica,JM,2021,SP.ADO.TFRT,36.807,per 1k
Jamaica,JM,2022,SP.ADO.TFRT,36.812,per 1k
Jamaica,JM,2023,SP.ADO.TFRT,36.541,per 1k
Jamaica,JM,2024,SP.ADO.TFRT,,per 1k
