country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SP.DYN.LE00.IN,63.828,years
Jamaica,JM,1961,SP.DYN.LE00.IN,64.257,years
Jamaica,JM,1962,SP.DYN.LE00.IN,64.619,years
Jamaica,JM,1963,SP.DYN.LE00.IN,64.999,years
Jamaica,JM,1964,SP.DYN.LE00.IN,65.347,years
Jamaica,JM,1965,SP.DYN.LE00.IN,65.663,years
Jamaica,JM,1966,SP.DYN.LE00.IN,65.928,years
Jamaica,JM,1967,SP.DYN.LE00.IN,66.086,years
Jamaica,JM,1968,SP.DYN.LE00.IN,66.319,years
Jamaica,JM,1969,SP.DYN.LE00.IN,66.516,years
Jamaica,JM,1970,SP.DYN.LE00.IN,66.731,years
Jamaica,JM,1971,SP.DYN.LE00.IN,66.997,years
Jamaica,JM,1972,SP.DYN.LE00.IN,67.304,years
Jamaica,JM,1973,SP.DYN.LE00.IN,67.607,years
Jamaica,JM,1974,SP.DYN.LE00.IN,67.913,years
Jamaica,JM,1975,SP.DYN.LE00.IN,68.168,years
Jamaica,JM,1976,SP.DYN.LE00.IN,68.412,years
Jamaica,JM,1977,SP.DYN.LE00.IN,68.586,years
Jamaica,JM,1978,SP.DYN.LE00.IN,68.739,years
Jamaica,JM,1979,SP.DYN.LE00.IN,68.813,years
Jamaica,JM,1980,SP.DYN.LE00.IN,68.992,years
Jamaica,JM,1981,SP.DYN.LE00.IN,69.12,years
Jamaica,JM,1982,SP.DYN.LE00.IN,69.253,years
Jamaica,JM,1983,SP.DYN.LE00.IN,69.546,years
Jamaica,JM,1984,SP.DYN.LE00.IN,69.809,years
Jamaica,JM,1985,SP.DYN.LE00.IN,70.101,years
Jamaica,JM,1986,SP.DYN.LE00.IN,70.446,years
Jamaica,JM,1987,SP.DYN.LE00.IN,70.87,years
Jamaica,JM,1988,SP.DYN.LE00.IN,71.161,years
Jamaica,JM,1989,SP.DYN.LE00.IN,71.512,years
Jamaica,JM,1990,SP.DYN.LE00.IN,71.705,years
Jamaica,JM,1991,SP.DYN.LE00.IN,71.787,years
Jamaica,JM,1992,SP.DYN.LE00.IN,71.816,years
Jamaica,JM,1993,SP.DYN.LE00.IN,71.758,years
Jamaica,JM,1994,SP.DYN.LE00.IN,71.624,years
Jamaica,JM,1995,SP.DYN.LE00.IN,71.488,years
Jamaica,JM,1996,SP.DYN.LE00.IN,71.328,years
Jamaica,JM,1997,SP.DYN.LE00.IN,71.216,years
Jamaica,JM,1998,SP.DYN.LE00.IN,71.17,years
Jamaica,JM,1999,SP.DYN.LE00.IN,71.189,years
Jamaica,JM,2000,SP.DYN.LE00.IN,71.281,years
Jamaica,JM,2001,SP.DYN.LE00.IN,71.287,years
Jamaica,JM,2002,SP.DYN.LE00.IN,71.478,years
Jamaica,JM,2003,SP.DYN.LE00.IN,71.585,years
Jamaica,JM,2004,SP.DYN.LE00.IN,71.542,years
Jamaica,JM,2005,SP.DYN.LE00.IN,71.493,years
Jamaica,JM,2006,SP.DYN.LE00.IN,71.395,years
Jamaica,JM,2007,SP.DYN.LE00.IN,71.405,years
Jamaica,JM,2008,SP.DYN.LE00.IN,71.502,years
Jamaica,JM,2009,SP.DYN.LE00.IN,71.717,years
Jamaica,JM,2010,SP.DYN.LE00.IN,71.979,years
Jamaica,JM,2011,SP.DYN.LE00.IN,72.245,years
Jamaica,JM,2012,SP.DYN.LE00.IN,72.405,years
Jamaica,JM,2013,SP.DYN.LE00.IN,72.435,years
Jamaica,JM,2014,SP.DYN.LE00.IN,72.357,years
Jamaica,JM,2015,SP.DYN.LE00.IN,72.214,years
Jamaica,JM,2016,SP.DYN.LE00.IN,72.052,years
Jamaica,JM,2017,SP.DYN.LE00.IN,71.879,years
Jamaica,JM,2018,SP.DYN.LE00.IN,71.606,years
Jamaica,JM,2019,SP.DYN.LE00.IN,71.532,years
Jamaica,JM,2020,SP.DYN.LE00.IN,71.452,years
Jamaica,JM,2021,SP.DYN.LE00.IN,69.085,years
Jamaica,JM,2022,SP.DYN.LE00.IN,71.481,years
Jamaica,JM,2023,SP.DYN.LE00.IN,71.479,years
Jamaica,JM,2024,SP.DYN.LE00.IN,,years
