country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SP.DYN.TFRT.IN,5.538,
Jamaica,JM,1961,SP.DYN.TFRT.IN,5.597,
Jamaica,JM,1962,SP.DYN.TFRT.IN,5.635,
Jamaica,JM,1963,SP.DYN.TFRT.IN,5.731,
Jamaica,JM,1964,SP.DYN.TFRT.IN,5.79,
Jamaica,JM,1965,SP.DYN.TFRT.IN,5.719,
Jamaica,JM,1966,SP.DYN.TFRT.IN,5.692,
Jamaica,JM,1967,SP.DYN.TFRT.IN,5.668,
Jamaica,JM,1968,SP.DYN.TFRT.IN,5.576,
Jamaica,JM,1969,SP.DYN.TFRT.IN,5.468,
Jamaica,JM,1970,SP.DYN.TFRT.IN,5.349,
Jamaica,JM,1971,SP.DYN.TFRT.IN,5.212,
Jamaica,JM,1972,SP.DYN.TFRT.IN,5.06,
Jamaica,JM,1973,SP.DYN.TFRT.IN,4.995,
Jamaica,JM,1974,SP.DYN.TFRT.IN,4.665,
Jamaica,JM,1975,SP.DYN.TFRT.IN,4.436,
Jamaica,JM,1976,SP.DYN.TFRT.IN,4.213,
Jamaica,JM,1977,SP.DYN.TFRT.IN,4.004,
Jamaica,JM,1978,SP.DYN.TFRT.IN,3.838,
Jamaica,JM,1979,SP.DYN.TFRT.IN,3.719,
Jamaica,JM,1980,SP.DYN.TFRT.IN,3.588,
Jamaica,JM,1981,SP.DYN.TFRT.IN,3.51,
Jamaica,JM,1982,SP.DYN.TFRT.IN,3.458,
Jamaica,JM,1983,SP.DYN.TFRT.IN,3.411,
Jamaica,JM,1984,SP.DYN.TFRT.IN,3.324,
Jamaica,JM,1985,SP.DYN.TFRT.IN,3.212,
Jamaica,JM,1986,SP.DYN.TFRT.IN,3.106,
Jamaica,JM,1987,SP.DYN.TFRT.IN,3.024,
Jamaica,JM,1988,SP.DYN.TFRT.IN,2.982,
Jamaica,JM,1989,SP.DYN.TFRT.IN,2.93,
Jamaica,JM,1990,SP.DYN.TFRT.IN,2.955,
Jamaica,JM,1991,SP.DYN.TFRT.IN,2.997,
Jamaica,JM,1992,SP.DYN.TFRT.IN,3.026,
Jamaica,JM,1993,SP.DYN.TFRT.IN,2.987,
Jamaica,JM,1994,SP.DYN.TFRT.IN,2.93,
Jamaica,JM,1995,SP.DYN.TFRT.IN,2.851,
Jamaica,JM,1996,SP.DYN.TFRT.IN,2.77,
Jamaica,JM,1997,SP.DYN.TFRT.IN,2.677,
Jamaica,JM,1998,SP.DYN.TFRT.IN,2.574,
Jamaica,JM,1999,SP.DYN.TFRT.IN,2.465,
Jamaica,JM,2000,SP.DYN.TFRT.IN,2.345,
Jamaica,JM,2001,SP.DYN.TFRT.IN,2.296,
Jamaica,JM,2002,SP.DYN.TFRT.IN,2.271,
Jamaica,JM,2003,SP.DYN.TFRT.IN,2.244,
Jamaica,JM,2004,SP.DYN.TFRT.IN,2.198,
Jamaica,JM,2005,SP.DYN.TFRT.IN,2.148,
Jamaica,JM,2006,SP.DYN.TFRT.IN,2.089,
Jamaica,JM,2007,SP.DYN.TFRT.IN,2.023,
Jamaica,JM,2008,SP.DYN.TFRT.IN,1.953,
Jamaica,JM,2009,SP.DYN.TFRT.IN,1.879,
Jamaica,JM,2010,SP.DYN.TFRT.IN,1.799,
Jamaica,JM,2011,SP.DYN.TFRT.IN,1.717,
Jamaica,JM,2012,SP.DYN.TFRT.IN,1.648,
Jamaica,JM,2013,SP.DYN.TFRT.IN,1.591,
Jamaica,JM,2014,SP.DYN.TFRT.IN,1.544,
Jamaica,JM,2015,SP.DYN.TFRT.IN,1.508,
Jamaica,JM,2016,SP.DYN.TFRT.IN,1.464,
Jamaica,JM,2017,SP.DYN.TFRT.IN,1.428,
Jamaica,JM,2018,SP.DYN.TFRT.IN,1.4,
Jamaica,JM,2019,SP.DYN.TFRT.IN,1.39,
Jamaica,JM,2020,SP.DYN.TFRT.IN,1.383,
Jamaica,JM,2021,SP.DYN.TFRT.IN,1.378,
Jamaica,JM,2022,SP.DYN.TFRT.IN,1.372,
Jamaica,JM,2023,SP.DYN.TFRT.IN,1.358,
Jamaica,JM,2024,SP.DYN.TFRT.IN,,
