country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SP.POP.TOTL,1650005,people
Jamaica,JM,1961,SP.POP.TOTL,1673261,people
Jamaica,JM,1962,SP.POP.TOTL,1696932,people
Jamaica,JM,1963,SP.POP.TOTL,1721099,people
Jamaica,JM,1964,SP.POP.TOTL,1745568,people
Jamaica,JM,1965,SP.POP.TOTL,1769192,people
Jamaica,JM,1966,SP.POP.TOTL,1791475,people
Jamaica,JM,1967,SP.POP.TOTL,1812865,people
Jamaica,JM,1968,SP.POP.TOTL,1833765,people
Jamaica,JM,1969,SP.POP.TOTL,1855127,people
Jamaica,JM,1970,SP.POP.TOTL,1878196,people
Jamaica,JM,1971,SP.POP.TOTL,1903728,people
Jamaica,JM,1972,SP.POP.TOTL,1931542,people
Jamaica,JM,1973,SP.POP.TOTL,1961219,people
Jamaica,JM,1974,SP.POP.TOTL,1990906,people
Jamaica,JM,1975,SP.POP.TOTL,2018981,people
Jamaica,JM,1976,SP.POP.TOTL,2045578,people
Jamaica,JM,1977,SP.POP.TOTL,2070657,people
Jamaica,JM,1978,SP.POP.TOTL,2094836,people
Jamaica,JM,1979,SP.POP.TOTL,2119486,people
Jamaica,JM,1980,SP.POP.TOTL,2145658,people
Jamaica,JM,1981,SP.POP.TOTL,2173818,people
Jamaica,JM,1982,SP.POP.TOTL,2203889,people
Jamaica,JM,1983,SP.POP.TOTL,2234832,people
Jamaica,JM,1984,SP.POP.TOTL,2264562,people
Jamaica,JM,1985,SP.POP.TOTL,2290656,people
Jamaica,JM,1986,SP.POP.TOTL,2312125,people
Jamaica,JM,1987,SP.POP.TOTL,2329813,people
Jamaica,JM,1988,SP.POP.TOTL,2345777,people
Jamaica,JM,1989,SP.POP.TOTL,2361916,people
Jamaica,JM,1990,SP.POP.TOTL,2379877,people
Jamaica,JM,1991,SP.POP.TOTL,2400869,people
Jamaica,JM,1992,SP.POP.TOTL,2424701,people
Jamaica,JM,1993,SP.POP.TOTL,2449916,people
Jamaica,JM,1994,SP.POP.TOTL,2475220,people
Jamaica,JM,1995,SP.POP.TOTL,2500151,people
Jamaica,JM,1996,SP.POP.TOTL,2524463,people
Jamaica,JM,1997,SP.POP.TOTL,2547848,people
Jamaica,JM,1998,SP.POP.TOTL,2569736,people
Jamaica,JM,1999,SP.POP.TOTL,2589795,people
Jamaica,JM,2000,SP.POP.TOTL,2607826,people
Jamaica,JM,2001,SP.POP.TOTL,2624403,people
Jamaica,JM,2002,SP.POP.TOTL,2640572,people
Jamaica,JM,2003,SP.POP.TOTL,2656623,people
Jamaica,JM,2004,SP.POP.TOTL,2672225,people
Jamaica,JM,2005,SP.POP.TOTL,2687066,people
Jamaica,JM,2006,SP.POP.TOTL,2700968,people
Jamaica,JM,2007,SP.POP.TOTL,2713800,people
Jamaica,JM,2008,SP.POP.TOTL,2725635,people
Jamaica,JM,2009,SP.POP.TOTL,2736995,people
Jamaica,JM,2010,SP.POP.TOTL,2748568,people
Jamaica,JM,2011,SP.POP.TOTL,2760494,people
Jamaica,JM,2012,SP.POP.TOTL,2772430,people
Jamaica,JM,2013,SP.POP.TOTL,2783687,people
Jamaica,JM,2014,SP.POP.TOTL,2793749,people
Jamaica,JM,2015,SP.POP.TOTL,2802534,people
Jamaica,JM,2016,SP.POP.TOTL,2809915,people
Jamaica,JM,2017,SP.POP.TOTL,2815764,people
Jamaica,JM,2018,SP.POP.TOTL,2820097,people
Jamaica,JM,2019,SP.POP.TOTL,2823271,people
Jamaica,JM,2020,SP.POP.TOTL,2830739,people
Jamaica,JM,2021,SP.POP.TOTL,2837682,people
Jamaica,JM,2022,SP.POP.TOTL,2839144,people
Jamaica,JM,2023,SP.POP.TOTL,2839786,people
Jamaica,JM,2024,SP.POP.TOTL,2839175,people
