country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,SP.URB.TOTL.IN.ZS,33.769,%
Jamaica,JM,1961,SP.URB.TOTL.IN.ZS,34.5,%
Jamaica,JM,1962,SP.URB.TOTL.IN.ZS,35.239,%
Jamaica,JM,1963,SP.URB.TOTL.IN.ZS,35.985,%
Jamaica,JM,1964,SP.URB.TOTL.IN.ZS,36.74,%
Jamaica,JM,1965,SP.URB.TOTL.IN.ZS,37.499,%
Jamaica,JM,1966,SP.URB.TOTL.IN.ZS,38.265,%
Jamaica,JM,1967,SP.URB.TOTL.IN.ZS,39.036,%
Jamaica,JM,1968,SP.URB.TOTL.IN.ZS,39.815,%
Jamaica,JM,1969,SP.URB.TOTL.IN.ZS,40.596,%
Jamaica,JM,1970,SP.URB.TOTL.IN.ZS,41.324,%
Jamaica,JM,1971,SP.URB.TOTL.IN.ZS,41.858,%
Jamaica,JM,1972,SP.URB.TOTL.IN.ZS,42.395,%
Jamaica,JM,1973,SP.URB.TOTL.IN.ZS,42.933,%
Jamaica,JM,1974,SP.URB.TOTL.IN.ZS,43.472,%
Jamaica,JM,1975,SP.URB.TOTL.IN.ZS,44.013,%
Jamaica,JM,1976,SP.URB.TOTL.IN.ZS,44.557,%
Jamaica,JM,1977,SP.URB.TOTL.IN.ZS,45.1,%
Jamaica,JM,1978,SP.URB.TOTL.IN.ZS,45.645,%
Jamaica,JM,1979,SP.URB.TOTL.IN.ZS,46.191,%
Jamaica,JM,1980,SP.URB.TOTL.IN.ZS,46.739,%
Jamaica,JM,1981,SP.URB.TOTL.IN.ZS,47.286,%
Jamaica,JM,1982,SP.URB.TOTL.IN.ZS,47.813,%
Jamaica,JM,1983,SP.URB.TOTL.IN.ZS,48.016,%
Jamaica,JM,1984,SP.URB.TOTL.IN.ZS,48.22,%
Jamaica,JM,1985,SP.URB.TOTL.IN.ZS,48.424,%
Jamaica,JM,1986,SP.URB.TOTL.IN.ZS,48.628,%
Jamaica,JM,1987,SP.URB.TOTL.IN.ZS,48.832,%
Jamaica,JM,1988,SP.URB.TOTL.IN.ZS,49.036,%
Jamaica,JM,1989,SP.URB.TOTL.IN.ZS,49.24,%
Jamaica,JM,1990,SP.URB.TOTL.IN.ZS,49.444,%
Jamaica,JM,1991,SP.URB.TOTL.IN.ZS,49.656,%
Jamaica,JM,1992,SP.URB.TOTL.IN.ZS,49.896,%
Jamaica,JM,1993,SP.URB.TOTL.IN.ZS,50.136,%
Jamaica,JM,1994,SP.URB.TOTL.IN.ZS,50.375,%
Jamaica,JM,1995,SP.URB.TOTL.IN.ZS,50.615,%
Jamaica,JM,1996,SP.URB.TOTL.IN.ZS,50.855,%
Jamaica,JM,1997,SP.URB.TOTL.IN.ZS,51.095,%
Jamaica,JM,1998,SP.URB.TOTL.IN.ZS,51.335,%
Jamaica,JM,1999,SP.URB.TOTL.IN.ZS,51.574,%
Jamaica,JM,2000,SP.URB.TOTL.IN.ZS,51.814,%
Jamaica,JM,2001,SP.URB.TOTL.IN.ZS,52.053,%
Jamaica,JM,2002,SP.URB.TOTL.IN.ZS,52.251,%
Jamaica,JM,2003,SP.URB.TOTL.IN.ZS,52.437,%
Jamaica,JM,2004,SP.URB.TOTL.IN.ZS,52.625,%
Jamaica,JM,2005,SP.URB.TOTL.IN.ZS,52.811,%
Jamaica,JM,2006,SP.URB.TOTL.IN.ZS,52.998,%
Jamaica,JM,2007,SP.URB.TOTL.IN.ZS,53.184,%
Jamaica,JM,2008,SP.URB.TOTL.IN.ZS,53.371,%
Jamaica,JM,2009,SP.URB.TOTL.IN.ZS,53.557,%
Jamaica,JM,2010,SP.URB.TOTL.IN.ZS,53.743,%
Jamaica,JM,2011,SP.URB.TOTL.IN.ZS,53.93,%
Jamaica,JM,2012,SP.URB.TOTL.IN.ZS,54.132,%
Jamaica,JM,2013,SP.URB.TOTL.IN.ZS,54.35,%
Jamaica,JM,2014,SP.URB.TOTL.IN.ZS,54.584,%
Jamaica,JM,2015,SP.URB.TOTL.IN.ZS,54.833,%
Jamaica,JM,2016,SP.URB.TOTL.IN.ZS,55.098,%
Jamaica,JM,2017,SP.URB.TOTL.IN.ZS,55.378,%
Jamaica,JM,2018,SP.URB.TOTL.IN.ZS,55.674,%
Jamaica,JM,2019,SP.URB.TOTL.IN.ZS,55.985,%
Jamaica,JM,2020,SP.URB.TOTL.IN.ZS,56.311,%
Jamaica,JM,2021,SP.URB.TOTL.IN.ZS,56.652,%
Jamaica,JM,2022,SP.URB.TOTL.IN.ZS,57.008,%
Jamaica,JM,2023,SP.URB.TOTL.IN.ZS,57.378,%
Jamaica,JM,2024,SP.URB.TOTL.IN.ZS,57.762,%
