country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,ST.INT.ARVL,,arrivals
Jamaica,JM,1961,ST.INT.ARVL,,arrivals
Jamaica,JM,1962,ST.INT.ARVL,,arrivals
Jamaica,JM,1963,ST.INT.ARVL,,arrivals
Jamaica,JM,1964,ST.INT.ARVL,,arrivals
Jamaica,JM,1965,ST.INT.ARVL,,arrivals
Jamaica,JM,1966,ST.INT.ARVL,,arrivals
Jamaica,JM,1967,ST.INT.ARVL,,arrivals
Jamaica,JM,1968,ST.INT.ARVL,,arrivals
Jamaica,JM,1969,ST.INT.ARVL,,arrivals
Jamaica,JM,1970,ST.INT.ARVL,,arrivals
Jamaica,JM,1971,ST.INT.ARVL,,arrivals
Jamaica,JM,1972,ST.INT.ARVL,,arrivals
Jamaica,JM,1973,ST.INT.ARVL,,arrivals
Jamaica,JM,1974,ST.INT.ARVL,,arrivals
Jamaica,JM,1975,ST.INT.ARVL,,arrivals
Jamaica,JM,1976,ST.INT.ARVL,,arrivals
Jamaica,JM,1977,ST.INT.ARVL,,arrivals
Jamaica,JM,1978,ST.INT.ARVL,,arrivals
Jamaica,JM,1979,ST.INT.ARVL,,arrivals
Jamaica,JM,1980,ST.INT.ARVL,,arrivals
Jamaica,JM,1981,ST.INT.ARVL,,arrivals
Jamaica,JM,1982,ST.INT.ARVL,,arrivals
Jamaica,JM,1983,ST.INT.ARVL,,arrivals
Jamaica,JM,1984,ST.INT.ARVL,,arrivals
Jamaica,JM,1985,ST.INT.ARVL,,arrivals
Jamaica,JM,1986,ST.INT.ARVL,,arrivals
Jamaica,JM,1987,ST.INT.ARVL,,arrivals
Jamaica,JM,1988,ST.INT.ARVL,,arrivals
Jamaica,JM,1989,ST.INT.ARVL,,arrivals
Jamaica,JM,1990,ST.INT.ARVL,,arrivals
Jamaica,JM,1991,ST.INT.ARVL,,arrivals
Jamaica,JM,1992,ST.INT.ARVL,,arrivals
Jamaica,JM,1993,ST.INT.ARVL,,arrivals
Jamaica,JM,1994,ST.INT.ARVL,,arrivals
Jamaica,JM,1995,ST.INT.ARVL,1752000.0,arrivals
Jamaica,JM,1996,ST.INT.ARVL,1821000.0,arrivals
Jamaica,JM,1997,ST.INT.ARVL,1904000.0,arrivals
Jamaica,JM,1998,ST.INT.ARVL,1899000.0,arrivals
Jamaica,JM,1999,ST.INT.ARVL,2013000.0,arrivals
Jamaica,JM,2000,ST.INT.ARVL,2230000.0,arrivals
Jamaica,JM,2001,ST.INT.ARVL,2117000.0,arrivals
Jamaica,JM,2002,ST.INT.ARVL,2131000.0,arrivals
Jamaica,JM,2003,ST.INT.ARVL,2483000.0,arrivals
Jamaica,JM,2004,ST.INT.ARVL,2515000.0,arrivals
Jamaica,JM,2005,ST.INT.ARVL,2615000.0,arrivals
Jamaica,JM,2006,ST.INT.ARVL,3016000.0,arrivals
Jamaica,JM,2007,ST.INT.ARVL,2880000.0,arrivals
Jamaica,JM,2008,ST.INT.ARVL,2859000.0,arrivals
Jamaica,JM,2009,ST.INT.ARVL,2753000.0,arrivals
Jamaica,JM,2010,ST.INT.ARVL,2832000.0,arrivals
Jamaica,JM,2011,ST.INT.ARVL,3077000.0,arrivals
Jamaica,JM,2012,ST.INT.ARVL,3306000.0,arrivals
Jamaica,JM,2013,ST.INT.ARVL,3274000.0,arrivals
Jamaica,JM,2014,ST.INT.ARVL,3504000.0,arrivals
Jamaica,JM,2015,ST.INT.ARVL,3692000.0,arrivals
Jamaica,JM,2016,ST.INT.ARVL,3837000.0,arrivals
Jamaica,JM,2017,ST.INT.ARVL,4276000.0,arrivals
Jamaica,JM,2018,ST.INT.ARVL,4319000.0,arrivals
Jamaica,JM,2019,ST.INT.ARVL,4233000.0,arrivals
Jamaica,JM,2020,ST.INT.ARVL,1329699.95117188,arrivals
Jamaica,JM,2021,ST.INT.ARVL,,arrivals
Jamaica,JM,2022,ST.INT.ARVL,,arrivals
Jamaica,JM,2023,ST.INT.ARVL,,arrivals
Jamaica,JM,2024,ST.INT.ARVL,,arrivals
