country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,ST.INT.RCPT.CD,,US$
Jamaica,JM,1961,ST.INT.RCPT.CD,,US$
Jamaica,JM,1962,ST.INT.RCPT.CD,,US$
Jamaica,JM,1963,ST.INT.RCPT.CD,,US$
Jamaica,JM,1964,ST.INT.RCPT.CD,,US$
Jamaica,JM,1965,ST.INT.RCPT.CD,,US$
Jamaica,JM,1966,ST.INT.RCPT.CD,,US$
Jamaica,JM,1967,ST.INT.RCPT.CD,,US$
Jamaica,JM,1968,ST.INT.RCPT.CD,,US$
Jamaica,JM,1969,ST.INT.RCPT.CD,,US$
Jamaica,JM,1970,ST.INT.RCPT.CD,,US$
Jamaica,JM,1971,ST.INT.RCPT.CD,,US$
Jamaica,JM,1972,ST.INT.RCPT.CD,,US$
Jamaica,JM,1973,ST.INT.RCPT.CD,,US$
Jamaica,JM,1974,ST.INT.RCPT.CD,,US$
Jamaica,JM,1975,ST.INT.RCPT.CD,,US$
Jamaica,JM,1976,ST.INT.RCPT.CD,,US$
Jamaica,JM,1977,ST.INT.RCPT.CD,,US$
Jamaica,JM,1978,ST.INT.RCPT.CD,,US$
Jamaica,JM,1979,ST.INT.RCPT.CD,,US$
Jamaica,JM,1980,ST.INT.RCPT.CD,,US$
Jamaica,JM,1981,ST.INT.RCPT.CD,,US$
Jamaica,JM,1982,ST.INT.RCPT.CD,,US$
Jamaica,JM,1983,ST.INT.RCPT.CD,,US$
Jamaica,JM,1984,ST.INT.RCPT.CD,,US$
Jamaica,JM,1985,ST.INT.RCPT.CD,,US$
Jamaica,JM,1986,ST.INT.RCPT.CD,,US$
Jamaica,JM,1987,ST.INT.RCPT.CD,,US$
Jamaica,JM,1988,ST.INT.RCPT.CD,,US$
Jamaica,JM,1989,ST.INT.RCPT.CD,,US$
Jamaica,JM,1990,ST.INT.RCPT.CD,,US$
Jamaica,JM,1991,ST.INT.RCPT.CD,,US$
Jamaica,JM,1992,ST.INT.RCPT.CD,,US$
Jamaica,JM,1993,ST.INT.RCPT.CD,,US$
Jamaica,JM,1994,ST.INT.RCPT.CD,,US$
Jamaica,JM,1995,ST.INT.RCPT.CD,1199000000.0,US$
Jamaica,JM,1996,ST.INT.RCPT.CD,1218000000.0,US$
Jamaica,JM,1997,ST.INT.RCPT.CD,1290000000.0,US$
Jamaica,JM,1998,ST.INT.RCPT.CD,1380000000.0,US$
Jamaica,JM,1999,ST.INT.RCPT.CD,1486000000.0,US$
Jamaica,JM,2000,ST.INT.RCPT.CD,1577000000.0,US$
Jamaica,JM,2001,ST.INT.RCPT.CD,1494000000.0,US$
Jamaica,JM,2002,ST.INT.RCPT.CD,1482000000.0,US$
Jamaica,JM,2003,ST.INT.RCPT.CD,1621000000.0,US$
Jamaica,JM,2004,ST.INT.RCPT.CD,1733000000.0,US$
Jamaica,JM,2005,ST.INT.RCPT.CD,1783000000.0,US$
Jamaica,JM,2006,ST.INT.RCPT.CD,2094000000.0,US$
Jamaica,JM,2007,ST.INT.RCPT.CD,2142000000.0,US$
Jamaica,JM,2008,ST.INT.RCPT.CD,2222000000.0,US$
Jamaica,JM,2009,ST.INT.RCPT.CD,2070000000.0,US$
Jamaica,JM,2010,ST.INT.RCPT.CD,2095000000.0,US$
Jamaica,JM,2011,ST.INT.RCPT.CD,2060000000.0,US$
Jamaica,JM,2012,ST.INT.RCPT.CD,,US$
Jamaica,JM,2013,ST.INT.RCPT.CD,,US$
Jamaica,JM,2014,ST.INT.RCPT.CD,,US$
Jamaica,JM,2015,ST.INT.RCPT.CD,,US$
Jamaica,JM,2016,ST.INT.RCPT.CD,,US$
Jamaica,JM,2017,ST.INT.RCPT.CD,,US$
Jamaica,JM,2018,ST.INT.RCPT.CD,,US$
Jamaica,JM,2019,ST.INT.RCPT.CD,,US$
Jamaica,JM,2020,ST.INT.RCPT.CD,,US$
Jamaica,JM,2021,ST.INT.RCPT.CD,,US$
Jamaica,JM,2022,ST.INT.RCPT.CD,,US$
Jamaica,JM,2023,ST.INT.RCPT.CD,,US$
Jamaica,JM,2024,ST.INT.RCPT.CD,,US$
