country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,ST.INT.XPND.CD,,US$
Jamaica,JM,1961,ST.INT.XPND.CD,,US$
Jamaica,JM,1962,ST.INT.XPND.CD,,US$
Jamaica,JM,1963,ST.INT.XPND.CD,,US$
Jamaica,JM,1964,ST.INT.XPND.CD,,US$
Jamaica,JM,1965,ST.INT.XPND.CD,,US$
Jamaica,JM,1966,ST.INT.XPND.CD,,US$
Jamaica,JM,1967,ST.INT.XPND.CD,,US$
Jamaica,JM,1968,ST.INT.XPND.CD,,US$
Jamaica,JM,1969,ST.INT.XPND.CD,,US$
Jamaica,JM,1970,ST.INT.XPND.CD,,US$
Jamaica,JM,1971,ST.INT.XPND.CD,,US$
Jamaica,JM,1972,ST.INT.XPND.CD,,US$
Jamaica,JM,1973,ST.INT.XPND.CD,,US$
Jamaica,JM,1974,ST.INT.XPND.CD,,US$
Jamaica,JM,1975,ST.INT.XPND.CD,,US$
Jamaica,JM,1976,ST.INT.XPND.CD,,US$
Jamaica,JM,1977,ST.INT.XPND.CD,,US$
Jamaica,JM,1978,ST.INT.XPND.CD,,US$
Jamaica,JM,1979,ST.INT.XPND.CD,,US$
Jamaica,JM,1980,ST.INT.XPND.CD,,US$
Jamaica,JM,1981,ST.INT.XPND.CD,,US$
Jamaica,JM,1982,ST.INT.XPND.CD,,US$
Jamaica,JM,1983,ST.INT.XPND.CD,,US$
Jamaica,JM,1984,ST.INT.XPND.CD,,US$
Jamaica,JM,1985,ST.INT.XPND.CD,,US$
Jamaica,JM,1986,ST.INT.XPND.CD,,US$
Jamaica,JM,1987,ST.INT.XPND.CD,,US$
Jamaica,JM,1988,ST.INT.XPND.CD,,US$
Jamaica,JM,1989,ST.INT.XPND.CD,,US$
Jamaica,JM,1990,ST.INT.XPND.CD,,US$
Jamaica,JM,1991,ST.INT.XPND.CD,,US$
Jamaica,JM,1992,ST.INT.XPND.CD,,US$
Jamaica,JM,1993,ST.INT.XPND.CD,,US$
Jamaica,JM,1994,ST.INT.XPND.CD,,US$
Jamaica,JM,1995,ST.INT.XPND.CD,173000000.0,US$
Jamaica,JM,1996,ST.INT.XPND.CD,181000000.0,US$
Jamaica,JM,1997,ST.INT.XPND.CD,205000000.0,US$
Jamaica,JM,1998,ST.INT.XPND.CD,223000000.0,US$
Jamaica,JM,1999,ST.INT.XPND.CD,256000000.0,US$
Jamaica,JM,2000,ST.INT.XPND.CD,238000000.0,US$
Jamaica,JM,2001,ST.INT.XPND.CD,227000000.0,US$
Jamaica,JM,2002,ST.INT.XPND.CD,274000000.0,US$
Jamaica,JM,2003,ST.INT.XPND.CD,269000000.0,US$
Jamaica,JM,2004,ST.INT.XPND.CD,318000000.0,US$
Jamaica,JM,2005,ST.INT.XPND.CD,290000000.0,US$
Jamaica,JM,2006,ST.INT.XPND.CD,315000000.0,US$
Jamaica,JM,2007,ST.INT.XPND.CD,340000000.0,US$
Jamaica,JM,2008,ST.INT.XPND.CD,312000000.0,US$
Jamaica,JM,2009,ST.INT.XPND.CD,259000000.0,US$
Jamaica,JM,2010,ST.INT.XPND.CD,235000000.0,US$
Jamaica,JM,2011,ST.INT.XPND.CD,213000000.0,US$
Jamaica,JM,2012,ST.INT.XPND.CD,418000000.0,US$
Jamaica,JM,2013,ST.INT.XPND.CD,392000000.0,US$
Jamaica,JM,2014,ST.INT.XPND.CD,457000000.0,US$
Jamaica,JM,2015,ST.INT.XPND.CD,413000000.0,US$
Jamaica,JM,2016,ST.INT.XPND.CD,413000000.0,US$
Jamaica,JM,2017,ST.INT.XPND.CD,455000000.0,US$
Jamaica,JM,2018,ST.INT.XPND.CD,505000000.0,US$
Jamaica,JM,2019,ST.INT.XPND.CD,508000000.0,US$
Jamaica,JM,2020,ST.INT.XPND.CD,291000000.0,US$
Jamaica,JM,2021,ST.INT.XPND.CD,,US$
Jamaica,JM,2022,ST.INT.XPND.CD,,US$
Jamaica,JM,2023,ST.INT.XPND.CD,,US$
Jamaica,JM,2024,ST.INT.XPND.CD,,US$
