country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1961,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1962,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1963,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1964,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1965,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1966,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1967,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1968,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1969,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1970,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1971,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1972,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1973,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1974,BN.CAB.XOKA.GD.ZS,,%
Trinidad and Tobago,TT,1975,BN.CAB.XOKA.GD.ZS,13.9318149435852,%
Trinidad and Tobago,TT,1976,BN.CAB.XOKA.GD.ZS,10.4342808789854,%
Trinidad and Tobago,TT,1977,BN.CAB.XOKA.GD.ZS,5.82519116640338,%
Trinidad and Tobago,TT,1978,BN.CAB.XOKA.GD.ZS,1.52755679180031,%
Trinidad and Tobago,TT,1979,BN.CAB.XOKA.GD.ZS,-0.416447884586155,%
Trinidad and Tobago,TT,1980,BN.CAB.XOKA.GD.ZS,5.72430843483206,%
Trinidad and Tobago,TT,1981,BN.CAB.XOKA.GD.ZS,5.92992074616902,%
Trinidad and Tobago,TT,1982,BN.CAB.XOKA.GD.ZS,-7.3639760485205,%
Trinidad and Tobago,TT,1983,BN.CAB.XOKA.GD.ZS,-12.1923469164739,%
Trinidad and Tobago,TT,1984,BN.CAB.XOKA.GD.ZS,-6.01600687543639,%
Trinidad and Tobago,TT,1985,BN.CAB.XOKA.GD.ZS,-0.649106302916159,%
Trinidad and Tobago,TT,1986,BN.CAB.XOKA.GD.ZS,-8.59212050984935,%
Trinidad and Tobago,TT,1987,BN.CAB.XOKA.GD.ZS,-4.68909217230186,%
Trinidad and Tobago,TT,1988,BN.CAB.XOKA.GD.ZS,-1.9693375759329,%
Trinidad and Tobago,TT,1989,BN.CAB.XOKA.GD.ZS,-0.891525608229346,%
Trinidad and Tobago,TT,1990,BN.CAB.XOKA.GD.ZS,9.05659501369603,%
Trinidad and Tobago,TT,1991,BN.CAB.XOKA.GD.ZS,-0.0877714042537388,%
Trinidad and Tobago,TT,1992,BN.CAB.XOKA.GD.ZS,2.5534105311422,%
Trinidad and Tobago,TT,1993,BN.CAB.XOKA.GD.ZS,2.42206931511883,%
Trinidad and Tobago,TT,1994,BN.CAB.XOKA.GD.ZS,4.40267866994607,%
Trinidad and Tobago,TT,1995,BN.CAB.XOKA.GD.ZS,5.51343829236906,%
Trinidad and Tobago,TT,1996,BN.CAB.XOKA.GD.ZS,1.82556255175165,%
Trinidad and Tobago,TT,1997,BN.CAB.XOKA.GD.ZS,-10.6942429209994,%
