country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1961,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1962,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1963,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1964,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1965,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1966,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1967,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1968,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1969,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1970,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1971,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1972,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1973,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1974,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1975,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1976,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1977,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1978,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1979,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1980,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1981,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1982,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1983,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1984,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1985,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1986,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1987,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1988,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1989,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1990,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1991,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1992,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1993,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1994,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1995,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1996,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1997,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1998,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,1999,EG.ELC.ACCS.ZS,,%
Trinidad and Tobago,TT,2000,EG.ELC.ACCS.ZS,91.3,%
Trinidad and Tobago,TT,2001,EG.ELC.ACCS.ZS,96.3,%
Trinidad and Tobago,TT,2002,EG.ELC.ACCS.ZS,96.5,%
Trinidad and Tobago,TT,2003,EG.ELC.ACCS.ZS,96.7,%
Trinidad and Tobago,TT,2004,EG.ELC.ACCS.ZS,96.8,%
Trinidad and Tobago,TT,2005,EG.ELC.ACCS.ZS,95.0,%
Trinidad and Tobago,TT,2006,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2007,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2008,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2009,EG.ELC.ACCS.ZS,99.0,%
Trinidad and Tobago,TT,2010,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2011,EG.ELC.ACCS.ZS,97.5,%
Trinidad and Tobago,TT,2012,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2013,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2014,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2015,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2016,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2017,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2018,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2019,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2020,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2021,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2022,EG.ELC.ACCS.ZS,100.0,%
Trinidad and Tobago,TT,2023,EG.ELC.ACCS.ZS,98.7,%
Trinidad and Tobago,TT,2024,EG.ELC.ACCS.ZS,,%
