country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,FP.CPI.TOTL.ZG,2.08000000007815,%
Trinidad and Tobago,TT,1961,FP.CPI.TOTL.ZG,1.52275769788992,%
Trinidad and Tobago,TT,1962,FP.CPI.TOTL.ZG,2.98335256339286,%
Trinidad and Tobago,TT,1963,FP.CPI.TOTL.ZG,3.76120358491645,%
Trinidad and Tobago,TT,1964,FP.CPI.TOTL.ZG,0.86379762440665,%
Trinidad and Tobago,TT,1965,FP.CPI.TOTL.ZG,1.78161798448849,%
Trinidad and Tobago,TT,1966,FP.CPI.TOTL.ZG,4.0943580499049,%
Trinidad and Tobago,TT,1967,FP.CPI.TOTL.ZG,2.13625866015493,%
Trinidad and Tobago,TT,1968,FP.CPI.TOTL.ZG,8.23205200691283,%
Trinidad and Tobago,TT,1969,FP.CPI.TOTL.ZG,2.43520271601535,%
Trinidad and Tobago,TT,1970,FP.CPI.TOTL.ZG,2.52390057362692,%
Trinidad and Tobago,TT,1971,FP.CPI.TOTL.ZG,3.53102076328998,%
Trinidad and Tobago,TT,1972,FP.CPI.TOTL.ZG,9.30106881253335,%
Trinidad and Tobago,TT,1973,FP.CPI.TOTL.ZG,14.810745481571,%
Trinidad and Tobago,TT,1974,FP.CPI.TOTL.ZG,22.0249772717617,%
Trinidad and Tobago,TT,1975,FP.CPI.TOTL.ZG,16.9790604656895,%
Trinidad and Tobago,TT,1976,FP.CPI.TOTL.ZG,10.6924643577729,%
Trinidad and Tobago,TT,1977,FP.CPI.TOTL.ZG,11.7448635390942,%
Trinidad and Tobago,TT,1978,FP.CPI.TOTL.ZG,10.256586168874,%
Trinidad and Tobago,TT,1979,FP.CPI.TOTL.ZG,14.7221703689992,%
Trinidad and Tobago,TT,1980,FP.CPI.TOTL.ZG,17.4703042795772,%
Trinidad and Tobago,TT,1981,FP.CPI.TOTL.ZG,14.3318866009395,%
Trinidad and Tobago,TT,1982,FP.CPI.TOTL.ZG,11.6347629431673,%
Trinidad and Tobago,TT,1983,FP.CPI.TOTL.ZG,15.1749999993332,%
Trinidad and Tobago,TT,1984,FP.CPI.TOTL.ZG,13.3347804066324,%
Trinidad and Tobago,TT,1985,FP.CPI.TOTL.ZG,7.62257405520196,%
Trinidad and Tobago,TT,1986,FP.CPI.TOTL.ZG,7.69367659323135,%
Trinidad and Tobago,TT,1987,FP.CPI.TOTL.ZG,10.7518589920742,%
Trinidad and Tobago,TT,1988,FP.CPI.TOTL.ZG,7.75849206743917,%
Trinidad and Tobago,TT,1989,FP.CPI.TOTL.ZG,11.4321318133567,%
Trinidad and Tobago,TT,1990,FP.CPI.TOTL.ZG,11.0644257703083,%
Trinidad and Tobago,TT,1991,FP.CPI.TOTL.ZG,3.78310214375795,%
Trinidad and Tobago,TT,1992,FP.CPI.TOTL.ZG,6.43985419198061,%
Trinidad and Tobago,TT,1993,FP.CPI.TOTL.ZG,10.835235920852,%
Trinidad and Tobago,TT,1994,FP.CPI.TOTL.ZG,8.81469401768106,%
Trinidad and Tobago,TT,1995,FP.CPI.TOTL.ZG,5.18220539517274,%
Trinidad and Tobago,TT,1996,FP.CPI.TOTL.ZG,3.40457442819624,%
Trinidad and Tobago,TT,1997,FP.CPI.TOTL.ZG,3.62607875843081,%
Trinidad and Tobago,TT,1998,FP.CPI.TOTL.ZG,5.61270907691201,%
Trinidad and Tobago,TT,1999,FP.CPI.TOTL.ZG,3.43913590881996,%
Trinidad and Tobago,TT,2000,FP.CPI.TOTL.ZG,3.55541319666877,%
Trinidad and Tobago,TT,2001,FP.CPI.TOTL.ZG,5.536653263223,%
Trinidad and Tobago,TT,2002,FP.CPI.TOTL.ZG,4.1500586166472,%
Trinidad and Tobago,TT,2003,FP.CPI.TOTL.ZG,3.8111062439687,%
Trinidad and Tobago,TT,2004,FP.CPI.TOTL.ZG,3.72154938995965,%
Trinidad and Tobago,TT,2005,FP.CPI.TOTL.ZG,6.87453459583516,%
Trinidad and Tobago,TT,2006,FP.CPI.TOTL.ZG,8.32960351465347,%
Trinidad and Tobago,TT,2007,FP.CPI.TOTL.ZG,7.89438834757299,%
Trinidad and Tobago,TT,2008,FP.CPI.TOTL.ZG,12.0303445477177,%
Trinidad and Tobago,TT,2009,FP.CPI.TOTL.ZG,6.97808725251547,%
Trinidad and Tobago,TT,2010,FP.CPI.TOTL.ZG,10.5492003179988,%
Trinidad and Tobago,TT,2011,FP.CPI.TOTL.ZG,5.1071328926456,%
Trinidad and Tobago,TT,2012,FP.CPI.TOTL.ZG,9.26028137068292,%
Trinidad and Tobago,TT,2013,FP.CPI.TOTL.ZG,5.19981740465611,%
Trinidad and Tobago,TT,2014,FP.CPI.TOTL.ZG,5.68441814595659,%
Trinidad and Tobago,TT,2015,FP.CPI.TOTL.ZG,4.66121598098264,%
Trinidad and Tobago,TT,2016,FP.CPI.TOTL.ZG,3.07066742464024,%
Trinidad and Tobago,TT,2017,FP.CPI.TOTL.ZG,1.88038440183532,%
Trinidad and Tobago,TT,2018,FP.CPI.TOTL.ZG,1.01856930188822,%
Trinidad and Tobago,TT,2019,FP.CPI.TOTL.ZG,1.00054293027237,%
Trinidad and Tobago,TT,2020,FP.CPI.TOTL.ZG,0.598986330824643,%
Trinidad and Tobago,TT,2021,FP.CPI.TOTL.ZG,2.05922746915458,%
Trinidad and Tobago,TT,2022,FP.CPI.TOTL.ZG,5.82838638517959,%
Trinidad and Tobago,TT,2023,FP.CPI.TOTL.ZG,4.62930242419968,%
Trinidad and Tobago,TT,2024,FP.CPI.TOTL.ZG,0.526884625776839,%
