country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1961,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1962,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1963,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1964,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1965,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1966,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1967,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1968,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1969,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1970,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1971,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1972,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1973,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1974,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1975,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1976,GC.TAX.TOTL.GD.ZS,29.5887032330892,%
Trinidad and Tobago,TT,1977,GC.TAX.TOTL.GD.ZS,32.6213360237893,%
Trinidad and Tobago,TT,1978,GC.TAX.TOTL.GD.ZS,28.7498820266487,%
Trinidad and Tobago,TT,1979,GC.TAX.TOTL.GD.ZS,29.1821328394696,%
Trinidad and Tobago,TT,1980,GC.TAX.TOTL.GD.ZS,35.650808499265,%
Trinidad and Tobago,TT,1981,GC.TAX.TOTL.GD.ZS,34.8441690006555,%
Trinidad and Tobago,TT,1982,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1983,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1984,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1985,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1986,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1987,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1988,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1989,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1990,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1991,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1992,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1993,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1994,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1995,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1996,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1997,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1998,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1999,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2000,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2001,GC.TAX.TOTL.GD.ZS,22.1212859407496,%
Trinidad and Tobago,TT,2002,GC.TAX.TOTL.GD.ZS,20.4554983123112,%
Trinidad and Tobago,TT,2003,GC.TAX.TOTL.GD.ZS,21.3015498320898,%
Trinidad and Tobago,TT,2004,GC.TAX.TOTL.GD.ZS,22.0250564559057,%
Trinidad and Tobago,TT,2005,GC.TAX.TOTL.GD.ZS,26.3787007953218,%
Trinidad and Tobago,TT,2006,GC.TAX.TOTL.GD.ZS,30.2575876543509,%
Trinidad and Tobago,TT,2007,GC.TAX.TOTL.GD.ZS,25.9952903378909,%
Trinidad and Tobago,TT,2008,GC.TAX.TOTL.GD.ZS,29.48840531425,%
Trinidad and Tobago,TT,2009,GC.TAX.TOTL.GD.ZS,26.8274060612857,%
Trinidad and Tobago,TT,2010,GC.TAX.TOTL.GD.ZS,26.2440184613642,%
Trinidad and Tobago,TT,2011,GC.TAX.TOTL.GD.ZS,25.6437422012934,%
Trinidad and Tobago,TT,2012,GC.TAX.TOTL.GD.ZS,24.961173338278,%
Trinidad and Tobago,TT,2013,GC.TAX.TOTL.GD.ZS,24.2610873246789,%
Trinidad and Tobago,TT,2014,GC.TAX.TOTL.GD.ZS,25.0322358206162,%
Trinidad and Tobago,TT,2015,GC.TAX.TOTL.GD.ZS,24.7100335274544,%
Trinidad and Tobago,TT,2016,GC.TAX.TOTL.GD.ZS,21.3969032399573,%
Trinidad and Tobago,TT,2017,GC.TAX.TOTL.GD.ZS,18.3902396723122,%
Trinidad and Tobago,TT,2018,GC.TAX.TOTL.GD.ZS,19.8729658631892,%
Trinidad and Tobago,TT,2019,GC.TAX.TOTL.GD.ZS,16.67849595811,%
Trinidad and Tobago,TT,2020,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2021,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2022,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2023,GC.TAX.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2024,GC.TAX.TOTL.GD.ZS,,%
