country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1961,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1962,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1963,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1964,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1965,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1966,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1967,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1968,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1969,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1970,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1971,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1972,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1973,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1974,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1975,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1976,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1977,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1978,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1979,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1980,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1981,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1982,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1983,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1984,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1985,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1986,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1987,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1988,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1989,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1990,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1991,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1992,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1993,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1994,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1995,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1996,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1997,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1998,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1999,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2000,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2001,GC.XPN.TOTL.GD.ZS,23.8616266597827,%
Trinidad and Tobago,TT,2002,GC.XPN.TOTL.GD.ZS,24.9003375377509,%
Trinidad and Tobago,TT,2003,GC.XPN.TOTL.GD.ZS,22.0993691073361,%
Trinidad and Tobago,TT,2004,GC.XPN.TOTL.GD.ZS,22.6183444973216,%
Trinidad and Tobago,TT,2005,GC.XPN.TOTL.GD.ZS,22.6525128974759,%
Trinidad and Tobago,TT,2006,GC.XPN.TOTL.GD.ZS,29.5059775859218,%
Trinidad and Tobago,TT,2007,GC.XPN.TOTL.GD.ZS,24.5123674266625,%
Trinidad and Tobago,TT,2008,GC.XPN.TOTL.GD.ZS,26.4320498016969,%
Trinidad and Tobago,TT,2009,GC.XPN.TOTL.GD.ZS,33.0138554038054,%
Trinidad and Tobago,TT,2010,GC.XPN.TOTL.GD.ZS,30.6976810034827,%
Trinidad and Tobago,TT,2011,GC.XPN.TOTL.GD.ZS,27.3237231592599,%
Trinidad and Tobago,TT,2012,GC.XPN.TOTL.GD.ZS,28.5234295252083,%
Trinidad and Tobago,TT,2013,GC.XPN.TOTL.GD.ZS,29.4421981273792,%
Trinidad and Tobago,TT,2014,GC.XPN.TOTL.GD.ZS,31.09831776071,%
Trinidad and Tobago,TT,2015,GC.XPN.TOTL.GD.ZS,33.5480353343157,%
Trinidad and Tobago,TT,2016,GC.XPN.TOTL.GD.ZS,33.4266790808329,%
Trinidad and Tobago,TT,2017,GC.XPN.TOTL.GD.ZS,33.0192034944225,%
Trinidad and Tobago,TT,2018,GC.XPN.TOTL.GD.ZS,31.347757079533,%
Trinidad and Tobago,TT,2019,GC.XPN.TOTL.GD.ZS,33.161224018351,%
Trinidad and Tobago,TT,2020,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2021,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2022,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2023,GC.XPN.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2024,GC.XPN.TOTL.GD.ZS,,%
