country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1961,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1962,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1963,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1964,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1965,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1966,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1967,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1968,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1969,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1970,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1971,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1972,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1973,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1974,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1975,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1976,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1977,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1978,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1979,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1980,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1981,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1982,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1983,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1984,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1985,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1986,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1987,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1988,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1989,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1990,IT.NET.USER.ZS,0.0,%
Trinidad and Tobago,TT,1991,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1992,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1993,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1994,IT.NET.USER.ZS,,%
Trinidad and Tobago,TT,1995,IT.NET.USER.ZS,0.158,%
Trinidad and Tobago,TT,1996,IT.NET.USER.ZS,0.393,%
Trinidad and Tobago,TT,1997,IT.NET.USER.ZS,1.17,%
Trinidad and Tobago,TT,1998,IT.NET.USER.ZS,2.72,%
Trinidad and Tobago,TT,1999,IT.NET.USER.ZS,5.81,%
Trinidad and Tobago,TT,2000,IT.NET.USER.ZS,7.72,%
Trinidad and Tobago,TT,2001,IT.NET.USER.ZS,15.4,%
Trinidad and Tobago,TT,2002,IT.NET.USER.ZS,22.0,%
Trinidad and Tobago,TT,2003,IT.NET.USER.ZS,26.0,%
Trinidad and Tobago,TT,2004,IT.NET.USER.ZS,27.0,%
Trinidad and Tobago,TT,2005,IT.NET.USER.ZS,29.0,%
Trinidad and Tobago,TT,2006,IT.NET.USER.ZS,30.0,%
Trinidad and Tobago,TT,2007,IT.NET.USER.ZS,32.3,%
Trinidad and Tobago,TT,2008,IT.NET.USER.ZS,34.8,%
Trinidad and Tobago,TT,2009,IT.NET.USER.ZS,44.3,%
Trinidad and Tobago,TT,2010,IT.NET.USER.ZS,48.5,%
Trinidad and Tobago,TT,2011,IT.NET.USER.ZS,55.2,%
Trinidad and Tobago,TT,2012,IT.NET.USER.ZS,57.5,%
Trinidad and Tobago,TT,2013,IT.NET.USER.ZS,59.9,%
Trinidad and Tobago,TT,2014,IT.NET.USER.ZS,62.4,%
Trinidad and Tobago,TT,2015,IT.NET.USER.ZS,65.1,%
Trinidad and Tobago,TT,2016,IT.NET.USER.ZS,67.8,%
Trinidad and Tobago,TT,2017,IT.NET.USER.ZS,70.6,%
Trinidad and Tobago,TT,2018,IT.NET.USER.ZS,72.8,%
Trinidad and Tobago,TT,2019,IT.NET.USER.ZS,75.0,%
Trinidad and Tobago,TT,2020,IT.NET.USER.ZS,77.3,%
Trinidad and Tobago,TT,2021,IT.NET.USER.ZS,84.4,%
Trinidad and Tobago,TT,2022,IT.NET.USER.ZS,84.5,%
Trinidad and Tobago,TT,2023,IT.NET.USER.ZS,84.7,%
Trinidad and Tobago,TT,2024,IT.NET.USER.ZS,,%
