country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1961,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1962,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1963,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1964,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1965,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1966,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1967,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1968,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1969,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1970,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1971,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1972,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1973,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1974,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1975,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1976,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1977,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1978,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1979,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1980,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1981,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1982,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1983,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1984,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1985,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1986,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1987,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1988,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1989,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1990,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1991,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1992,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1993,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1994,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1995,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1996,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1997,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1998,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,1999,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2000,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2001,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2002,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2003,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2004,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2005,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2006,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2007,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2008,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2009,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2010,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2011,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2012,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2013,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2014,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2015,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2016,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2017,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2018,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2019,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2020,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2021,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2022,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2023,NE.EXP.GNFS.ZS,,%
Trinidad and Tobago,TT,2024,NE.EXP.GNFS.ZS,,%
