country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1961,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1962,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1963,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1964,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1965,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1966,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1967,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1968,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1969,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1970,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1971,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1972,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1973,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1974,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1975,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1976,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1977,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1978,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1979,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1980,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1981,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1982,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1983,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1984,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1985,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1986,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1987,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1988,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1989,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1990,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1991,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1992,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1993,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1994,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1995,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1996,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1997,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1998,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,1999,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,2000,NE.GDI.TOTL.ZS,16.7852491790067,%
Trinidad and Tobago,TT,2001,NE.GDI.TOTL.ZS,26.7132302680376,%
Trinidad and Tobago,TT,2002,NE.GDI.TOTL.ZS,22.6251554450169,%
Trinidad and Tobago,TT,2003,NE.GDI.TOTL.ZS,25.188354480181,%
Trinidad and Tobago,TT,2004,NE.GDI.TOTL.ZS,16.624019381715,%
Trinidad and Tobago,TT,2005,NE.GDI.TOTL.ZS,11.363899726627,%
Trinidad and Tobago,TT,2006,NE.GDI.TOTL.ZS,17.921380553648,%
Trinidad and Tobago,TT,2007,NE.GDI.TOTL.ZS,26.5072464540625,%
Trinidad and Tobago,TT,2008,NE.GDI.TOTL.ZS,23.0445264115121,%
Trinidad and Tobago,TT,2009,NE.GDI.TOTL.ZS,31.4254022882359,%
Trinidad and Tobago,TT,2010,NE.GDI.TOTL.ZS,23.1421157657785,%
Trinidad and Tobago,TT,2011,NE.GDI.TOTL.ZS,21.8928313859828,%
Trinidad and Tobago,TT,2012,NE.GDI.TOTL.ZS,19.5737756175493,%
Trinidad and Tobago,TT,2013,NE.GDI.TOTL.ZS,20.3714181300631,%
Trinidad and Tobago,TT,2014,NE.GDI.TOTL.ZS,18.1764511221107,%
Trinidad and Tobago,TT,2015,NE.GDI.TOTL.ZS,25.3091748883586,%
Trinidad and Tobago,TT,2016,NE.GDI.TOTL.ZS,19.1521463317753,%
Trinidad and Tobago,TT,2017,NE.GDI.TOTL.ZS,20.6585336342458,%
Trinidad and Tobago,TT,2018,NE.GDI.TOTL.ZS,22.8343524061821,%
Trinidad and Tobago,TT,2019,NE.GDI.TOTL.ZS,20.7784776677143,%
Trinidad and Tobago,TT,2020,NE.GDI.TOTL.ZS,20.9681333096792,%
Trinidad and Tobago,TT,2021,NE.GDI.TOTL.ZS,20.0744548175538,%
Trinidad and Tobago,TT,2022,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,2023,NE.GDI.TOTL.ZS,,%
Trinidad and Tobago,TT,2024,NE.GDI.TOTL.ZS,,%
