country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1961,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1962,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1963,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1964,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1965,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1966,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1967,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1968,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1969,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1970,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1971,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1972,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1973,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1974,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1975,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1976,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1977,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1978,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1979,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1980,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1981,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1982,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1983,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1984,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1985,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1986,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1987,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1988,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1989,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1990,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1991,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1992,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1993,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1994,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1995,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1996,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1997,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1998,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,1999,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2000,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2001,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2002,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2003,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2004,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2005,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2006,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2007,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2008,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2009,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2010,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2011,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2012,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2013,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2014,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2015,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2016,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2017,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2018,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2019,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2020,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2021,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2022,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2023,NE.IMP.GNFS.ZS,,%
Trinidad and Tobago,TT,2024,NE.IMP.GNFS.ZS,,%
