country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1961,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1962,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1963,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1964,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1965,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1966,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1967,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1968,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1969,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1970,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1971,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1972,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1973,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1974,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1975,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1976,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1977,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1978,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1979,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1980,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1981,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1982,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1983,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1984,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1985,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1986,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1987,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1988,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1989,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1990,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1991,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1992,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1993,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1994,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1995,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1996,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1997,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1998,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,1999,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2000,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2001,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2002,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2003,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2004,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2005,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2006,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2007,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2008,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2009,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2010,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2011,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2012,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2013,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2014,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2015,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2016,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2017,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2018,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2019,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2020,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2021,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2022,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2023,NE.TRD.GNFS.ZS,,%
Trinidad and Tobago,TT,2024,NE.TRD.GNFS.ZS,,%
