country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,NV.AGR.TOTL.ZS,,%
Trinidad and Tobago,TT,1961,NV.AGR.TOTL.ZS,,%
Trinidad and Tobago,TT,1962,NV.AGR.TOTL.ZS,,%
Trinidad and Tobago,TT,1963,NV.AGR.TOTL.ZS,,%
Trinidad and Tobago,TT,1964,NV.AGR.TOTL.ZS,,%
Trinidad and Tobago,TT,1965,NV.AGR.TOTL.ZS,,%
Trinidad and Tobago,TT,1966,NV.AGR.TOTL.ZS,6.70589183525429,%
Trinidad and Tobago,TT,1967,NV.AGR.TOTL.ZS,6.47085472666868,%
Trinidad and Tobago,TT,1968,NV.AGR.TOTL.ZS,6.76637282687922,%
Trinidad and Tobago,TT,1969,NV.AGR.TOTL.ZS,6.76976386036961,%
Trinidad and Tobago,TT,1970,NV.AGR.TOTL.ZS,6.64963192796739,%
Trinidad and Tobago,TT,1971,NV.AGR.TOTL.ZS,6.61772972231905,%
Trinidad and Tobago,TT,1972,NV.AGR.TOTL.ZS,7.11025702618304,%
Trinidad and Tobago,TT,1973,NV.AGR.TOTL.ZS,5.70548341414412,%
Trinidad and Tobago,TT,1974,NV.AGR.TOTL.ZS,4.58177319106478,%
Trinidad and Tobago,TT,1975,NV.AGR.TOTL.ZS,5.03575394736413,%
Trinidad and Tobago,TT,1976,NV.AGR.TOTL.ZS,4.87316304288379,%
Trinidad and Tobago,TT,1977,NV.AGR.TOTL.ZS,4.10206032285472,%
Trinidad and Tobago,TT,1978,NV.AGR.TOTL.ZS,3.65163269679402,%
Trinidad and Tobago,TT,1979,NV.AGR.TOTL.ZS,3.36055336291218,%
Trinidad and Tobago,TT,1980,NV.AGR.TOTL.ZS,2.58786582921288,%
Trinidad and Tobago,TT,1981,NV.AGR.TOTL.ZS,2.59698468506049,%
Trinidad and Tobago,TT,1982,NV.AGR.TOTL.ZS,2.38880073706301,%
Trinidad and Tobago,TT,1983,NV.AGR.TOTL.ZS,2.13170181935276,%
Trinidad and Tobago,TT,1984,NV.AGR.TOTL.ZS,1.32674437342214,%
Trinidad and Tobago,TT,1985,NV.AGR.TOTL.ZS,2.43484035194511,%
Trinidad and Tobago,TT,1986,NV.AGR.TOTL.ZS,2.7630359212051,%
Trinidad and Tobago,TT,1987,NV.AGR.TOTL.ZS,2.76806391848078,%
Trinidad and Tobago,TT,1988,NV.AGR.TOTL.ZS,2.71622794330344,%
Trinidad and Tobago,TT,1989,NV.AGR.TOTL.ZS,2.45033473031078,%
Trinidad and Tobago,TT,1990,NV.AGR.TOTL.ZS,2.54097218998096,%
Trinidad and Tobago,TT,1991,NV.AGR.TOTL.ZS,2.47710407560753,%
Trinidad and Tobago,TT,1992,NV.AGR.TOTL.ZS,2.53567550966559,%
Trinidad and Tobago,TT,1993,NV.AGR.TOTL.ZS,2.51491781693607,%
Trinidad and Tobago,TT,1994,NV.AGR.TOTL.ZS,2.22232077975689,%
Trinidad and Tobago,TT,1995,NV.AGR.TOTL.ZS,2.31282988033606,%
Trinidad and Tobago,TT,1996,NV.AGR.TOTL.ZS,2.08491149751638,%
Trinidad and Tobago,TT,1997,NV.AGR.TOTL.ZS,2.16722840647102,%
Trinidad and Tobago,TT,1998,NV.AGR.TOTL.ZS,2.05805858400105,%
Trinidad and Tobago,TT,1999,NV.AGR.TOTL.ZS,1.93592311333183,%
Trinidad and Tobago,TT,2000,NV.AGR.TOTL.ZS,1.3571938867876,%
Trinidad and Tobago,TT,2001,NV.AGR.TOTL.ZS,1.28637705609447,%
Trinidad and Tobago,TT,2002,NV.AGR.TOTL.ZS,1.39847219754841,%
Trinidad and Tobago,TT,2003,NV.AGR.TOTL.ZS,0.947884612682488,%
Trinidad and Tobago,TT,2004,NV.AGR.TOTL.ZS,0.761483945963904,%
Trinidad and Tobago,TT,2005,NV.AGR.TOTL.ZS,0.483999190377517,%
Trinidad and Tobago,TT,2006,NV.AGR.TOTL.ZS,0.566876991369423,%
Trinidad and Tobago,TT,2007,NV.AGR.TOTL.ZS,0.371661707526332,%
Trinidad and Tobago,TT,2008,NV.AGR.TOTL.ZS,0.365514424327618,%
Trinidad and Tobago,TT,2009,NV.AGR.TOTL.ZS,0.595145826393538,%
Trinidad and Tobago,TT,2010,NV.AGR.TOTL.ZS,0.52014610527508,%
Trinidad and Tobago,TT,2011,NV.AGR.TOTL.ZS,0.456542570355529,%
Trinidad and Tobago,TT,2012,NV.AGR.TOTL.ZS,0.623861527345923,%
Trinidad and Tobago,TT,2013,NV.AGR.TOTL.ZS,0.712770741788669,%
Trinidad and Tobago,TT,2014,NV.AGR.TOTL.ZS,0.668563329698263,%
Trinidad and Tobago,TT,2015,NV.AGR.TOTL.ZS,0.922053381312427,%
Trinidad and Tobago,TT,2016,NV.AGR.TOTL.ZS,0.992433942592827,%
Trinidad and Tobago,TT,2017,NV.AGR.TOTL.ZS,1.08561055852397,%
Trinidad and Tobago,TT,2018,NV.AGR.TOTL.ZS,0.964285996452349,%
Trinidad and Tobago,TT,2019,NV.AGR.TOTL.ZS,0.761568317530986,%
Trinidad and Tobago,TT,2020,NV.AGR.TOTL.ZS,1.05713241651112,%
Trinidad and Tobago,TT,2021,NV.AGR.TOTL.ZS,0.910293249532888,%
Trinidad and Tobago,TT,2022,NV.AGR.TOTL.ZS,0.759115349532338,%
Trinidad and Tobago,TT,2023,NV.AGR.TOTL.ZS,0.823767652326401,%
Trinidad and Tobago,TT,2024,NV.AGR.TOTL.ZS,,%
