country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,NV.IND.TOTL.ZS,,%
Trinidad and Tobago,TT,1961,NV.IND.TOTL.ZS,,%
Trinidad and Tobago,TT,1962,NV.IND.TOTL.ZS,,%
Trinidad and Tobago,TT,1963,NV.IND.TOTL.ZS,,%
Trinidad and Tobago,TT,1964,NV.IND.TOTL.ZS,,%
Trinidad and Tobago,TT,1965,NV.IND.TOTL.ZS,,%
Trinidad and Tobago,TT,1966,NV.IND.TOTL.ZS,39.4857741597485,%
Trinidad and Tobago,TT,1967,NV.IND.TOTL.ZS,41.4074297795228,%
Trinidad and Tobago,TT,1968,NV.IND.TOTL.ZS,43.6223510095105,%
Trinidad and Tobago,TT,1969,NV.IND.TOTL.ZS,41.8313655030801,%
Trinidad and Tobago,TT,1970,NV.IND.TOTL.ZS,40.5244265985277,%
Trinidad and Tobago,TT,1971,NV.IND.TOTL.ZS,40.7566323683437,%
Trinidad and Tobago,TT,1972,NV.IND.TOTL.ZS,41.0473216430459,%
Trinidad and Tobago,TT,1973,NV.IND.TOTL.ZS,45.7491633160114,%
Trinidad and Tobago,TT,1974,NV.IND.TOTL.ZS,58.0031974146301,%
Trinidad and Tobago,TT,1975,NV.IND.TOTL.ZS,57.9724899912739,%
Trinidad and Tobago,TT,1976,NV.IND.TOTL.ZS,58.3351111019602,%
Trinidad and Tobago,TT,1977,NV.IND.TOTL.ZS,57.4832731520816,%
Trinidad and Tobago,TT,1978,NV.IND.TOTL.ZS,55.4645811921757,%
Trinidad and Tobago,TT,1979,NV.IND.TOTL.ZS,57.6354818812171,%
Trinidad and Tobago,TT,1980,NV.IND.TOTL.ZS,59.8369637845784,%
Trinidad and Tobago,TT,1981,NV.IND.TOTL.ZS,55.5473452118467,%
Trinidad and Tobago,TT,1982,NV.IND.TOTL.ZS,46.7953114603061,%
Trinidad and Tobago,TT,1983,NV.IND.TOTL.ZS,46.3312402726346,%
Trinidad and Tobago,TT,1984,NV.IND.TOTL.ZS,48.3590266960305,%
Trinidad and Tobago,TT,1985,NV.IND.TOTL.ZS,46.1623595816502,%
Trinidad and Tobago,TT,1986,NV.IND.TOTL.ZS,41.598493626883,%
Trinidad and Tobago,TT,1987,NV.IND.TOTL.ZS,43.8791106993979,%
Trinidad and Tobago,TT,1988,NV.IND.TOTL.ZS,43.8634654324559,%
Trinidad and Tobago,TT,1989,NV.IND.TOTL.ZS,47.0968268655092,%
Trinidad and Tobago,TT,1990,NV.IND.TOTL.ZS,47.4845628859279,%
Trinidad and Tobago,TT,1991,NV.IND.TOTL.ZS,44.7674057787274,%
Trinidad and Tobago,TT,1992,NV.IND.TOTL.ZS,42.6977130473525,%
Trinidad and Tobago,TT,1993,NV.IND.TOTL.ZS,41.3984928102326,%
Trinidad and Tobago,TT,1994,NV.IND.TOTL.ZS,46.6045981638731,%
Trinidad and Tobago,TT,1995,NV.IND.TOTL.ZS,44.9561631821208,%
Trinidad and Tobago,TT,1996,NV.IND.TOTL.ZS,45.1434948795198,%
Trinidad and Tobago,TT,1997,NV.IND.TOTL.ZS,42.7446355939527,%
Trinidad and Tobago,TT,1998,NV.IND.TOTL.ZS,38.5072901615657,%
Trinidad and Tobago,TT,1999,NV.IND.TOTL.ZS,40.6259399241299,%
Trinidad and Tobago,TT,2000,NV.IND.TOTL.ZS,47.5360468126773,%
Trinidad and Tobago,TT,2001,NV.IND.TOTL.ZS,45.2069910848034,%
Trinidad and Tobago,TT,2002,NV.IND.TOTL.ZS,42.9095754130396,%
Trinidad and Tobago,TT,2003,NV.IND.TOTL.ZS,51.4964380558951,%
Trinidad and Tobago,TT,2004,NV.IND.TOTL.ZS,54.3682801507327,%
Trinidad and Tobago,TT,2005,NV.IND.TOTL.ZS,59.6470153480265,%
Trinidad and Tobago,TT,2006,NV.IND.TOTL.ZS,60.8194415532707,%
Trinidad and Tobago,TT,2007,NV.IND.TOTL.ZS,59.6521421660795,%
Trinidad and Tobago,TT,2008,NV.IND.TOTL.ZS,63.9782596789726,%
Trinidad and Tobago,TT,2009,NV.IND.TOTL.ZS,53.1358528774451,%
Trinidad and Tobago,TT,2010,NV.IND.TOTL.ZS,53.8139564515672,%
Trinidad and Tobago,TT,2011,NV.IND.TOTL.ZS,57.0510122828478,%
Trinidad and Tobago,TT,2012,NV.IND.TOTL.ZS,46.824089797969,%
Trinidad and Tobago,TT,2013,NV.IND.TOTL.ZS,44.9801410063639,%
Trinidad and Tobago,TT,2014,NV.IND.TOTL.ZS,43.6313569639755,%
Trinidad and Tobago,TT,2015,NV.IND.TOTL.ZS,35.9770472103528,%
Trinidad and Tobago,TT,2016,NV.IND.TOTL.ZS,34.4145692567034,%
Trinidad and Tobago,TT,2017,NV.IND.TOTL.ZS,36.1808666213854,%
Trinidad and Tobago,TT,2018,NV.IND.TOTL.ZS,37.7897339881442,%
Trinidad and Tobago,TT,2019,NV.IND.TOTL.ZS,35.4797303478287,%
Trinidad and Tobago,TT,2020,NV.IND.TOTL.ZS,31.352745957736,%
Trinidad and Tobago,TT,2021,NV.IND.TOTL.ZS,38.9801352191804,%
Trinidad and Tobago,TT,2022,NV.IND.TOTL.ZS,46.0501054590945,%
Trinidad and Tobago,TT,2023,NV.IND.TOTL.ZS,34.9976117364726,%
Trinidad and Tobago,TT,2024,NV.IND.TOTL.ZS,,%
