country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,NY.GDP.MKTP.CD,535673252.483535,US$
Trinidad and Tobago,TT,1961,NY.GDP.MKTP.CD,584964620.921781,US$
Trinidad and Tobago,TT,1962,NY.GDP.MKTP.CD,619322810.026308,US$
Trinidad and Tobago,TT,1963,NY.GDP.MKTP.CD,678239329.401676,US$
Trinidad and Tobago,TT,1964,NY.GDP.MKTP.CD,711897520.256199,US$
Trinidad and Tobago,TT,1965,NY.GDP.MKTP.CD,736573158.567104,US$
Trinidad and Tobago,TT,1966,NY.GDP.MKTP.CD,723739857.317023,US$
Trinidad and Tobago,TT,1967,NY.GDP.MKTP.CD,761981912.42271,US$
Trinidad and Tobago,TT,1968,NY.GDP.MKTP.CD,758899950.0,US$
Trinidad and Tobago,TT,1969,NY.GDP.MKTP.CD,779200000.0,US$
Trinidad and Tobago,TT,1970,NY.GDP.MKTP.CD,821850000.0,US$
Trinidad and Tobago,TT,1971,NY.GDP.MKTP.CD,896765214.626133,US$
Trinidad and Tobago,TT,1972,NY.GDP.MKTP.CD,1083391757.89486,US$
Trinidad and Tobago,TT,1973,NY.GDP.MKTP.CD,1308785430.53591,US$
Trinidad and Tobago,TT,1974,NY.GDP.MKTP.CD,2042001070.5079,US$
Trinidad and Tobago,TT,1975,NY.GDP.MKTP.CD,2442669824.56431,US$
Trinidad and Tobago,TT,1976,NY.GDP.MKTP.CD,2500424955.23006,US$
Trinidad and Tobago,TT,1977,NY.GDP.MKTP.CD,3138666666.66667,US$
Trinidad and Tobago,TT,1978,NY.GDP.MKTP.CD,3562333458.33333,US$
Trinidad and Tobago,TT,1979,NY.GDP.MKTP.CD,4602416625.0,US$
Trinidad and Tobago,TT,1980,NY.GDP.MKTP.CD,6235833333.33333,US$
Trinidad and Tobago,TT,1981,NY.GDP.MKTP.CD,6992083333.33333,US$
Trinidad and Tobago,TT,1982,NY.GDP.MKTP.CD,8140416666.66667,US$
Trinidad and Tobago,TT,1983,NY.GDP.MKTP.CD,7763750000.0,US$
Trinidad and Tobago,TT,1984,NY.GDP.MKTP.CD,7757083333.33333,US$
Trinidad and Tobago,TT,1985,NY.GDP.MKTP.CD,7375918367.34694,US$
Trinidad and Tobago,TT,1986,NY.GDP.MKTP.CD,4794444444.44444,US$
Trinidad and Tobago,TT,1987,NY.GDP.MKTP.CD,4797777777.77778,US$
Trinidad and Tobago,TT,1988,NY.GDP.MKTP.CD,4496910569.10569,US$
Trinidad and Tobago,TT,1989,NY.GDP.MKTP.CD,4323058823.52941,US$
Trinidad and Tobago,TT,1990,NY.GDP.MKTP.CD,5068000000.0,US$
Trinidad and Tobago,TT,1991,NY.GDP.MKTP.CD,5307905882.35294,US$
Trinidad and Tobago,TT,1992,NY.GDP.MKTP.CD,5439552941.17647,US$
Trinidad and Tobago,TT,1993,NY.GDP.MKTP.CD,4669491134.2478,US$
Trinidad and Tobago,TT,1994,NY.GDP.MKTP.CD,4947181645.55221,US$
Trinidad and Tobago,TT,1995,NY.GDP.MKTP.CD,5329217747.21258,US$
Trinidad and Tobago,TT,1996,NY.GDP.MKTP.CD,5759570336.11287,US$
Trinidad and Tobago,TT,1997,NY.GDP.MKTP.CD,5737771523.10148,US$
Trinidad and Tobago,TT,1998,NY.GDP.MKTP.CD,6043686653.62189,US$
Trinidad and Tobago,TT,1999,NY.GDP.MKTP.CD,6808982520.75759,US$
Trinidad and Tobago,TT,2000,NY.GDP.MKTP.CD,8154342116.10311,US$
Trinidad and Tobago,TT,2001,NY.GDP.MKTP.CD,8824849191.03571,US$
Trinidad and Tobago,TT,2002,NY.GDP.MKTP.CD,9008298228.60273,US$
Trinidad and Tobago,TT,2003,NY.GDP.MKTP.CD,11305459802.0683,US$
Trinidad and Tobago,TT,2004,NY.GDP.MKTP.CD,13280291989.5755,US$
Trinidad and Tobago,TT,2005,NY.GDP.MKTP.CD,15982389018.4041,US$
Trinidad and Tobago,TT,2006,NY.GDP.MKTP.CD,18369361094.3886,US$
Trinidad and Tobago,TT,2007,NY.GDP.MKTP.CD,21641620049.9352,US$
Trinidad and Tobago,TT,2008,NY.GDP.MKTP.CD,27871587349.5413,US$
Trinidad and Tobago,TT,2009,NY.GDP.MKTP.CD,19172165225.5015,US$
Trinidad and Tobago,TT,2010,NY.GDP.MKTP.CD,22157920592.3669,US$
Trinidad and Tobago,TT,2011,NY.GDP.MKTP.CD,25433007437.1605,US$
Trinidad and Tobago,TT,2012,NY.GDP.MKTP.CD,27147349937.4689,US$
Trinidad and Tobago,TT,2013,NY.GDP.MKTP.CD,28560536917.4602,US$
Trinidad and Tobago,TT,2014,NY.GDP.MKTP.CD,29474180442.0125,US$
Trinidad and Tobago,TT,2015,NY.GDP.MKTP.CD,26841143094.6765,US$
Trinidad and Tobago,TT,2016,NY.GDP.MKTP.CD,23624333663.6693,US$
Trinidad and Tobago,TT,2017,NY.GDP.MKTP.CD,23847765529.2959,US$
Trinidad and Tobago,TT,2018,NY.GDP.MKTP.CD,23888910151.9167,US$
Trinidad and Tobago,TT,2019,NY.GDP.MKTP.CD,23588037786.7403,US$
Trinidad and Tobago,TT,2020,NY.GDP.MKTP.CD,20991339706.5613,US$
Trinidad and Tobago,TT,2021,NY.GDP.MKTP.CD,24177305760.2763,US$
Trinidad and Tobago,TT,2022,NY.GDP.MKTP.CD,28510328245.1372,US$
Trinidad and Tobago,TT,2023,NY.GDP.MKTP.CD,25489373405.0619,US$
Trinidad and Tobago,TT,2024,NY.GDP.MKTP.CD,26428963758.1307,US$
