country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,NY.GDP.PCAP.CD,633.975608394336,US$
Trinidad and Tobago,TT,1961,NY.GDP.PCAP.CD,677.713824022157,US$
Trinidad and Tobago,TT,1962,NY.GDP.PCAP.CD,703.620804079905,US$
Trinidad and Tobago,TT,1963,NY.GDP.PCAP.CD,756.284906625836,US$
Trinidad and Tobago,TT,1964,NY.GDP.PCAP.CD,779.766014894579,US$
Trinidad and Tobago,TT,1965,NY.GDP.PCAP.CD,793.357738715678,US$
Trinidad and Tobago,TT,1966,NY.GDP.PCAP.CD,767.537870840813,US$
Trinidad and Tobago,TT,1967,NY.GDP.PCAP.CD,796.703860051473,US$
Trinidad and Tobago,TT,1968,NY.GDP.PCAP.CD,783.173633599792,US$
Trinidad and Tobago,TT,1969,NY.GDP.PCAP.CD,794.529655166788,US$
Trinidad and Tobago,TT,1970,NY.GDP.PCAP.CD,828.919857464313,US$
Trinidad and Tobago,TT,1971,NY.GDP.PCAP.CD,894.45305348288,US$
Trinidad and Tobago,TT,1972,NY.GDP.PCAP.CD,1067.46412567566,US$
Trinidad and Tobago,TT,1973,NY.GDP.PCAP.CD,1273.3221357336,US$
Trinidad and Tobago,TT,1974,NY.GDP.PCAP.CD,1962.02689234886,US$
Trinidad and Tobago,TT,1975,NY.GDP.PCAP.CD,2318.69169815563,US$
Trinidad and Tobago,TT,1976,NY.GDP.PCAP.CD,2344.93028321949,US$
Trinidad and Tobago,TT,1977,NY.GDP.PCAP.CD,2907.3734770717,US$
Trinidad and Tobago,TT,1978,NY.GDP.PCAP.CD,3258.0927567116,US$
Trinidad and Tobago,TT,1979,NY.GDP.PCAP.CD,4155.1594201721,US$
Trinidad and Tobago,TT,1980,NY.GDP.PCAP.CD,5559.05209507101,US$
Trinidad and Tobago,TT,1981,NY.GDP.PCAP.CD,6159.70947284839,US$
Trinidad and Tobago,TT,1982,NY.GDP.PCAP.CD,7091.40621892043,US$
Trinidad and Tobago,TT,1983,NY.GDP.PCAP.CD,6689.80831238034,US$
Trinidad and Tobago,TT,1984,NY.GDP.PCAP.CD,6613.11947420709,US$
Trinidad and Tobago,TT,1985,NY.GDP.PCAP.CD,6212.00065299742,US$
Trinidad and Tobago,TT,1986,NY.GDP.PCAP.CD,3984.99609719733,US$
Trinidad and Tobago,TT,1987,NY.GDP.PCAP.CD,3941.12013972631,US$
Trinidad and Tobago,TT,1988,NY.GDP.PCAP.CD,3655.81977035897,US$
Trinidad and Tobago,TT,1989,NY.GDP.PCAP.CD,3481.84505761067,US$
Trinidad and Tobago,TT,1990,NY.GDP.PCAP.CD,4047.25093594674,US$
Trinidad and Tobago,TT,1991,NY.GDP.PCAP.CD,4205.37778348016,US$
Trinidad and Tobago,TT,1992,NY.GDP.PCAP.CD,4277.47436935604,US$
Trinidad and Tobago,TT,1993,NY.GDP.PCAP.CD,3646.71231742803,US$
Trinidad and Tobago,TT,1994,NY.GDP.PCAP.CD,3839.96290233114,US$
Trinidad and Tobago,TT,1995,NY.GDP.PCAP.CD,4114.68908475464,US$
Trinidad and Tobago,TT,1996,NY.GDP.PCAP.CD,4427.27832448289,US$
Trinidad and Tobago,TT,1997,NY.GDP.PCAP.CD,4393.94496943068,US$
Trinidad and Tobago,TT,1998,NY.GDP.PCAP.CD,4612.70900312686,US$
Trinidad and Tobago,TT,1999,NY.GDP.PCAP.CD,5179.08350809274,US$
Trinidad and Tobago,TT,2000,NY.GDP.PCAP.CD,6178.58975559687,US$
Trinidad and Tobago,TT,2001,NY.GDP.PCAP.CD,6657.41466937221,US$
Trinidad and Tobago,TT,2002,NY.GDP.PCAP.CD,6762.93080808096,US$
Trinidad and Tobago,TT,2003,NY.GDP.PCAP.CD,8445.04653518298,US$
Trinidad and Tobago,TT,2004,NY.GDP.PCAP.CD,9871.03419820086,US$
Trinidad and Tobago,TT,2005,NY.GDP.PCAP.CD,12346.4373094075,US$
Trinidad and Tobago,TT,2006,NY.GDP.PCAP.CD,14152.6607422113,US$
Trinidad and Tobago,TT,2007,NY.GDP.PCAP.CD,16606.675360681,US$
Trinidad and Tobago,TT,2008,NY.GDP.PCAP.CD,21298.9945258063,US$
Trinidad and Tobago,TT,2009,NY.GDP.PCAP.CD,14634.0565003912,US$
Trinidad and Tobago,TT,2010,NY.GDP.PCAP.CD,16815.424737361,US$
Trinidad and Tobago,TT,2011,NY.GDP.PCAP.CD,19151.0870229722,US$
Trinidad and Tobago,TT,2012,NY.GDP.PCAP.CD,20332.1389531925,US$
Trinidad and Tobago,TT,2013,NY.GDP.PCAP.CD,21304.9776454565,US$
Trinidad and Tobago,TT,2014,NY.GDP.PCAP.CD,21908.3017802988,US$
Trinidad and Tobago,TT,2015,NY.GDP.PCAP.CD,19887.2337359338,US$
Trinidad and Tobago,TT,2016,NY.GDP.PCAP.CD,17449.1623528186,US$
Trinidad and Tobago,TT,2017,NY.GDP.PCAP.CD,17578.6417765865,US$
Trinidad and Tobago,TT,2018,NY.GDP.PCAP.CD,17575.8042838042,US$
Trinidad and Tobago,TT,2019,NY.GDP.PCAP.CD,17293.4730123427,US$
Trinidad and Tobago,TT,2020,NY.GDP.PCAP.CD,15358.8612973066,US$
Trinidad and Tobago,TT,2021,NY.GDP.PCAP.CD,17679.1812561341,US$
Trinidad and Tobago,TT,2022,NY.GDP.PCAP.CD,20874.37682915,US$
Trinidad and Tobago,TT,2023,NY.GDP.PCAP.CD,18639.259241294,US$
Trinidad and Tobago,TT,2024,NY.GDP.PCAP.CD,19314.7163432664,US$
