country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1961,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1962,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1963,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1964,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1965,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1966,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1967,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1968,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1969,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1970,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1971,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1972,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1973,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1974,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1975,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1976,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1977,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1978,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1979,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1980,SE.ADT.LITR.ZS,95.0,%
Trinidad and Tobago,TT,1981,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1982,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1983,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1984,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1985,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1986,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1987,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1988,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1989,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1990,SE.ADT.LITR.ZS,97.0,%
Trinidad and Tobago,TT,1991,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1992,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1993,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1994,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1995,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1996,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1997,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1998,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,1999,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2000,SE.ADT.LITR.ZS,97.9000015258789,%
Trinidad and Tobago,TT,2001,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2002,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2003,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2004,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2005,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2006,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2007,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2008,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2009,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2010,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2011,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2012,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2013,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2014,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2015,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2016,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2017,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2018,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2019,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2020,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2021,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2022,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2023,SE.ADT.LITR.ZS,,%
Trinidad and Tobago,TT,2024,SE.ADT.LITR.ZS,,%
