country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1961,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1962,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1963,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1964,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1965,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1966,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1967,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1968,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1969,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1970,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1971,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1972,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1973,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1974,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1975,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1976,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1977,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1978,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1979,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1980,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1981,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1982,SE.PRM.CMPT.ZS,113.346786499023,%
Trinidad and Tobago,TT,1983,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1984,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1985,SE.PRM.CMPT.ZS,91.664306640625,%
Trinidad and Tobago,TT,1986,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1987,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1988,SE.PRM.CMPT.ZS,93.3135604858398,%
Trinidad and Tobago,TT,1989,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1990,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1991,SE.PRM.CMPT.ZS,92.0488586425781,%
Trinidad and Tobago,TT,1992,SE.PRM.CMPT.ZS,93.1954193115234,%
Trinidad and Tobago,TT,1993,SE.PRM.CMPT.ZS,91.8816375732422,%
Trinidad and Tobago,TT,1994,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1995,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1996,SE.PRM.CMPT.ZS,89.0639114379883,%
Trinidad and Tobago,TT,1997,SE.PRM.CMPT.ZS,87.154899597168,%
Trinidad and Tobago,TT,1998,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,1999,SE.PRM.CMPT.ZS,96.7256774902344,%
Trinidad and Tobago,TT,2000,SE.PRM.CMPT.ZS,91.4473419189453,%
Trinidad and Tobago,TT,2001,SE.PRM.CMPT.ZS,86.5502700805664,%
Trinidad and Tobago,TT,2002,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2003,SE.PRM.CMPT.ZS,88.8825836181641,%
Trinidad and Tobago,TT,2004,SE.PRM.CMPT.ZS,92.5986022949219,%
Trinidad and Tobago,TT,2005,SE.PRM.CMPT.ZS,89.2411270141602,%
Trinidad and Tobago,TT,2006,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2007,SE.PRM.CMPT.ZS,92.2424697875977,%
Trinidad and Tobago,TT,2008,SE.PRM.CMPT.ZS,88.7429885864258,%
Trinidad and Tobago,TT,2009,SE.PRM.CMPT.ZS,89.7407379150391,%
Trinidad and Tobago,TT,2010,SE.PRM.CMPT.ZS,87.2268218994141,%
Trinidad and Tobago,TT,2011,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2012,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2013,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2014,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2015,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2016,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2017,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2018,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2019,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2020,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2021,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2022,SE.PRM.CMPT.ZS,,%
Trinidad and Tobago,TT,2023,SE.PRM.CMPT.ZS,84.8512878417969,%
Trinidad and Tobago,TT,2024,SE.PRM.CMPT.ZS,,%
