country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1961,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1962,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1963,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1964,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1965,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1966,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1967,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1968,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1969,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1970,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1971,SE.PRM.NENR,93.10544,%
Trinidad and Tobago,TT,1972,SE.PRM.NENR,92.28757,%
Trinidad and Tobago,TT,1973,SE.PRM.NENR,91.5557,%
Trinidad and Tobago,TT,1974,SE.PRM.NENR,91.4091,%
Trinidad and Tobago,TT,1975,SE.PRM.NENR,92.25022,%
Trinidad and Tobago,TT,1976,SE.PRM.NENR,95.34003,%
Trinidad and Tobago,TT,1977,SE.PRM.NENR,96.04981,%
Trinidad and Tobago,TT,1978,SE.PRM.NENR,94.09735,%
Trinidad and Tobago,TT,1979,SE.PRM.NENR,89.40766,%
Trinidad and Tobago,TT,1980,SE.PRM.NENR,86.2554,%
Trinidad and Tobago,TT,1981,SE.PRM.NENR,91.30311,%
Trinidad and Tobago,TT,1982,SE.PRM.NENR,92.58563,%
Trinidad and Tobago,TT,1983,SE.PRM.NENR,92.57738,%
Trinidad and Tobago,TT,1984,SE.PRM.NENR,91.8715,%
Trinidad and Tobago,TT,1985,SE.PRM.NENR,92.15856,%
Trinidad and Tobago,TT,1986,SE.PRM.NENR,90.38142,%
Trinidad and Tobago,TT,1987,SE.PRM.NENR,92.40427,%
Trinidad and Tobago,TT,1988,SE.PRM.NENR,93.22378,%
Trinidad and Tobago,TT,1989,SE.PRM.NENR,91.84532,%
Trinidad and Tobago,TT,1990,SE.PRM.NENR,90.03117,%
Trinidad and Tobago,TT,1991,SE.PRM.NENR,89.61541,%
Trinidad and Tobago,TT,1992,SE.PRM.NENR,89.19696,%
Trinidad and Tobago,TT,1993,SE.PRM.NENR,88.31997,%
Trinidad and Tobago,TT,1994,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1995,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1996,SE.PRM.NENR,88.66688,%
Trinidad and Tobago,TT,1997,SE.PRM.NENR,88.48501,%
Trinidad and Tobago,TT,1998,SE.PRM.NENR,,%
Trinidad and Tobago,TT,1999,SE.PRM.NENR,93.70771,%
Trinidad and Tobago,TT,2000,SE.PRM.NENR,93.86158,%
Trinidad and Tobago,TT,2001,SE.PRM.NENR,93.0624,%
Trinidad and Tobago,TT,2002,SE.PRM.NENR,89.87798,%
Trinidad and Tobago,TT,2003,SE.PRM.NENR,90.9853,%
Trinidad and Tobago,TT,2004,SE.PRM.NENR,91.66821,%
Trinidad and Tobago,TT,2005,SE.PRM.NENR,88.68652,%
Trinidad and Tobago,TT,2006,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2007,SE.PRM.NENR,93.50621,%
Trinidad and Tobago,TT,2008,SE.PRM.NENR,94.42087,%
Trinidad and Tobago,TT,2009,SE.PRM.NENR,95.28803,%
Trinidad and Tobago,TT,2010,SE.PRM.NENR,95.28261,%
Trinidad and Tobago,TT,2011,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2012,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2013,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2014,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2015,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2016,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2017,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2018,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2019,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2020,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2021,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2022,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2023,SE.PRM.NENR,,%
Trinidad and Tobago,TT,2024,SE.PRM.NENR,,%
