country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1961,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1962,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1963,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1964,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1965,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1966,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1967,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1968,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1969,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1970,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1971,SE.SEC.ENRR,41.7369003295898,%
Trinidad and Tobago,TT,1972,SE.SEC.ENRR,43.149040222168,%
Trinidad and Tobago,TT,1973,SE.SEC.ENRR,42.240161895752,%
Trinidad and Tobago,TT,1974,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1975,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1976,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1977,SE.SEC.ENRR,55.5857315063477,%
Trinidad and Tobago,TT,1978,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1979,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1980,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1981,SE.SEC.ENRR,71.9613418579102,%
Trinidad and Tobago,TT,1982,SE.SEC.ENRR,78.428092956543,%
Trinidad and Tobago,TT,1983,SE.SEC.ENRR,80.8240432739258,%
Trinidad and Tobago,TT,1984,SE.SEC.ENRR,82.9468231201172,%
Trinidad and Tobago,TT,1985,SE.SEC.ENRR,82.1985321044922,%
Trinidad and Tobago,TT,1986,SE.SEC.ENRR,82.8612213134766,%
Trinidad and Tobago,TT,1987,SE.SEC.ENRR,83.0370712280273,%
Trinidad and Tobago,TT,1988,SE.SEC.ENRR,83.4527130126953,%
Trinidad and Tobago,TT,1989,SE.SEC.ENRR,81.5805282592773,%
Trinidad and Tobago,TT,1990,SE.SEC.ENRR,81.5554809570312,%
Trinidad and Tobago,TT,1991,SE.SEC.ENRR,78.0025100708008,%
Trinidad and Tobago,TT,1992,SE.SEC.ENRR,75.8764572143555,%
Trinidad and Tobago,TT,1993,SE.SEC.ENRR,75.0583801269531,%
Trinidad and Tobago,TT,1994,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1995,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1996,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1997,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1998,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,1999,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2000,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2001,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2002,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2003,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2004,SE.SEC.ENRR,84.2731094360352,%
Trinidad and Tobago,TT,2005,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2006,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2007,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2008,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2009,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2010,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2011,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2012,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2013,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2014,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2015,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2016,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2017,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2018,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2019,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2020,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2021,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2022,SE.SEC.ENRR,,%
Trinidad and Tobago,TT,2023,SE.SEC.ENRR,87.008903503418,%
Trinidad and Tobago,TT,2024,SE.SEC.ENRR,,%
