country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1961,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1962,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1963,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1964,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1965,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1966,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1967,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1968,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1969,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1970,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1971,SE.TER.ENRR,2.25336003303528,%
Trinidad and Tobago,TT,1972,SE.TER.ENRR,2.35838007926941,%
Trinidad and Tobago,TT,1973,SE.TER.ENRR,2.36668992042542,%
Trinidad and Tobago,TT,1974,SE.TER.ENRR,2.41480994224548,%
Trinidad and Tobago,TT,1975,SE.TER.ENRR,2.48352003097534,%
Trinidad and Tobago,TT,1976,SE.TER.ENRR,4.08440017700195,%
Trinidad and Tobago,TT,1977,SE.TER.ENRR,4.18707990646362,%
Trinidad and Tobago,TT,1978,SE.TER.ENRR,4.20295000076294,%
Trinidad and Tobago,TT,1979,SE.TER.ENRR,4.00633001327515,%
Trinidad and Tobago,TT,1980,SE.TER.ENRR,4.31577014923096,%
Trinidad and Tobago,TT,1981,SE.TER.ENRR,4.25598001480103,%
Trinidad and Tobago,TT,1982,SE.TER.ENRR,4.3406400680542,%
Trinidad and Tobago,TT,1983,SE.TER.ENRR,3.99334001541138,%
Trinidad and Tobago,TT,1984,SE.TER.ENRR,3.93301010131836,%
Trinidad and Tobago,TT,1985,SE.TER.ENRR,4.69681978225708,%
Trinidad and Tobago,TT,1986,SE.TER.ENRR,5.71790981292725,%
Trinidad and Tobago,TT,1987,SE.TER.ENRR,5.91953992843628,%
Trinidad and Tobago,TT,1988,SE.TER.ENRR,5.85400009155273,%
Trinidad and Tobago,TT,1989,SE.TER.ENRR,6.69195985794067,%
Trinidad and Tobago,TT,1990,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1991,SE.TER.ENRR,6.55406999588013,%
Trinidad and Tobago,TT,1992,SE.TER.ENRR,6.6472601890564,%
Trinidad and Tobago,TT,1993,SE.TER.ENRR,7.09244012832642,%
Trinidad and Tobago,TT,1994,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1995,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1996,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1997,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1998,SE.TER.ENRR,,%
Trinidad and Tobago,TT,1999,SE.TER.ENRR,5.6235499382019,%
Trinidad and Tobago,TT,2000,SE.TER.ENRR,5.55650997161865,%
Trinidad and Tobago,TT,2001,SE.TER.ENRR,6.03922986984253,%
Trinidad and Tobago,TT,2002,SE.TER.ENRR,8.33351039886475,%
Trinidad and Tobago,TT,2003,SE.TER.ENRR,8.45785999298096,%
Trinidad and Tobago,TT,2004,SE.TER.ENRR,11.5449304580688,%
Trinidad and Tobago,TT,2005,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2006,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2007,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2008,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2009,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2010,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2011,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2012,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2013,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2014,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2015,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2016,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2017,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2018,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2019,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2020,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2021,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2022,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2023,SE.TER.ENRR,,%
Trinidad and Tobago,TT,2024,SE.TER.ENRR,,%
