country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1961,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1962,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1963,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1964,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1965,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1966,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1967,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1968,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1969,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1970,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1971,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1972,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1973,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1974,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1975,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1976,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1977,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1978,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1979,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1980,SE.XPD.TOTL.GD.ZS,3.76807999610901,%
Trinidad and Tobago,TT,1981,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1982,SE.XPD.TOTL.GD.ZS,5.45739984512329,%
Trinidad and Tobago,TT,1983,SE.XPD.TOTL.GD.ZS,5.76660013198853,%
Trinidad and Tobago,TT,1984,SE.XPD.TOTL.GD.ZS,5.87390995025635,%
Trinidad and Tobago,TT,1985,SE.XPD.TOTL.GD.ZS,5.76774978637695,%
Trinidad and Tobago,TT,1986,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1987,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1988,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1989,SE.XPD.TOTL.GD.ZS,4.19987010955811,%
Trinidad and Tobago,TT,1990,SE.XPD.TOTL.GD.ZS,3.65412998199463,%
Trinidad and Tobago,TT,1991,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1992,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1993,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,1994,SE.XPD.TOTL.GD.ZS,3.43180990219116,%
Trinidad and Tobago,TT,1995,SE.XPD.TOTL.GD.ZS,3.55854988098145,%
Trinidad and Tobago,TT,1996,SE.XPD.TOTL.GD.ZS,3.24876999855042,%
Trinidad and Tobago,TT,1997,SE.XPD.TOTL.GD.ZS,3.3252100944519,%
Trinidad and Tobago,TT,1998,SE.XPD.TOTL.GD.ZS,2.43892002105713,%
Trinidad and Tobago,TT,1999,SE.XPD.TOTL.GD.ZS,2.75611996650696,%
Trinidad and Tobago,TT,2000,SE.XPD.TOTL.GD.ZS,2.75565004348755,%
Trinidad and Tobago,TT,2001,SE.XPD.TOTL.GD.ZS,3.06528997421265,%
Trinidad and Tobago,TT,2002,SE.XPD.TOTL.GD.ZS,3.54300999641418,%
Trinidad and Tobago,TT,2003,SE.XPD.TOTL.GD.ZS,3.13660001754761,%
Trinidad and Tobago,TT,2004,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2005,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2006,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2007,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2008,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2009,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2010,SE.XPD.TOTL.GD.ZS,4.21155452728271,%
Trinidad and Tobago,TT,2011,SE.XPD.TOTL.GD.ZS,3.85078835487366,%
Trinidad and Tobago,TT,2012,SE.XPD.TOTL.GD.ZS,3.6819269657135,%
Trinidad and Tobago,TT,2013,SE.XPD.TOTL.GD.ZS,3.77278661727905,%
Trinidad and Tobago,TT,2014,SE.XPD.TOTL.GD.ZS,3.61554169654846,%
Trinidad and Tobago,TT,2015,SE.XPD.TOTL.GD.ZS,4.45339345932007,%
Trinidad and Tobago,TT,2016,SE.XPD.TOTL.GD.ZS,4.17230987548828,%
Trinidad and Tobago,TT,2017,SE.XPD.TOTL.GD.ZS,3.52995157241821,%
Trinidad and Tobago,TT,2018,SE.XPD.TOTL.GD.ZS,3.64017295837402,%
Trinidad and Tobago,TT,2019,SE.XPD.TOTL.GD.ZS,3.54284954071045,%
Trinidad and Tobago,TT,2020,SE.XPD.TOTL.GD.ZS,4.2576699256897,%
Trinidad and Tobago,TT,2021,SE.XPD.TOTL.GD.ZS,3.00432991981506,%
Trinidad and Tobago,TT,2022,SE.XPD.TOTL.GD.ZS,2.87970423698425,%
Trinidad and Tobago,TT,2023,SE.XPD.TOTL.GD.ZS,,%
Trinidad and Tobago,TT,2024,SE.XPD.TOTL.GD.ZS,,%
