country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1961,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1962,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1963,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1964,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1965,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1966,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1967,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1968,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1969,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1970,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1971,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1972,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1973,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1974,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1975,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1976,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1977,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1978,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1979,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1980,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1981,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1982,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1983,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1984,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1985,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1986,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1987,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1988,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1989,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1990,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1991,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1992,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1993,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1994,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1995,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1996,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,1997,SG.GEN.PARL.ZS,11.1111111111111,%
Trinidad and Tobago,TT,1998,SG.GEN.PARL.ZS,11.1111111111111,%
Trinidad and Tobago,TT,1999,SG.GEN.PARL.ZS,11.1111111111111,%
Trinidad and Tobago,TT,2000,SG.GEN.PARL.ZS,,%
Trinidad and Tobago,TT,2001,SG.GEN.PARL.ZS,11.1111111111111,%
Trinidad and Tobago,TT,2002,SG.GEN.PARL.ZS,19.4444444444444,%
Trinidad and Tobago,TT,2003,SG.GEN.PARL.ZS,19.4444444444444,%
Trinidad and Tobago,TT,2004,SG.GEN.PARL.ZS,19.4444444444444,%
Trinidad and Tobago,TT,2005,SG.GEN.PARL.ZS,19.4444444444444,%
Trinidad and Tobago,TT,2006,SG.GEN.PARL.ZS,19.4444444444444,%
Trinidad and Tobago,TT,2007,SG.GEN.PARL.ZS,26.8292682926829,%
Trinidad and Tobago,TT,2008,SG.GEN.PARL.ZS,26.8292682926829,%
Trinidad and Tobago,TT,2009,SG.GEN.PARL.ZS,26.8292682926829,%
Trinidad and Tobago,TT,2010,SG.GEN.PARL.ZS,28.5714285714286,%
Trinidad and Tobago,TT,2011,SG.GEN.PARL.ZS,28.5714285714286,%
Trinidad and Tobago,TT,2012,SG.GEN.PARL.ZS,28.5714285714286,%
Trinidad and Tobago,TT,2013,SG.GEN.PARL.ZS,28.5714285714286,%
Trinidad and Tobago,TT,2014,SG.GEN.PARL.ZS,28.5714285714286,%
Trinidad and Tobago,TT,2015,SG.GEN.PARL.ZS,30.952380952381,%
Trinidad and Tobago,TT,2016,SG.GEN.PARL.ZS,30.952380952381,%
Trinidad and Tobago,TT,2017,SG.GEN.PARL.ZS,30.952380952381,%
Trinidad and Tobago,TT,2018,SG.GEN.PARL.ZS,30.952380952381,%
Trinidad and Tobago,TT,2019,SG.GEN.PARL.ZS,30.952380952381,%
Trinidad and Tobago,TT,2020,SG.GEN.PARL.ZS,26.1904761904762,%
Trinidad and Tobago,TT,2021,SG.GEN.PARL.ZS,26.1904761904762,%
Trinidad and Tobago,TT,2022,SG.GEN.PARL.ZS,26.1904761904762,%
Trinidad and Tobago,TT,2023,SG.GEN.PARL.ZS,28.5714285714286,%
Trinidad and Tobago,TT,2024,SG.GEN.PARL.ZS,28.5714285714286,%
