country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1961,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1962,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1963,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1964,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1965,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1966,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1967,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1968,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1969,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1970,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1971,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1972,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1973,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1974,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1975,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1976,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1977,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1978,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1979,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1980,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1981,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1982,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1983,SH.IMM.MEAS,,%
Trinidad and Tobago,TT,1984,SH.IMM.MEAS,10.0,%
Trinidad and Tobago,TT,1985,SH.IMM.MEAS,32.0,%
Trinidad and Tobago,TT,1986,SH.IMM.MEAS,42.0,%
Trinidad and Tobago,TT,1987,SH.IMM.MEAS,68.0,%
Trinidad and Tobago,TT,1988,SH.IMM.MEAS,72.0,%
Trinidad and Tobago,TT,1989,SH.IMM.MEAS,59.0,%
Trinidad and Tobago,TT,1990,SH.IMM.MEAS,70.0,%
Trinidad and Tobago,TT,1991,SH.IMM.MEAS,93.0,%
Trinidad and Tobago,TT,1992,SH.IMM.MEAS,83.0,%
Trinidad and Tobago,TT,1993,SH.IMM.MEAS,87.0,%
Trinidad and Tobago,TT,1994,SH.IMM.MEAS,86.0,%
Trinidad and Tobago,TT,1995,SH.IMM.MEAS,84.0,%
Trinidad and Tobago,TT,1996,SH.IMM.MEAS,88.0,%
Trinidad and Tobago,TT,1997,SH.IMM.MEAS,88.0,%
Trinidad and Tobago,TT,1998,SH.IMM.MEAS,90.0,%
Trinidad and Tobago,TT,1999,SH.IMM.MEAS,88.0,%
Trinidad and Tobago,TT,2000,SH.IMM.MEAS,90.0,%
Trinidad and Tobago,TT,2001,SH.IMM.MEAS,91.0,%
Trinidad and Tobago,TT,2002,SH.IMM.MEAS,87.0,%
Trinidad and Tobago,TT,2003,SH.IMM.MEAS,88.0,%
Trinidad and Tobago,TT,2004,SH.IMM.MEAS,95.0,%
Trinidad and Tobago,TT,2005,SH.IMM.MEAS,93.0,%
Trinidad and Tobago,TT,2006,SH.IMM.MEAS,89.0,%
Trinidad and Tobago,TT,2007,SH.IMM.MEAS,91.0,%
Trinidad and Tobago,TT,2008,SH.IMM.MEAS,91.0,%
Trinidad and Tobago,TT,2009,SH.IMM.MEAS,94.0,%
Trinidad and Tobago,TT,2010,SH.IMM.MEAS,92.0,%
Trinidad and Tobago,TT,2011,SH.IMM.MEAS,92.0,%
Trinidad and Tobago,TT,2012,SH.IMM.MEAS,85.0,%
Trinidad and Tobago,TT,2013,SH.IMM.MEAS,91.0,%
Trinidad and Tobago,TT,2014,SH.IMM.MEAS,96.0,%
Trinidad and Tobago,TT,2015,SH.IMM.MEAS,89.0,%
Trinidad and Tobago,TT,2016,SH.IMM.MEAS,86.0,%
Trinidad and Tobago,TT,2017,SH.IMM.MEAS,93.0,%
Trinidad and Tobago,TT,2018,SH.IMM.MEAS,90.0,%
Trinidad and Tobago,TT,2019,SH.IMM.MEAS,99.0,%
Trinidad and Tobago,TT,2020,SH.IMM.MEAS,91.0,%
Trinidad and Tobago,TT,2021,SH.IMM.MEAS,93.0,%
Trinidad and Tobago,TT,2022,SH.IMM.MEAS,92.0,%
Trinidad and Tobago,TT,2023,SH.IMM.MEAS,90.0,%
Trinidad and Tobago,TT,2024,SH.IMM.MEAS,,%
