country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SH.MED.BEDS.ZS,5.58956098556519,per 1k
Trinidad and Tobago,TT,1961,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1962,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1963,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1964,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1965,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1966,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1967,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1968,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1969,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1970,SH.MED.BEDS.ZS,4.94339990615845,per 1k
Trinidad and Tobago,TT,1971,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1972,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1973,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1974,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1975,SH.MED.BEDS.ZS,4.98519992828369,per 1k
Trinidad and Tobago,TT,1976,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1977,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1978,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1979,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1980,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1981,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1982,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1983,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1984,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1985,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1986,SH.MED.BEDS.ZS,5.03730010986328,per 1k
Trinidad and Tobago,TT,1987,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1988,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1989,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1990,SH.MED.BEDS.ZS,4.0,per 1k
Trinidad and Tobago,TT,1991,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1992,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1993,SH.MED.BEDS.ZS,3.2425999641,per 1k
Trinidad and Tobago,TT,1994,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1995,SH.MED.BEDS.ZS,3.8,per 1k
Trinidad and Tobago,TT,1996,SH.MED.BEDS.ZS,5.1100001335,per 1k
Trinidad and Tobago,TT,1997,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1998,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,1999,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,2000,SH.MED.BEDS.ZS,3.3,per 1k
Trinidad and Tobago,TT,2001,SH.MED.BEDS.ZS,3.4000000954,per 1k
Trinidad and Tobago,TT,2002,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,2003,SH.MED.BEDS.ZS,3.3,per 1k
Trinidad and Tobago,TT,2004,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,2005,SH.MED.BEDS.ZS,2.6,per 1k
Trinidad and Tobago,TT,2006,SH.MED.BEDS.ZS,2.7,per 1k
Trinidad and Tobago,TT,2007,SH.MED.BEDS.ZS,2.7,per 1k
Trinidad and Tobago,TT,2008,SH.MED.BEDS.ZS,2.5,per 1k
Trinidad and Tobago,TT,2009,SH.MED.BEDS.ZS,2.6,per 1k
Trinidad and Tobago,TT,2010,SH.MED.BEDS.ZS,2.01,per 1k
Trinidad and Tobago,TT,2011,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,2012,SH.MED.BEDS.ZS,2.55,per 1k
Trinidad and Tobago,TT,2013,SH.MED.BEDS.ZS,2.53,per 1k
Trinidad and Tobago,TT,2014,SH.MED.BEDS.ZS,2.79,per 1k
Trinidad and Tobago,TT,2015,SH.MED.BEDS.ZS,2.38,per 1k
Trinidad and Tobago,TT,2016,SH.MED.BEDS.ZS,2.41,per 1k
Trinidad and Tobago,TT,2017,SH.MED.BEDS.ZS,2.41,per 1k
Trinidad and Tobago,TT,2018,SH.MED.BEDS.ZS,2.38,per 1k
Trinidad and Tobago,TT,2019,SH.MED.BEDS.ZS,1.9,per 1k
Trinidad and Tobago,TT,2020,SH.MED.BEDS.ZS,1.92,per 1k
Trinidad and Tobago,TT,2021,SH.MED.BEDS.ZS,1.61,per 1k
Trinidad and Tobago,TT,2022,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,2023,SH.MED.BEDS.ZS,,per 1k
Trinidad and Tobago,TT,2024,SH.MED.BEDS.ZS,,per 1k
