country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1961,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1962,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1963,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1964,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1965,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1966,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1967,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1968,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1969,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1970,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1971,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1972,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1973,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1974,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1975,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1976,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1977,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1978,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1979,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1980,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1981,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1982,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1983,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1984,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1985,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1986,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1987,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1988,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1989,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1990,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1991,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1992,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1993,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1994,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1995,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1996,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1997,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1998,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,1999,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,2000,SH.XPD.CHEX.GD.ZS,4.23492479,%
Trinidad and Tobago,TT,2001,SH.XPD.CHEX.GD.ZS,4.0346489,%
Trinidad and Tobago,TT,2002,SH.XPD.CHEX.GD.ZS,4.72302485,%
Trinidad and Tobago,TT,2003,SH.XPD.CHEX.GD.ZS,4.18767118,%
Trinidad and Tobago,TT,2004,SH.XPD.CHEX.GD.ZS,4.30805206,%
Trinidad and Tobago,TT,2005,SH.XPD.CHEX.GD.ZS,4.43451166,%
Trinidad and Tobago,TT,2006,SH.XPD.CHEX.GD.ZS,4.15431976,%
Trinidad and Tobago,TT,2007,SH.XPD.CHEX.GD.ZS,4.1536026,%
Trinidad and Tobago,TT,2008,SH.XPD.CHEX.GD.ZS,3.6575706,%
Trinidad and Tobago,TT,2009,SH.XPD.CHEX.GD.ZS,5.48676443,%
Trinidad and Tobago,TT,2010,SH.XPD.CHEX.GD.ZS,5.08042908,%
Trinidad and Tobago,TT,2011,SH.XPD.CHEX.GD.ZS,4.72197914,%
Trinidad and Tobago,TT,2012,SH.XPD.CHEX.GD.ZS,4.59683371,%
Trinidad and Tobago,TT,2013,SH.XPD.CHEX.GD.ZS,4.77727127,%
Trinidad and Tobago,TT,2014,SH.XPD.CHEX.GD.ZS,4.83714819,%
Trinidad and Tobago,TT,2015,SH.XPD.CHEX.GD.ZS,5.61370945,%
Trinidad and Tobago,TT,2016,SH.XPD.CHEX.GD.ZS,6.44781113,%
Trinidad and Tobago,TT,2017,SH.XPD.CHEX.GD.ZS,6.51309872,%
Trinidad and Tobago,TT,2018,SH.XPD.CHEX.GD.ZS,6.46674252,%
Trinidad and Tobago,TT,2019,SH.XPD.CHEX.GD.ZS,6.85251093,%
Trinidad and Tobago,TT,2020,SH.XPD.CHEX.GD.ZS,7.48661852,%
Trinidad and Tobago,TT,2021,SH.XPD.CHEX.GD.ZS,7.12624598,%
Trinidad and Tobago,TT,2022,SH.XPD.CHEX.GD.ZS,6.43106365,%
Trinidad and Tobago,TT,2023,SH.XPD.CHEX.GD.ZS,,%
Trinidad and Tobago,TT,2024,SH.XPD.CHEX.GD.ZS,,%
