country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1961,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1962,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1963,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1964,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1965,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1966,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1967,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1968,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1969,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1970,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1971,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1972,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1973,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1974,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1975,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1976,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1977,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1978,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1979,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1980,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1981,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1982,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1983,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1984,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1985,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1986,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1987,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1988,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1989,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1990,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1991,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1992,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1993,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1994,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1995,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1996,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1997,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1998,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,1999,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,2000,SH.XPD.CHEX.PC.CD,266.16275024,US$
Trinidad and Tobago,TT,2001,SH.XPD.CHEX.PC.CD,272.72851563,US$
Trinidad and Tobago,TT,2002,SH.XPD.CHEX.PC.CD,324.36880493,US$
Trinidad and Tobago,TT,2003,SH.XPD.CHEX.PC.CD,358.59500122,US$
Trinidad and Tobago,TT,2004,SH.XPD.CHEX.PC.CD,431.37268066,US$
Trinidad and Tobago,TT,2005,SH.XPD.CHEX.PC.CD,530.35229492,US$
Trinidad and Tobago,TT,2006,SH.XPD.CHEX.PC.CD,568.72583008,US$
Trinidad and Tobago,TT,2007,SH.XPD.CHEX.PC.CD,667.35321045,US$
Trinidad and Tobago,TT,2008,SH.XPD.CHEX.PC.CD,751.54608154,US$
Trinidad and Tobago,TT,2009,SH.XPD.CHEX.PC.CD,776.62243652,US$
Trinidad and Tobago,TT,2010,SH.XPD.CHEX.PC.CD,825.16088867,US$
Trinidad and Tobago,TT,2011,SH.XPD.CHEX.PC.CD,872.96398926,US$
Trinidad and Tobago,TT,2012,SH.XPD.CHEX.PC.CD,895.08026123,US$
Trinidad and Tobago,TT,2013,SH.XPD.CHEX.PC.CD,970.90222168,US$
Trinidad and Tobago,TT,2014,SH.XPD.CHEX.PC.CD,1010.82769775,US$
Trinidad and Tobago,TT,2015,SH.XPD.CHEX.PC.CD,1061.58666992,US$
Trinidad and Tobago,TT,2016,SH.XPD.CHEX.PC.CD,1064.41772461,US$
Trinidad and Tobago,TT,2017,SH.XPD.CHEX.PC.CD,1083.37609863,US$
Trinidad and Tobago,TT,2018,SH.XPD.CHEX.PC.CD,1080.45397949,US$
Trinidad and Tobago,TT,2019,SH.XPD.CHEX.PC.CD,1097.20556641,US$
Trinidad and Tobago,TT,2020,SH.XPD.CHEX.PC.CD,1051.83642578,US$
Trinidad and Tobago,TT,2021,SH.XPD.CHEX.PC.CD,1173.39306641,US$
Trinidad and Tobago,TT,2022,SH.XPD.CHEX.PC.CD,1292.01806641,US$
Trinidad and Tobago,TT,2023,SH.XPD.CHEX.PC.CD,,US$
Trinidad and Tobago,TT,2024,SH.XPD.CHEX.PC.CD,,US$
