country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1961,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1962,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1963,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1964,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1965,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1966,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1967,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1968,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1969,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1970,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1971,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1972,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1973,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1974,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1975,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1976,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1977,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1978,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1979,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1980,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1981,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1982,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1983,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1984,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1985,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1986,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1987,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1988,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1989,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1990,SL.EMP.TOTL.SP.ZS,,%
Trinidad and Tobago,TT,1991,SL.EMP.TOTL.SP.ZS,48.128,%
Trinidad and Tobago,TT,1992,SL.EMP.TOTL.SP.ZS,47.867,%
Trinidad and Tobago,TT,1993,SL.EMP.TOTL.SP.ZS,47.803,%
Trinidad and Tobago,TT,1994,SL.EMP.TOTL.SP.ZS,49.506,%
Trinidad and Tobago,TT,1995,SL.EMP.TOTL.SP.ZS,51.061,%
Trinidad and Tobago,TT,1996,SL.EMP.TOTL.SP.ZS,52.396,%
Trinidad and Tobago,TT,1997,SL.EMP.TOTL.SP.ZS,53.392,%
Trinidad and Tobago,TT,1998,SL.EMP.TOTL.SP.ZS,54.106,%
Trinidad and Tobago,TT,1999,SL.EMP.TOTL.SP.ZS,54.848,%
Trinidad and Tobago,TT,2000,SL.EMP.TOTL.SP.ZS,55.443,%
Trinidad and Tobago,TT,2001,SL.EMP.TOTL.SP.ZS,56.203,%
Trinidad and Tobago,TT,2002,SL.EMP.TOTL.SP.ZS,56.497,%
Trinidad and Tobago,TT,2003,SL.EMP.TOTL.SP.ZS,57.46,%
Trinidad and Tobago,TT,2004,SL.EMP.TOTL.SP.ZS,59.885,%
Trinidad and Tobago,TT,2005,SL.EMP.TOTL.SP.ZS,61.18,%
Trinidad and Tobago,TT,2006,SL.EMP.TOTL.SP.ZS,62.37,%
Trinidad and Tobago,TT,2007,SL.EMP.TOTL.SP.ZS,62.343,%
Trinidad and Tobago,TT,2008,SL.EMP.TOTL.SP.ZS,62.785,%
Trinidad and Tobago,TT,2009,SL.EMP.TOTL.SP.ZS,61.516,%
Trinidad and Tobago,TT,2010,SL.EMP.TOTL.SP.ZS,61.241,%
Trinidad and Tobago,TT,2011,SL.EMP.TOTL.SP.ZS,60.633,%
Trinidad and Tobago,TT,2012,SL.EMP.TOTL.SP.ZS,61.257,%
Trinidad and Tobago,TT,2013,SL.EMP.TOTL.SP.ZS,61.961,%
Trinidad and Tobago,TT,2014,SL.EMP.TOTL.SP.ZS,62.319,%
Trinidad and Tobago,TT,2015,SL.EMP.TOTL.SP.ZS,61.515,%
Trinidad and Tobago,TT,2016,SL.EMP.TOTL.SP.ZS,60.052,%
Trinidad and Tobago,TT,2017,SL.EMP.TOTL.SP.ZS,59.474,%
Trinidad and Tobago,TT,2018,SL.EMP.TOTL.SP.ZS,59.008,%
Trinidad and Tobago,TT,2019,SL.EMP.TOTL.SP.ZS,58.547,%
Trinidad and Tobago,TT,2020,SL.EMP.TOTL.SP.ZS,56.171,%
Trinidad and Tobago,TT,2021,SL.EMP.TOTL.SP.ZS,55.07,%
Trinidad and Tobago,TT,2022,SL.EMP.TOTL.SP.ZS,55.792,%
Trinidad and Tobago,TT,2023,SL.EMP.TOTL.SP.ZS,55.715,%
Trinidad and Tobago,TT,2024,SL.EMP.TOTL.SP.ZS,55.126,%
