country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1961,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1962,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1963,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1964,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1965,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1966,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1967,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1968,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1969,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1970,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1971,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1972,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1973,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1974,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1975,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1976,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1977,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1978,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1979,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1980,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1981,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1982,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1983,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1984,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1985,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1986,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1987,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1988,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1989,SL.TLF.CACT.FE.ZS,,%
Trinidad and Tobago,TT,1990,SL.TLF.CACT.FE.ZS,42.997,%
Trinidad and Tobago,TT,1991,SL.TLF.CACT.FE.ZS,43.382,%
Trinidad and Tobago,TT,1992,SL.TLF.CACT.FE.ZS,44.594,%
Trinidad and Tobago,TT,1993,SL.TLF.CACT.FE.ZS,44.547,%
Trinidad and Tobago,TT,1994,SL.TLF.CACT.FE.ZS,45.396,%
Trinidad and Tobago,TT,1995,SL.TLF.CACT.FE.ZS,46.231,%
Trinidad and Tobago,TT,1996,SL.TLF.CACT.FE.ZS,48.388,%
Trinidad and Tobago,TT,1997,SL.TLF.CACT.FE.ZS,48.489,%
Trinidad and Tobago,TT,1998,SL.TLF.CACT.FE.ZS,48.599,%
Trinidad and Tobago,TT,1999,SL.TLF.CACT.FE.ZS,48.521,%
Trinidad and Tobago,TT,2000,SL.TLF.CACT.FE.ZS,48.401,%
Trinidad and Tobago,TT,2001,SL.TLF.CACT.FE.ZS,48.845,%
Trinidad and Tobago,TT,2002,SL.TLF.CACT.FE.ZS,49.276,%
Trinidad and Tobago,TT,2003,SL.TLF.CACT.FE.ZS,51.195,%
Trinidad and Tobago,TT,2004,SL.TLF.CACT.FE.ZS,53.108,%
Trinidad and Tobago,TT,2005,SL.TLF.CACT.FE.ZS,55.019,%
Trinidad and Tobago,TT,2006,SL.TLF.CACT.FE.ZS,55.396,%
Trinidad and Tobago,TT,2007,SL.TLF.CACT.FE.ZS,53.906,%
Trinidad and Tobago,TT,2008,SL.TLF.CACT.FE.ZS,54.572,%
Trinidad and Tobago,TT,2009,SL.TLF.CACT.FE.ZS,53.0,%
Trinidad and Tobago,TT,2010,SL.TLF.CACT.FE.ZS,52.201,%
Trinidad and Tobago,TT,2011,SL.TLF.CACT.FE.ZS,51.11,%
Trinidad and Tobago,TT,2012,SL.TLF.CACT.FE.ZS,52.886,%
Trinidad and Tobago,TT,2013,SL.TLF.CACT.FE.ZS,52.957,%
Trinidad and Tobago,TT,2014,SL.TLF.CACT.FE.ZS,53.389,%
Trinidad and Tobago,TT,2015,SL.TLF.CACT.FE.ZS,51.964,%
Trinidad and Tobago,TT,2016,SL.TLF.CACT.FE.ZS,51.922,%
Trinidad and Tobago,TT,2017,SL.TLF.CACT.FE.ZS,51.621,%
Trinidad and Tobago,TT,2018,SL.TLF.CACT.FE.ZS,51.338,%
Trinidad and Tobago,TT,2019,SL.TLF.CACT.FE.ZS,51.033,%
Trinidad and Tobago,TT,2020,SL.TLF.CACT.FE.ZS,49.325,%
Trinidad and Tobago,TT,2021,SL.TLF.CACT.FE.ZS,48.879,%
Trinidad and Tobago,TT,2022,SL.TLF.CACT.FE.ZS,50.02,%
Trinidad and Tobago,TT,2023,SL.TLF.CACT.FE.ZS,50.005,%
Trinidad and Tobago,TT,2024,SL.TLF.CACT.FE.ZS,49.685,%
