country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1961,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1962,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1963,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1964,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1965,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1966,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1967,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1968,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1969,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1970,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1971,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1972,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1973,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1974,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1975,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1976,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1977,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1978,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1979,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1980,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1981,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1982,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1983,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1984,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1985,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1986,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1987,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1988,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1989,SL.TLF.TOTL.IN,,people
Trinidad and Tobago,TT,1990,SL.TLF.TOTL.IN,488766.0,people
Trinidad and Tobago,TT,1991,SL.TLF.TOTL.IN,497432.0,people
Trinidad and Tobago,TT,1992,SL.TLF.TOTL.IN,509093.0,people
Trinidad and Tobago,TT,1993,SL.TLF.TOTL.IN,517277.0,people
Trinidad and Tobago,TT,1994,SL.TLF.TOTL.IN,535230.0,people
Trinidad and Tobago,TT,1995,SL.TLF.TOTL.IN,553081.0,people
Trinidad and Tobago,TT,1996,SL.TLF.TOTL.IN,570696.0,people
Trinidad and Tobago,TT,1997,SL.TLF.TOTL.IN,583019.0,people
Trinidad and Tobago,TT,1998,SL.TLF.TOTL.IN,595443.0,people
Trinidad and Tobago,TT,1999,SL.TLF.TOTL.IN,606295.0,people
Trinidad and Tobago,TT,2000,SL.TLF.TOTL.IN,616212.0,people
Trinidad and Tobago,TT,2001,SL.TLF.TOTL.IN,626695.0,people
Trinidad and Tobago,TT,2002,SL.TLF.TOTL.IN,636894.0,people
Trinidad and Tobago,TT,2003,SL.TLF.TOTL.IN,658376.0,people
Trinidad and Tobago,TT,2004,SL.TLF.TOTL.IN,679474.0,people
Trinidad and Tobago,TT,2005,SL.TLF.TOTL.IN,670234.0,people
Trinidad and Tobago,TT,2006,SL.TLF.TOTL.IN,677046.0,people
Trinidad and Tobago,TT,2007,SL.TLF.TOTL.IN,677808.0,people
Trinidad and Tobago,TT,2008,SL.TLF.TOTL.IN,681951.0,people
Trinidad and Tobago,TT,2009,SL.TLF.TOTL.IN,676038.0,people
Trinidad and Tobago,TT,2010,SL.TLF.TOTL.IN,670134.0,people
Trinidad and Tobago,TT,2011,SL.TLF.TOTL.IN,665988.0,people
Trinidad and Tobago,TT,2012,SL.TLF.TOTL.IN,679786.0,people
Trinidad and Tobago,TT,2013,SL.TLF.TOTL.IN,684105.0,people
Trinidad and Tobago,TT,2014,SL.TLF.TOTL.IN,690101.0,people
Trinidad and Tobago,TT,2015,SL.TLF.TOTL.IN,684099.0,people
Trinidad and Tobago,TT,2016,SL.TLF.TOTL.IN,676403.0,people
Trinidad and Tobago,TT,2017,SL.TLF.TOTL.IN,673740.0,people
Trinidad and Tobago,TT,2018,SL.TLF.TOTL.IN,672830.0,people
Trinidad and Tobago,TT,2019,SL.TLF.TOTL.IN,671805.0,people
Trinidad and Tobago,TT,2020,SL.TLF.TOTL.IN,651175.0,people
Trinidad and Tobago,TT,2021,SL.TLF.TOTL.IN,641986.0,people
Trinidad and Tobago,TT,2022,SL.TLF.TOTL.IN,651121.0,people
Trinidad and Tobago,TT,2023,SL.TLF.TOTL.IN,652012.0,people
Trinidad and Tobago,TT,2024,SL.TLF.TOTL.IN,649891.0,people
