country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1961,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1962,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1963,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1964,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1965,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1966,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1967,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1968,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1969,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1970,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1971,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1972,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1973,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1974,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1975,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1976,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1977,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1978,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1979,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1980,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1981,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1982,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1983,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1984,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1985,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1986,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1987,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1988,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1989,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1990,SL.UEM.1524.ZS,,%
Trinidad and Tobago,TT,1991,SL.UEM.1524.ZS,34.603,%
Trinidad and Tobago,TT,1992,SL.UEM.1524.ZS,35.189,%
Trinidad and Tobago,TT,1993,SL.UEM.1524.ZS,33.613,%
Trinidad and Tobago,TT,1994,SL.UEM.1524.ZS,32.268,%
Trinidad and Tobago,TT,1995,SL.UEM.1524.ZS,31.004,%
Trinidad and Tobago,TT,1996,SL.UEM.1524.ZS,28.618,%
Trinidad and Tobago,TT,1997,SL.UEM.1524.ZS,27.419,%
Trinidad and Tobago,TT,1998,SL.UEM.1524.ZS,26.981,%
Trinidad and Tobago,TT,1999,SL.UEM.1524.ZS,25.478,%
Trinidad and Tobago,TT,2000,SL.UEM.1524.ZS,23.4,%
Trinidad and Tobago,TT,2001,SL.UEM.1524.ZS,21.398,%
Trinidad and Tobago,TT,2002,SL.UEM.1524.ZS,20.929,%
Trinidad and Tobago,TT,2003,SL.UEM.1524.ZS,21.431,%
Trinidad and Tobago,TT,2004,SL.UEM.1524.ZS,17.19,%
Trinidad and Tobago,TT,2005,SL.UEM.1524.ZS,16.539,%
Trinidad and Tobago,TT,2006,SL.UEM.1524.ZS,13.033,%
Trinidad and Tobago,TT,2007,SL.UEM.1524.ZS,11.363,%
Trinidad and Tobago,TT,2008,SL.UEM.1524.ZS,10.514,%
Trinidad and Tobago,TT,2009,SL.UEM.1524.ZS,11.728,%
Trinidad and Tobago,TT,2010,SL.UEM.1524.ZS,9.85,%
Trinidad and Tobago,TT,2011,SL.UEM.1524.ZS,8.586,%
Trinidad and Tobago,TT,2012,SL.UEM.1524.ZS,8.608,%
Trinidad and Tobago,TT,2013,SL.UEM.1524.ZS,6.275,%
Trinidad and Tobago,TT,2014,SL.UEM.1524.ZS,5.882,%
Trinidad and Tobago,TT,2015,SL.UEM.1524.ZS,5.869,%
Trinidad and Tobago,TT,2016,SL.UEM.1524.ZS,8.719,%
Trinidad and Tobago,TT,2017,SL.UEM.1524.ZS,9.035,%
Trinidad and Tobago,TT,2018,SL.UEM.1524.ZS,9.164,%
Trinidad and Tobago,TT,2019,SL.UEM.1524.ZS,9.17,%
Trinidad and Tobago,TT,2020,SL.UEM.1524.ZS,11.81,%
Trinidad and Tobago,TT,2021,SL.UEM.1524.ZS,13.145,%
Trinidad and Tobago,TT,2022,SL.UEM.1524.ZS,10.596,%
Trinidad and Tobago,TT,2023,SL.UEM.1524.ZS,10.335,%
Trinidad and Tobago,TT,2024,SL.UEM.1524.ZS,11.057,%
