country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1961,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1962,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1963,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1964,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1965,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1966,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1967,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1968,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1969,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1970,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1971,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1972,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1973,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1974,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1975,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1976,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1977,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1978,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1979,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1980,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1981,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1982,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1983,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1984,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1985,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1986,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1987,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1988,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1989,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1990,SL.UEM.TOTL.ZS,,%
Trinidad and Tobago,TT,1991,SL.UEM.TOTL.ZS,18.52,%
Trinidad and Tobago,TT,1992,SL.UEM.TOTL.ZS,19.66,%
Trinidad and Tobago,TT,1993,SL.UEM.TOTL.ZS,19.81,%
Trinidad and Tobago,TT,1994,SL.UEM.TOTL.ZS,18.44,%
Trinidad and Tobago,TT,1995,SL.UEM.TOTL.ZS,17.22,%
Trinidad and Tobago,TT,1996,SL.UEM.TOTL.ZS,16.25,%
Trinidad and Tobago,TT,1997,SL.UEM.TOTL.ZS,15.01,%
Trinidad and Tobago,TT,1998,SL.UEM.TOTL.ZS,14.21,%
Trinidad and Tobago,TT,1999,SL.UEM.TOTL.ZS,13.12,%
Trinidad and Tobago,TT,2000,SL.UEM.TOTL.ZS,12.1,%
Trinidad and Tobago,TT,2001,SL.UEM.TOTL.ZS,10.88,%
Trinidad and Tobago,TT,2002,SL.UEM.TOTL.ZS,10.39,%
Trinidad and Tobago,TT,2003,SL.UEM.TOTL.ZS,10.48,%
Trinidad and Tobago,TT,2004,SL.UEM.TOTL.ZS,8.33,%
Trinidad and Tobago,TT,2005,SL.UEM.TOTL.ZS,7.95,%
Trinidad and Tobago,TT,2006,SL.UEM.TOTL.ZS,6.27,%
Trinidad and Tobago,TT,2007,SL.UEM.TOTL.ZS,5.54,%
Trinidad and Tobago,TT,2008,SL.UEM.TOTL.ZS,4.63,%
Trinidad and Tobago,TT,2009,SL.UEM.TOTL.ZS,5.28,%
Trinidad and Tobago,TT,2010,SL.UEM.TOTL.ZS,4.033,%
Trinidad and Tobago,TT,2011,SL.UEM.TOTL.ZS,3.425,%
Trinidad and Tobago,TT,2012,SL.UEM.TOTL.ZS,3.718,%
Trinidad and Tobago,TT,2013,SL.UEM.TOTL.ZS,2.683,%
Trinidad and Tobago,TT,2014,SL.UEM.TOTL.ZS,2.477,%
Trinidad and Tobago,TT,2015,SL.UEM.TOTL.ZS,2.428,%
Trinidad and Tobago,TT,2016,SL.UEM.TOTL.ZS,3.207,%
Trinidad and Tobago,TT,2017,SL.UEM.TOTL.ZS,3.394,%
Trinidad and Tobago,TT,2018,SL.UEM.TOTL.ZS,3.498,%
Trinidad and Tobago,TT,2019,SL.UEM.TOTL.ZS,3.523,%
Trinidad and Tobago,TT,2020,SL.UEM.TOTL.ZS,4.206,%
Trinidad and Tobago,TT,2021,SL.UEM.TOTL.ZS,4.446,%
Trinidad and Tobago,TT,2022,SL.UEM.TOTL.ZS,4.383,%
Trinidad and Tobago,TT,2023,SL.UEM.TOTL.ZS,4.21,%
Trinidad and Tobago,TT,2024,SL.UEM.TOTL.ZS,4.546,%
