country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SP.ADO.TFRT,127.441,per 1k
Trinidad and Tobago,TT,1961,SP.ADO.TFRT,126.89,per 1k
Trinidad and Tobago,TT,1962,SP.ADO.TFRT,122.806,per 1k
Trinidad and Tobago,TT,1963,SP.ADO.TFRT,117.589,per 1k
Trinidad and Tobago,TT,1964,SP.ADO.TFRT,111.771,per 1k
Trinidad and Tobago,TT,1965,SP.ADO.TFRT,106.222,per 1k
Trinidad and Tobago,TT,1966,SP.ADO.TFRT,101.156,per 1k
Trinidad and Tobago,TT,1967,SP.ADO.TFRT,94.808,per 1k
Trinidad and Tobago,TT,1968,SP.ADO.TFRT,89.399,per 1k
Trinidad and Tobago,TT,1969,SP.ADO.TFRT,83.599,per 1k
Trinidad and Tobago,TT,1970,SP.ADO.TFRT,82.59,per 1k
Trinidad and Tobago,TT,1971,SP.ADO.TFRT,83.364,per 1k
Trinidad and Tobago,TT,1972,SP.ADO.TFRT,86.045,per 1k
Trinidad and Tobago,TT,1973,SP.ADO.TFRT,88.891,per 1k
Trinidad and Tobago,TT,1974,SP.ADO.TFRT,87.277,per 1k
Trinidad and Tobago,TT,1975,SP.ADO.TFRT,83.776,per 1k
Trinidad and Tobago,TT,1976,SP.ADO.TFRT,81.375,per 1k
Trinidad and Tobago,TT,1977,SP.ADO.TFRT,80.912,per 1k
Trinidad and Tobago,TT,1978,SP.ADO.TFRT,82.546,per 1k
Trinidad and Tobago,TT,1979,SP.ADO.TFRT,85.902,per 1k
Trinidad and Tobago,TT,1980,SP.ADO.TFRT,90.49,per 1k
Trinidad and Tobago,TT,1981,SP.ADO.TFRT,93.076,per 1k
Trinidad and Tobago,TT,1982,SP.ADO.TFRT,94.131,per 1k
Trinidad and Tobago,TT,1983,SP.ADO.TFRT,93.422,per 1k
Trinidad and Tobago,TT,1984,SP.ADO.TFRT,89.426,per 1k
Trinidad and Tobago,TT,1985,SP.ADO.TFRT,85.114,per 1k
Trinidad and Tobago,TT,1986,SP.ADO.TFRT,79.47,per 1k
Trinidad and Tobago,TT,1987,SP.ADO.TFRT,72.779,per 1k
Trinidad and Tobago,TT,1988,SP.ADO.TFRT,67.525,per 1k
Trinidad and Tobago,TT,1989,SP.ADO.TFRT,66.005,per 1k
Trinidad and Tobago,TT,1990,SP.ADO.TFRT,63.137,per 1k
Trinidad and Tobago,TT,1991,SP.ADO.TFRT,61.004,per 1k
Trinidad and Tobago,TT,1992,SP.ADO.TFRT,57.8,per 1k
Trinidad and Tobago,TT,1993,SP.ADO.TFRT,53.258,per 1k
Trinidad and Tobago,TT,1994,SP.ADO.TFRT,48.759,per 1k
Trinidad and Tobago,TT,1995,SP.ADO.TFRT,45.042,per 1k
Trinidad and Tobago,TT,1996,SP.ADO.TFRT,42.888,per 1k
Trinidad and Tobago,TT,1997,SP.ADO.TFRT,40.957,per 1k
Trinidad and Tobago,TT,1998,SP.ADO.TFRT,40.047,per 1k
Trinidad and Tobago,TT,1999,SP.ADO.TFRT,40.432,per 1k
Trinidad and Tobago,TT,2000,SP.ADO.TFRT,40.07,per 1k
Trinidad and Tobago,TT,2001,SP.ADO.TFRT,39.684,per 1k
Trinidad and Tobago,TT,2002,SP.ADO.TFRT,38.68,per 1k
Trinidad and Tobago,TT,2003,SP.ADO.TFRT,38.447,per 1k
Trinidad and Tobago,TT,2004,SP.ADO.TFRT,37.927,per 1k
Trinidad and Tobago,TT,2005,SP.ADO.TFRT,36.89,per 1k
Trinidad and Tobago,TT,2006,SP.ADO.TFRT,38.217,per 1k
Trinidad and Tobago,TT,2007,SP.ADO.TFRT,38.944,per 1k
Trinidad and Tobago,TT,2008,SP.ADO.TFRT,39.537,per 1k
Trinidad and Tobago,TT,2009,SP.ADO.TFRT,40.265,per 1k
Trinidad and Tobago,TT,2010,SP.ADO.TFRT,40.084,per 1k
Trinidad and Tobago,TT,2011,SP.ADO.TFRT,40.013,per 1k
Trinidad and Tobago,TT,2012,SP.ADO.TFRT,39.933,per 1k
Trinidad and Tobago,TT,2013,SP.ADO.TFRT,39.676,per 1k
Trinidad and Tobago,TT,2014,SP.ADO.TFRT,39.416,per 1k
Trinidad and Tobago,TT,2015,SP.ADO.TFRT,39.044,per 1k
Trinidad and Tobago,TT,2016,SP.ADO.TFRT,38.876,per 1k
Trinidad and Tobago,TT,2017,SP.ADO.TFRT,38.585,per 1k
Trinidad and Tobago,TT,2018,SP.ADO.TFRT,38.44,per 1k
Trinidad and Tobago,TT,2019,SP.ADO.TFRT,37.987,per 1k
Trinidad and Tobago,TT,2020,SP.ADO.TFRT,37.684,per 1k
Trinidad and Tobago,TT,2021,SP.ADO.TFRT,37.22,per 1k
Trinidad and Tobago,TT,2022,SP.ADO.TFRT,36.768,per 1k
Trinidad and Tobago,TT,2023,SP.ADO.TFRT,35.994,per 1k
Trinidad and Tobago,TT,2024,SP.ADO.TFRT,,per 1k
