country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SP.DYN.LE00.IN,62.505,years
Trinidad and Tobago,TT,1961,SP.DYN.LE00.IN,62.965,years
Trinidad and Tobago,TT,1962,SP.DYN.LE00.IN,63.429,years
Trinidad and Tobago,TT,1963,SP.DYN.LE00.IN,63.633,years
Trinidad and Tobago,TT,1964,SP.DYN.LE00.IN,63.978,years
Trinidad and Tobago,TT,1965,SP.DYN.LE00.IN,64.195,years
Trinidad and Tobago,TT,1966,SP.DYN.LE00.IN,64.316,years
Trinidad and Tobago,TT,1967,SP.DYN.LE00.IN,64.471,years
Trinidad and Tobago,TT,1968,SP.DYN.LE00.IN,64.626,years
Trinidad and Tobago,TT,1969,SP.DYN.LE00.IN,64.753,years
Trinidad and Tobago,TT,1970,SP.DYN.LE00.IN,64.869,years
Trinidad and Tobago,TT,1971,SP.DYN.LE00.IN,64.934,years
Trinidad and Tobago,TT,1972,SP.DYN.LE00.IN,65.183,years
Trinidad and Tobago,TT,1973,SP.DYN.LE00.IN,65.412,years
Trinidad and Tobago,TT,1974,SP.DYN.LE00.IN,65.512,years
Trinidad and Tobago,TT,1975,SP.DYN.LE00.IN,65.647,years
Trinidad and Tobago,TT,1976,SP.DYN.LE00.IN,66.032,years
Trinidad and Tobago,TT,1977,SP.DYN.LE00.IN,66.17,years
Trinidad and Tobago,TT,1978,SP.DYN.LE00.IN,66.198,years
Trinidad and Tobago,TT,1979,SP.DYN.LE00.IN,66.422,years
Trinidad and Tobago,TT,1980,SP.DYN.LE00.IN,66.507,years
Trinidad and Tobago,TT,1981,SP.DYN.LE00.IN,66.459,years
Trinidad and Tobago,TT,1982,SP.DYN.LE00.IN,66.382,years
Trinidad and Tobago,TT,1983,SP.DYN.LE00.IN,66.44,years
Trinidad and Tobago,TT,1984,SP.DYN.LE00.IN,66.556,years
Trinidad and Tobago,TT,1985,SP.DYN.LE00.IN,66.748,years
Trinidad and Tobago,TT,1986,SP.DYN.LE00.IN,66.903,years
Trinidad and Tobago,TT,1987,SP.DYN.LE00.IN,67.135,years
Trinidad and Tobago,TT,1988,SP.DYN.LE00.IN,67.379,years
Trinidad and Tobago,TT,1989,SP.DYN.LE00.IN,67.518,years
Trinidad and Tobago,TT,1990,SP.DYN.LE00.IN,67.591,years
Trinidad and Tobago,TT,1991,SP.DYN.LE00.IN,67.782,years
Trinidad and Tobago,TT,1992,SP.DYN.LE00.IN,67.78,years
Trinidad and Tobago,TT,1993,SP.DYN.LE00.IN,67.825,years
Trinidad and Tobago,TT,1994,SP.DYN.LE00.IN,67.837,years
Trinidad and Tobago,TT,1995,SP.DYN.LE00.IN,67.995,years
Trinidad and Tobago,TT,1996,SP.DYN.LE00.IN,68.039,years
Trinidad and Tobago,TT,1997,SP.DYN.LE00.IN,68.143,years
Trinidad and Tobago,TT,1998,SP.DYN.LE00.IN,68.331,years
Trinidad and Tobago,TT,1999,SP.DYN.LE00.IN,68.509,years
Trinidad and Tobago,TT,2000,SP.DYN.LE00.IN,68.629,years
Trinidad and Tobago,TT,2001,SP.DYN.LE00.IN,68.874,years
Trinidad and Tobago,TT,2002,SP.DYN.LE00.IN,69.232,years
Trinidad and Tobago,TT,2003,SP.DYN.LE00.IN,69.454,years
Trinidad and Tobago,TT,2004,SP.DYN.LE00.IN,69.879,years
Trinidad and Tobago,TT,2005,SP.DYN.LE00.IN,70.185,years
Trinidad and Tobago,TT,2006,SP.DYN.LE00.IN,70.437,years
Trinidad and Tobago,TT,2007,SP.DYN.LE00.IN,70.797,years
Trinidad and Tobago,TT,2008,SP.DYN.LE00.IN,71.117,years
Trinidad and Tobago,TT,2009,SP.DYN.LE00.IN,71.404,years
Trinidad and Tobago,TT,2010,SP.DYN.LE00.IN,71.809,years
Trinidad and Tobago,TT,2011,SP.DYN.LE00.IN,72.232,years
Trinidad and Tobago,TT,2012,SP.DYN.LE00.IN,72.513,years
Trinidad and Tobago,TT,2013,SP.DYN.LE00.IN,72.785,years
Trinidad and Tobago,TT,2014,SP.DYN.LE00.IN,72.898,years
Trinidad and Tobago,TT,2015,SP.DYN.LE00.IN,72.882,years
Trinidad and Tobago,TT,2016,SP.DYN.LE00.IN,72.935,years
Trinidad and Tobago,TT,2017,SP.DYN.LE00.IN,72.984,years
Trinidad and Tobago,TT,2018,SP.DYN.LE00.IN,72.658,years
Trinidad and Tobago,TT,2019,SP.DYN.LE00.IN,72.836,years
Trinidad and Tobago,TT,2020,SP.DYN.LE00.IN,72.645,years
Trinidad and Tobago,TT,2021,SP.DYN.LE00.IN,71.111,years
Trinidad and Tobago,TT,2022,SP.DYN.LE00.IN,73.331,years
Trinidad and Tobago,TT,2023,SP.DYN.LE00.IN,73.49,years
Trinidad and Tobago,TT,2024,SP.DYN.LE00.IN,,years
