country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SP.DYN.TFRT.IN,5.405,
Trinidad and Tobago,TT,1961,SP.DYN.TFRT.IN,5.405,
Trinidad and Tobago,TT,1962,SP.DYN.TFRT.IN,5.358,
Trinidad and Tobago,TT,1963,SP.DYN.TFRT.IN,5.242,
Trinidad and Tobago,TT,1964,SP.DYN.TFRT.IN,5.081,
Trinidad and Tobago,TT,1965,SP.DYN.TFRT.IN,4.88,
Trinidad and Tobago,TT,1966,SP.DYN.TFRT.IN,4.62,
Trinidad and Tobago,TT,1967,SP.DYN.TFRT.IN,4.35,
Trinidad and Tobago,TT,1968,SP.DYN.TFRT.IN,4.106,
Trinidad and Tobago,TT,1969,SP.DYN.TFRT.IN,3.856,
Trinidad and Tobago,TT,1970,SP.DYN.TFRT.IN,3.709,
Trinidad and Tobago,TT,1971,SP.DYN.TFRT.IN,3.612,
Trinidad and Tobago,TT,1972,SP.DYN.TFRT.IN,3.551,
Trinidad and Tobago,TT,1973,SP.DYN.TFRT.IN,3.466,
Trinidad and Tobago,TT,1974,SP.DYN.TFRT.IN,3.319,
Trinidad and Tobago,TT,1975,SP.DYN.TFRT.IN,3.214,
Trinidad and Tobago,TT,1976,SP.DYN.TFRT.IN,3.138,
Trinidad and Tobago,TT,1977,SP.DYN.TFRT.IN,3.121,
Trinidad and Tobago,TT,1978,SP.DYN.TFRT.IN,3.129,
Trinidad and Tobago,TT,1979,SP.DYN.TFRT.IN,3.126,
Trinidad and Tobago,TT,1980,SP.DYN.TFRT.IN,3.145,
Trinidad and Tobago,TT,1981,SP.DYN.TFRT.IN,3.133,
Trinidad and Tobago,TT,1982,SP.DYN.TFRT.IN,3.108,
Trinidad and Tobago,TT,1983,SP.DYN.TFRT.IN,3.07,
Trinidad and Tobago,TT,1984,SP.DYN.TFRT.IN,3.017,
Trinidad and Tobago,TT,1985,SP.DYN.TFRT.IN,2.988,
Trinidad and Tobago,TT,1986,SP.DYN.TFRT.IN,2.903,
Trinidad and Tobago,TT,1987,SP.DYN.TFRT.IN,2.775,
Trinidad and Tobago,TT,1988,SP.DYN.TFRT.IN,2.646,
Trinidad and Tobago,TT,1989,SP.DYN.TFRT.IN,2.526,
Trinidad and Tobago,TT,1990,SP.DYN.TFRT.IN,2.394,
Trinidad and Tobago,TT,1991,SP.DYN.TFRT.IN,2.29,
Trinidad and Tobago,TT,1992,SP.DYN.TFRT.IN,2.213,
Trinidad and Tobago,TT,1993,SP.DYN.TFRT.IN,2.129,
Trinidad and Tobago,TT,1994,SP.DYN.TFRT.IN,2.064,
Trinidad and Tobago,TT,1995,SP.DYN.TFRT.IN,1.967,
Trinidad and Tobago,TT,1996,SP.DYN.TFRT.IN,1.894,
Trinidad and Tobago,TT,1997,SP.DYN.TFRT.IN,1.831,
Trinidad and Tobago,TT,1998,SP.DYN.TFRT.IN,1.784,
Trinidad and Tobago,TT,1999,SP.DYN.TFRT.IN,1.76,
Trinidad and Tobago,TT,2000,SP.DYN.TFRT.IN,1.732,
Trinidad and Tobago,TT,2001,SP.DYN.TFRT.IN,1.705,
Trinidad and Tobago,TT,2002,SP.DYN.TFRT.IN,1.672,
Trinidad and Tobago,TT,2003,SP.DYN.TFRT.IN,1.648,
Trinidad and Tobago,TT,2004,SP.DYN.TFRT.IN,1.627,
Trinidad and Tobago,TT,2005,SP.DYN.TFRT.IN,1.625,
Trinidad and Tobago,TT,2006,SP.DYN.TFRT.IN,1.624,
Trinidad and Tobago,TT,2007,SP.DYN.TFRT.IN,1.622,
Trinidad and Tobago,TT,2008,SP.DYN.TFRT.IN,1.617,
Trinidad and Tobago,TT,2009,SP.DYN.TFRT.IN,1.618,
Trinidad and Tobago,TT,2010,SP.DYN.TFRT.IN,1.614,
Trinidad and Tobago,TT,2011,SP.DYN.TFRT.IN,1.611,
Trinidad and Tobago,TT,2012,SP.DYN.TFRT.IN,1.609,
Trinidad and Tobago,TT,2013,SP.DYN.TFRT.IN,1.603,
Trinidad and Tobago,TT,2014,SP.DYN.TFRT.IN,1.602,
Trinidad and Tobago,TT,2015,SP.DYN.TFRT.IN,1.598,
Trinidad and Tobago,TT,2016,SP.DYN.TFRT.IN,1.601,
Trinidad and Tobago,TT,2017,SP.DYN.TFRT.IN,1.594,
Trinidad and Tobago,TT,2018,SP.DYN.TFRT.IN,1.588,
Trinidad and Tobago,TT,2019,SP.DYN.TFRT.IN,1.578,
Trinidad and Tobago,TT,2020,SP.DYN.TFRT.IN,1.572,
Trinidad and Tobago,TT,2021,SP.DYN.TFRT.IN,1.559,
Trinidad and Tobago,TT,2022,SP.DYN.TFRT.IN,1.544,
Trinidad and Tobago,TT,2023,SP.DYN.TFRT.IN,1.532,
Trinidad and Tobago,TT,2024,SP.DYN.TFRT.IN,,
