country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SP.POP.TOTL,844943,people
Trinidad and Tobago,TT,1961,SP.POP.TOTL,863144,people
Trinidad and Tobago,TT,1962,SP.POP.TOTL,880194,people
Trinidad and Tobago,TT,1963,SP.POP.TOTL,896804,people
Trinidad and Tobago,TT,1964,SP.POP.TOTL,912963,people
Trinidad and Tobago,TT,1965,SP.POP.TOTL,928425,people
Trinidad and Tobago,TT,1966,SP.POP.TOTL,942937,people
Trinidad and Tobago,TT,1967,SP.POP.TOTL,956418,people
Trinidad and Tobago,TT,1968,SP.POP.TOTL,969006,people
Trinidad and Tobago,TT,1969,SP.POP.TOTL,980706,people
Trinidad and Tobago,TT,1970,SP.POP.TOTL,991471,people
Trinidad and Tobago,TT,1971,SP.POP.TOTL,1002585,people
Trinidad and Tobago,TT,1972,SP.POP.TOTL,1014921,people
Trinidad and Tobago,TT,1973,SP.POP.TOTL,1027851,people
Trinidad and Tobago,TT,1974,SP.POP.TOTL,1040761,people
Trinidad and Tobago,TT,1975,SP.POP.TOTL,1053469,people
Trinidad and Tobago,TT,1976,SP.POP.TOTL,1066311,people
Trinidad and Tobago,TT,1977,SP.POP.TOTL,1079554,people
Trinidad and Tobago,TT,1978,SP.POP.TOTL,1093380,people
Trinidad and Tobago,TT,1979,SP.POP.TOTL,1107639,people
Trinidad and Tobago,TT,1980,SP.POP.TOTL,1121744,people
Trinidad and Tobago,TT,1981,SP.POP.TOTL,1135132,people
Trinidad and Tobago,TT,1982,SP.POP.TOTL,1147927,people
Trinidad and Tobago,TT,1983,SP.POP.TOTL,1160534,people
Trinidad and Tobago,TT,1984,SP.POP.TOTL,1172984,people
Trinidad and Tobago,TT,1985,SP.POP.TOTL,1187366,people
Trinidad and Tobago,TT,1986,SP.POP.TOTL,1203124,people
Trinidad and Tobago,TT,1987,SP.POP.TOTL,1217364,people
Trinidad and Tobago,TT,1988,SP.POP.TOTL,1230069,people
Trinidad and Tobago,TT,1989,SP.POP.TOTL,1241600,people
Trinidad and Tobago,TT,1990,SP.POP.TOTL,1252208,people
Trinidad and Tobago,TT,1991,SP.POP.TOTL,1262171,people
Trinidad and Tobago,TT,1992,SP.POP.TOTL,1271674,people
Trinidad and Tobago,TT,1993,SP.POP.TOTL,1280466,people
Trinidad and Tobago,TT,1994,SP.POP.TOTL,1288341,people
Trinidad and Tobago,TT,1995,SP.POP.TOTL,1295169,people
Trinidad and Tobago,TT,1996,SP.POP.TOTL,1300928,people
Trinidad and Tobago,TT,1997,SP.POP.TOTL,1305836,people
Trinidad and Tobago,TT,1998,SP.POP.TOTL,1310225,people
Trinidad and Tobago,TT,1999,SP.POP.TOTL,1314708,people
Trinidad and Tobago,TT,2000,SP.POP.TOTL,1319774,people
Trinidad and Tobago,TT,2001,SP.POP.TOTL,1325567,people
Trinidad and Tobago,TT,2002,SP.POP.TOTL,1332011,people
Trinidad and Tobago,TT,2003,SP.POP.TOTL,1338709,people
Trinidad and Tobago,TT,2004,SP.POP.TOTL,1345380,people
Trinidad and Tobago,TT,2005,SP.POP.TOTL,1294494,people
Trinidad and Tobago,TT,2006,SP.POP.TOTL,1297944,people
Trinidad and Tobago,TT,2007,SP.POP.TOTL,1303188,people
Trinidad and Tobago,TT,2008,SP.POP.TOTL,1308587,people
Trinidad and Tobago,TT,2009,SP.POP.TOTL,1310106,people
Trinidad and Tobago,TT,2010,SP.POP.TOTL,1317714,people
Trinidad and Tobago,TT,2011,SP.POP.TOTL,1328019,people
Trinidad and Tobago,TT,2012,SP.POP.TOTL,1335194,people
Trinidad and Tobago,TT,2013,SP.POP.TOTL,1340557,people
Trinidad and Tobago,TT,2014,SP.POP.TOTL,1345343,people
Trinidad and Tobago,TT,2015,SP.POP.TOTL,1349667,people
Trinidad and Tobago,TT,2016,SP.POP.TOTL,1353895,people
Trinidad and Tobago,TT,2017,SP.POP.TOTL,1356633,people
Trinidad and Tobago,TT,2018,SP.POP.TOTL,1359193,people
Trinidad and Tobago,TT,2019,SP.POP.TOTL,1363985,people
Trinidad and Tobago,TT,2020,SP.POP.TOTL,1366725,people
Trinidad and Tobago,TT,2021,SP.POP.TOTL,1367558,people
Trinidad and Tobago,TT,2022,SP.POP.TOTL,1365805,people
Trinidad and Tobago,TT,2023,SP.POP.TOTL,1367510,people
Trinidad and Tobago,TT,2024,SP.POP.TOTL,1368333,people
