country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SP.URB.TOTL.IN.ZS,34.155,%
Trinidad and Tobago,TT,1961,SP.URB.TOTL.IN.ZS,35.004,%
Trinidad and Tobago,TT,1962,SP.URB.TOTL.IN.ZS,35.864,%
Trinidad and Tobago,TT,1963,SP.URB.TOTL.IN.ZS,36.734,%
Trinidad and Tobago,TT,1964,SP.URB.TOTL.IN.ZS,37.613,%
Trinidad and Tobago,TT,1965,SP.URB.TOTL.IN.ZS,38.498,%
Trinidad and Tobago,TT,1966,SP.URB.TOTL.IN.ZS,39.392,%
Trinidad and Tobago,TT,1967,SP.URB.TOTL.IN.ZS,40.294,%
Trinidad and Tobago,TT,1968,SP.URB.TOTL.IN.ZS,41.203,%
Trinidad and Tobago,TT,1969,SP.URB.TOTL.IN.ZS,42.115,%
Trinidad and Tobago,TT,1970,SP.URB.TOTL.IN.ZS,43.035,%
Trinidad and Tobago,TT,1971,SP.URB.TOTL.IN.ZS,43.959,%
Trinidad and Tobago,TT,1972,SP.URB.TOTL.IN.ZS,44.888,%
Trinidad and Tobago,TT,1973,SP.URB.TOTL.IN.ZS,45.819,%
Trinidad and Tobago,TT,1974,SP.URB.TOTL.IN.ZS,46.754,%
Trinidad and Tobago,TT,1975,SP.URB.TOTL.IN.ZS,47.691,%
Trinidad and Tobago,TT,1976,SP.URB.TOTL.IN.ZS,48.631,%
Trinidad and Tobago,TT,1977,SP.URB.TOTL.IN.ZS,49.57,%
Trinidad and Tobago,TT,1978,SP.URB.TOTL.IN.ZS,50.51,%
Trinidad and Tobago,TT,1979,SP.URB.TOTL.IN.ZS,51.449,%
Trinidad and Tobago,TT,1980,SP.URB.TOTL.IN.ZS,52.284,%
Trinidad and Tobago,TT,1981,SP.URB.TOTL.IN.ZS,52.468,%
Trinidad and Tobago,TT,1982,SP.URB.TOTL.IN.ZS,52.653,%
Trinidad and Tobago,TT,1983,SP.URB.TOTL.IN.ZS,52.837,%
Trinidad and Tobago,TT,1984,SP.URB.TOTL.IN.ZS,53.021,%
Trinidad and Tobago,TT,1985,SP.URB.TOTL.IN.ZS,53.205,%
Trinidad and Tobago,TT,1986,SP.URB.TOTL.IN.ZS,53.389,%
Trinidad and Tobago,TT,1987,SP.URB.TOTL.IN.ZS,53.573,%
Trinidad and Tobago,TT,1988,SP.URB.TOTL.IN.ZS,53.757,%
Trinidad and Tobago,TT,1989,SP.URB.TOTL.IN.ZS,53.941,%
Trinidad and Tobago,TT,1990,SP.URB.TOTL.IN.ZS,54.124,%
Trinidad and Tobago,TT,1991,SP.URB.TOTL.IN.ZS,54.308,%
Trinidad and Tobago,TT,1992,SP.URB.TOTL.IN.ZS,54.491,%
Trinidad and Tobago,TT,1993,SP.URB.TOTL.IN.ZS,54.674,%
Trinidad and Tobago,TT,1994,SP.URB.TOTL.IN.ZS,54.857,%
Trinidad and Tobago,TT,1995,SP.URB.TOTL.IN.ZS,55.04,%
Trinidad and Tobago,TT,1996,SP.URB.TOTL.IN.ZS,55.224,%
Trinidad and Tobago,TT,1997,SP.URB.TOTL.IN.ZS,55.406,%
Trinidad and Tobago,TT,1998,SP.URB.TOTL.IN.ZS,55.589,%
Trinidad and Tobago,TT,1999,SP.URB.TOTL.IN.ZS,55.771,%
Trinidad and Tobago,TT,2000,SP.URB.TOTL.IN.ZS,55.905,%
Trinidad and Tobago,TT,2001,SP.URB.TOTL.IN.ZS,55.718,%
Trinidad and Tobago,TT,2002,SP.URB.TOTL.IN.ZS,55.53,%
Trinidad and Tobago,TT,2003,SP.URB.TOTL.IN.ZS,55.343,%
Trinidad and Tobago,TT,2004,SP.URB.TOTL.IN.ZS,55.155,%
Trinidad and Tobago,TT,2005,SP.URB.TOTL.IN.ZS,54.967,%
Trinidad and Tobago,TT,2006,SP.URB.TOTL.IN.ZS,54.779,%
Trinidad and Tobago,TT,2007,SP.URB.TOTL.IN.ZS,54.59,%
Trinidad and Tobago,TT,2008,SP.URB.TOTL.IN.ZS,54.402,%
Trinidad and Tobago,TT,2009,SP.URB.TOTL.IN.ZS,54.213,%
Trinidad and Tobago,TT,2010,SP.URB.TOTL.IN.ZS,54.025,%
Trinidad and Tobago,TT,2011,SP.URB.TOTL.IN.ZS,53.836,%
Trinidad and Tobago,TT,2012,SP.URB.TOTL.IN.ZS,53.671,%
Trinidad and Tobago,TT,2013,SP.URB.TOTL.IN.ZS,53.53,%
Trinidad and Tobago,TT,2014,SP.URB.TOTL.IN.ZS,53.413,%
Trinidad and Tobago,TT,2015,SP.URB.TOTL.IN.ZS,53.319,%
Trinidad and Tobago,TT,2016,SP.URB.TOTL.IN.ZS,53.25,%
Trinidad and Tobago,TT,2017,SP.URB.TOTL.IN.ZS,53.205,%
Trinidad and Tobago,TT,2018,SP.URB.TOTL.IN.ZS,53.184,%
Trinidad and Tobago,TT,2019,SP.URB.TOTL.IN.ZS,53.187,%
Trinidad and Tobago,TT,2020,SP.URB.TOTL.IN.ZS,53.214,%
Trinidad and Tobago,TT,2021,SP.URB.TOTL.IN.ZS,53.265,%
Trinidad and Tobago,TT,2022,SP.URB.TOTL.IN.ZS,53.34,%
Trinidad and Tobago,TT,2023,SP.URB.TOTL.IN.ZS,53.439,%
Trinidad and Tobago,TT,2024,SP.URB.TOTL.IN.ZS,53.562,%
