country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1961,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1962,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1963,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1964,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1965,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1966,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1967,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1968,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1969,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1970,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1971,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1972,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1973,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1974,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1975,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1976,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1977,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1978,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1979,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1980,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1981,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1982,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1983,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1984,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1985,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1986,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1987,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1988,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1989,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1990,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1991,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1992,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1993,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1994,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,1995,ST.INT.ARVL,282000.0,arrivals
Trinidad and Tobago,TT,1996,ST.INT.ARVL,317000.0,arrivals
Trinidad and Tobago,TT,1997,ST.INT.ARVL,360000.0,arrivals
Trinidad and Tobago,TT,1998,ST.INT.ARVL,377000.0,arrivals
Trinidad and Tobago,TT,1999,ST.INT.ARVL,421000.0,arrivals
Trinidad and Tobago,TT,2000,ST.INT.ARVL,503000.0,arrivals
Trinidad and Tobago,TT,2001,ST.INT.ARVL,468000.0,arrivals
Trinidad and Tobago,TT,2002,ST.INT.ARVL,451000.0,arrivals
Trinidad and Tobago,TT,2003,ST.INT.ARVL,474000.0,arrivals
Trinidad and Tobago,TT,2004,ST.INT.ARVL,501000.0,arrivals
Trinidad and Tobago,TT,2005,ST.INT.ARVL,529000.0,arrivals
Trinidad and Tobago,TT,2006,ST.INT.ARVL,534000.0,arrivals
Trinidad and Tobago,TT,2007,ST.INT.ARVL,531000.0,arrivals
Trinidad and Tobago,TT,2008,ST.INT.ARVL,482000.0,arrivals
Trinidad and Tobago,TT,2009,ST.INT.ARVL,534000.0,arrivals
Trinidad and Tobago,TT,2010,ST.INT.ARVL,490000.0,arrivals
Trinidad and Tobago,TT,2011,ST.INT.ARVL,491000.0,arrivals
Trinidad and Tobago,TT,2012,ST.INT.ARVL,504000.0,arrivals
Trinidad and Tobago,TT,2013,ST.INT.ARVL,467000.0,arrivals
Trinidad and Tobago,TT,2014,ST.INT.ARVL,455000.0,arrivals
Trinidad and Tobago,TT,2015,ST.INT.ARVL,519000.0,arrivals
Trinidad and Tobago,TT,2016,ST.INT.ARVL,492000.0,arrivals
Trinidad and Tobago,TT,2017,ST.INT.ARVL,465000.0,arrivals
Trinidad and Tobago,TT,2018,ST.INT.ARVL,501000.0,arrivals
Trinidad and Tobago,TT,2019,ST.INT.ARVL,480000.0,arrivals
Trinidad and Tobago,TT,2020,ST.INT.ARVL,141000.0,arrivals
Trinidad and Tobago,TT,2021,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,2022,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,2023,ST.INT.ARVL,,arrivals
Trinidad and Tobago,TT,2024,ST.INT.ARVL,,arrivals
