country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1961,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1962,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1963,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1964,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1965,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1966,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1967,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1968,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1969,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1970,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1971,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1972,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1973,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1974,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1975,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1976,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1977,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1978,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1979,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1980,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1981,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1982,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1983,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1984,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1985,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1986,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1987,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1988,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1989,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1990,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1991,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1992,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1993,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1994,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,1995,ST.INT.RCPT.CD,232000000.0,US$
Trinidad and Tobago,TT,1996,ST.INT.RCPT.CD,262000000.0,US$
Trinidad and Tobago,TT,1997,ST.INT.RCPT.CD,344000000.0,US$
Trinidad and Tobago,TT,1998,ST.INT.RCPT.CD,356000000.0,US$
Trinidad and Tobago,TT,1999,ST.INT.RCPT.CD,365000000.0,US$
Trinidad and Tobago,TT,2000,ST.INT.RCPT.CD,371000000.0,US$
Trinidad and Tobago,TT,2001,ST.INT.RCPT.CD,361000000.0,US$
Trinidad and Tobago,TT,2002,ST.INT.RCPT.CD,402000000.0,US$
Trinidad and Tobago,TT,2003,ST.INT.RCPT.CD,437000000.0,US$
Trinidad and Tobago,TT,2004,ST.INT.RCPT.CD,568000000.0,US$
Trinidad and Tobago,TT,2005,ST.INT.RCPT.CD,593000000.0,US$
Trinidad and Tobago,TT,2006,ST.INT.RCPT.CD,517000000.0,US$
Trinidad and Tobago,TT,2007,ST.INT.RCPT.CD,621000000.0,US$
Trinidad and Tobago,TT,2008,ST.INT.RCPT.CD,557000000.0,US$
Trinidad and Tobago,TT,2009,ST.INT.RCPT.CD,548000000.0,US$
Trinidad and Tobago,TT,2010,ST.INT.RCPT.CD,630000000.0,US$
Trinidad and Tobago,TT,2011,ST.INT.RCPT.CD,650000000.0,US$
Trinidad and Tobago,TT,2012,ST.INT.RCPT.CD,852000000.0,US$
Trinidad and Tobago,TT,2013,ST.INT.RCPT.CD,856000000.0,US$
Trinidad and Tobago,TT,2014,ST.INT.RCPT.CD,875000000.0,US$
Trinidad and Tobago,TT,2015,ST.INT.RCPT.CD,809000000.0,US$
Trinidad and Tobago,TT,2016,ST.INT.RCPT.CD,708000000.0,US$
Trinidad and Tobago,TT,2017,ST.INT.RCPT.CD,717000000.0,US$
Trinidad and Tobago,TT,2018,ST.INT.RCPT.CD,541000000.0,US$
Trinidad and Tobago,TT,2019,ST.INT.RCPT.CD,481000000.0,US$
Trinidad and Tobago,TT,2020,ST.INT.RCPT.CD,151000000.0,US$
Trinidad and Tobago,TT,2021,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,2022,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,2023,ST.INT.RCPT.CD,,US$
Trinidad and Tobago,TT,2024,ST.INT.RCPT.CD,,US$
