country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1961,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1962,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1963,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1964,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1965,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1966,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1967,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1968,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1969,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1970,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1971,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1972,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1973,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1974,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1975,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1976,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1977,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1978,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1979,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1980,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1981,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1982,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1983,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1984,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1985,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1986,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1987,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1988,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1989,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1990,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1991,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1992,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1993,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1994,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,1995,ST.INT.XPND.CD,91000000.0,US$
Trinidad and Tobago,TT,1996,ST.INT.XPND.CD,98000000.0,US$
Trinidad and Tobago,TT,1997,ST.INT.XPND.CD,97000000.0,US$
Trinidad and Tobago,TT,1998,ST.INT.XPND.CD,92000000.0,US$
Trinidad and Tobago,TT,1999,ST.INT.XPND.CD,106000000.0,US$
Trinidad and Tobago,TT,2000,ST.INT.XPND.CD,190000000.0,US$
Trinidad and Tobago,TT,2001,ST.INT.XPND.CD,172000000.0,US$
Trinidad and Tobago,TT,2002,ST.INT.XPND.CD,208000000.0,US$
Trinidad and Tobago,TT,2003,ST.INT.XPND.CD,143000000.0,US$
Trinidad and Tobago,TT,2004,ST.INT.XPND.CD,141000000.0,US$
Trinidad and Tobago,TT,2005,ST.INT.XPND.CD,234000000.0,US$
Trinidad and Tobago,TT,2006,ST.INT.XPND.CD,146000000.0,US$
Trinidad and Tobago,TT,2007,ST.INT.XPND.CD,155000000.0,US$
Trinidad and Tobago,TT,2008,ST.INT.XPND.CD,102000000.0,US$
Trinidad and Tobago,TT,2009,ST.INT.XPND.CD,136000000.0,US$
Trinidad and Tobago,TT,2010,ST.INT.XPND.CD,97000000.0,US$
Trinidad and Tobago,TT,2011,ST.INT.XPND.CD,188000000.0,US$
Trinidad and Tobago,TT,2012,ST.INT.XPND.CD,223000000.0,US$
Trinidad and Tobago,TT,2013,ST.INT.XPND.CD,116000000.0,US$
Trinidad and Tobago,TT,2014,ST.INT.XPND.CD,168000000.0,US$
Trinidad and Tobago,TT,2015,ST.INT.XPND.CD,253000000.0,US$
Trinidad and Tobago,TT,2016,ST.INT.XPND.CD,230000000.0,US$
Trinidad and Tobago,TT,2017,ST.INT.XPND.CD,147000000.0,US$
Trinidad and Tobago,TT,2018,ST.INT.XPND.CD,149000000.0,US$
Trinidad and Tobago,TT,2019,ST.INT.XPND.CD,133000000.0,US$
Trinidad and Tobago,TT,2020,ST.INT.XPND.CD,42000000.0,US$
Trinidad and Tobago,TT,2021,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,2022,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,2023,ST.INT.XPND.CD,,US$
Trinidad and Tobago,TT,2024,ST.INT.XPND.CD,,US$
