area_code,area,item_code,item,element,year,unit,value,_source,_domain
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2010,kcal/cap/d,58.32,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2011,kcal/cap/d,68.27,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2012,kcal/cap/d,67.14,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2013,kcal/cap/d,74.98,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2014,kcal/cap/d,70.78,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2015,kcal/cap/d,80.79,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2016,kcal/cap/d,73.01,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2017,kcal/cap/d,77.46,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2018,kcal/cap/d,52.24,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2019,kcal/cap/d,62.26,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2020,kcal/cap/d,59.61,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2021,kcal/cap/d,33.9,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2022,kcal/cap/d,30.9,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2010,kg/cap,22.3,bulk,FBS_BULK
'388,Jamaica,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2011,kg/cap,30.21,bulk,FBS_BULK
