country,iso2c,year,indicator,value,unit
Belize,BZ,1960,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1961,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1962,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1963,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1964,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1965,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1966,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1967,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1968,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1969,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1970,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1971,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1972,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1973,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1974,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1975,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1976,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1977,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1978,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1979,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1980,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1981,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1982,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1983,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1984,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1985,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1986,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1987,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1988,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1989,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,1990,GC.TAX.TOTL.GD.ZS,16.1597368180572,%
Belize,BZ,1991,GC.TAX.TOTL.GD.ZS,15.4255568581477,%
Belize,BZ,1992,GC.TAX.TOTL.GD.ZS,14.8386355475763,%
Belize,BZ,1993,GC.TAX.TOTL.GD.ZS,14.5175001660357,%
Belize,BZ,1994,GC.TAX.TOTL.GD.ZS,14.9793474038586,%
Belize,BZ,1995,GC.TAX.TOTL.GD.ZS,14.1987058177156,%
Belize,BZ,1996,GC.TAX.TOTL.GD.ZS,14.7286830816243,%
Belize,BZ,1997,GC.TAX.TOTL.GD.ZS,14.7248683306618,%
Belize,BZ,1998,GC.TAX.TOTL.GD.ZS,14.6014523937601,%
Belize,BZ,1999,GC.TAX.TOTL.GD.ZS,12.7474631342164,%
Belize,BZ,2000,GC.TAX.TOTL.GD.ZS,13.0247168320309,%
Belize,BZ,2001,GC.TAX.TOTL.GD.ZS,13.9030951568895,%
Belize,BZ,2002,GC.TAX.TOTL.GD.ZS,14.460330213313,%
Belize,BZ,2003,GC.TAX.TOTL.GD.ZS,14.5081748032699,%
Belize,BZ,2004,GC.TAX.TOTL.GD.ZS,14.8487346967912,%
Belize,BZ,2005,GC.TAX.TOTL.GD.ZS,16.0936302925523,%
Belize,BZ,2006,GC.TAX.TOTL.GD.ZS,16.6681016874588,%
Belize,BZ,2007,GC.TAX.TOTL.GD.ZS,17.3295061800715,%
Belize,BZ,2008,GC.TAX.TOTL.GD.ZS,17.0785841624015,%
Belize,BZ,2009,GC.TAX.TOTL.GD.ZS,17.8005922416346,%
Belize,BZ,2010,GC.TAX.TOTL.GD.ZS,18.8848026579596,%
Belize,BZ,2011,GC.TAX.TOTL.GD.ZS,18.3662735009989,%
Belize,BZ,2012,GC.TAX.TOTL.GD.ZS,18.4367889609301,%
Belize,BZ,2013,GC.TAX.TOTL.GD.ZS,18.4937251528717,%
Belize,BZ,2014,GC.TAX.TOTL.GD.ZS,19.8624877918859,%
Belize,BZ,2015,GC.TAX.TOTL.GD.ZS,19.7061148432548,%
Belize,BZ,2016,GC.TAX.TOTL.GD.ZS,20.638172688376,%
Belize,BZ,2017,GC.TAX.TOTL.GD.ZS,21.3441343070203,%
Belize,BZ,2018,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,2019,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,2020,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,2021,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,2022,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,2023,GC.TAX.TOTL.GD.ZS,,%
Belize,BZ,2024,GC.TAX.TOTL.GD.ZS,,%
